id,block,trial,detectOri,imagineOri,present,stimulus,congruency,visLevel,response,corr,rt,vivid,compliance,complied
sub-001,3,3,right,none,1,present,none,7.3,present,1,2.7318829991854727,None,down,yes
sub-001,3,7,right,none,1,present,none,14,present,1,0.6142205419018865,None,down,yes
sub-001,3,39,right,none,1,present,none,7.3,present,1,0.459089124109596,None,down,yes
sub-001,3,14,right,none,1,present,none,14,present,1,0.29604924912564456,None,down,yes
sub-001,3,41,right,none,1,present,none,6.1,present,1,0.3531215831171721,None,down,yes
sub-001,3,40,right,none,1,present,none,4.8,present,1,0.39225833280943334,None,down,yes
sub-001,3,21,right,none,1,present,none,5.3,absent,0,0.7331644159276038,None,down,yes
sub-001,3,19,right,none,1,present,none,5.3,present,1,0.6222484579775482,None,down,yes
sub-001,3,25,right,none,1,present,none,4.8,present,1,0.965895373839885,None,down,yes
sub-001,3,17,right,none,1,present,none,3.7,absent,0,0.7384552489966154,None,down,yes
sub-001,3,30,right,none,1,present,none,5.3,present,1,0.34228129079565406,None,down,yes
sub-001,3,36,right,none,0,absent,none,0,absent,1,0.37499141599982977,None,down,yes
sub-001,3,35,right,none,1,present,none,4.8,present,1,0.2524531250819564,None,down,yes
sub-001,3,2,right,none,1,present,none,14,present,1,1.0469222490210086,None,down,yes
sub-001,3,10,right,none,1,present,none,5.3,present,1,0.35854666703380644,None,down,yes
sub-001,3,27,right,none,1,present,none,6.1,present,1,0.30761516699567437,None,down,yes
sub-001,3,42,right,none,0,absent,none,0,absent,1,0.4456941660027951,None,down,yes
sub-001,3,29,right,none,1,present,none,6.1,present,1,0.2426690410356969,None,down,yes
sub-001,3,34,right,none,1,present,none,14,present,1,3.0455855829641223,None,down,yes
sub-001,3,18,right,none,1,present,none,7.3,present,1,0.3841332499869168,None,down,yes
sub-001,3,33,right,none,0,absent,none,0,absent,1,0.5599603329319507,None,down,yes
sub-001,3,1,right,none,1,present,none,5.3,present,1,0.3508769581094384,None,down,yes
sub-001,3,9,right,none,1,present,none,6.1,present,1,0.3548735829535872,None,down,yes
sub-001,3,5,right,none,1,present,none,4.8,present,1,0.4780875409487635,None,down,yes
sub-001,3,11,right,none,0,absent,none,0,absent,1,0.4259985410608351,None,down,yes
sub-001,3,24,right,none,0,absent,none,0,absent,1,0.41367824911139905,None,down,yes
sub-001,3,8,right,none,1,present,none,3.7,present,1,0.4715264157857746,None,down,yes
sub-001,3,38,right,none,1,present,none,7.3,present,1,0.1756110000424087,None,down,yes
sub-001,3,4,right,none,1,present,none,7.3,present,1,0.13421070808544755,None,down,yes
sub-001,3,23,right,none,1,present,none,4.8,present,1,0.27289570798166096,None,down,yes
sub-001,3,13,right,none,1,present,none,6.1,present,1,0.34942270815372467,None,down,yes
sub-001,3,16,right,none,1,present,none,7.3,present,1,0.3107295830268413,None,down,yes
sub-001,3,20,right,none,1,present,none,3.7,present,1,0.343611832940951,None,down,yes
sub-001,3,6,right,none,1,present,none,6.1,present,1,0.33509295783005655,None,down,yes
sub-001,3,22,right,none,1,present,none,3.7,absent,0,0.37562533281743526,None,down,yes
sub-001,3,12,right,none,1,present,none,5.3,present,1,0.2741715000011027,None,down,yes
sub-001,3,15,right,none,0,absent,none,0,absent,1,0.3964017080143094,None,down,yes
sub-001,3,37,right,none,1,present,none,3.7,present,1,0.33285333309322596,None,down,yes
sub-001,3,31,right,none,1,present,none,14,present,1,0.8967815830837935,None,down,yes
sub-001,3,28,right,none,1,present,none,14,present,1,0.7305544998962432,None,down,yes
sub-001,3,32,right,none,1,present,none,3.7,present,1,0.4304870408959687,None,down,yes
sub-001,3,26,right,none,1,present,none,4.8,absent,0,0.9207936241291464,None,down,yes
sub-001,1,18,right,right,1,present,congruent,14,present,1,1.5056860002223402,4,right,yes
sub-001,1,24,right,right,1,present,congruent,7.3,present,1,0.12854566611349583,4,right,yes
sub-001,1,29,right,right,1,present,congruent,3.7,present,1,0.494473499013111,4,right,yes
sub-001,1,21,right,right,1,present,congruent,5.3,present,1,0.22628191602416337,4,right,yes
sub-001,1,2,right,right,1,present,congruent,4.8,present,1,0.24802662408910692,4,right,yes
sub-001,1,12,right,right,1,present,congruent,6.1,present,1,0.10243550012819468,4,right,yes
sub-001,1,28,right,right,1,present,congruent,14,present,1,0.34074316592887044,4,right,yes
sub-001,1,38,right,right,1,present,congruent,6.1,present,1,0.27326012402772903,4,right,yes
sub-001,1,13,right,right,0,absent,congruent,0,absent,1,0.9018803751096128,4,right,yes
sub-001,1,8,right,right,1,present,congruent,3.7,present,1,0.2350459999870509,4,right,yes
sub-001,1,26,right,right,1,present,congruent,7.3,present,1,0.2495532080065459,4,right,yes
sub-001,1,16,right,right,1,present,congruent,14,present,1,0.2743452910799533,4,right,yes
sub-001,1,23,right,right,1,present,congruent,7.3,present,1,0.19453341700136664,4,right,yes
sub-001,1,31,right,right,1,present,congruent,4.8,present,1,0.2803579999599606,4,right,yes
sub-001,1,39,right,right,1,present,congruent,6.1,present,1,0.20746079087257385,4,right,yes
sub-001,1,40,right,right,0,absent,congruent,0,present,0,0.5516209579072893,4,right,yes
sub-001,1,22,right,right,0,absent,congruent,0,present,0,0.4693500001449138,4,right,yes
sub-001,1,11,right,right,1,present,congruent,5.3,present,1,0.2549192919395864,4,right,yes
sub-001,1,33,right,right,1,present,congruent,14,present,1,0.2589180408976972,4,right,yes
sub-001,1,9,right,right,0,absent,congruent,0,present,0,0.369696875102818,4,right,yes
sub-001,1,6,right,right,0,absent,congruent,0,absent,1,0.5201377079356462,4,right,yes
sub-001,1,4,right,right,1,present,congruent,6.1,present,1,0.2069628748577088,4,right,yes
sub-001,1,30,right,right,1,present,congruent,4.8,present,1,0.19619712512940168,4,right,yes
sub-001,1,1,right,right,1,present,congruent,6.1,present,1,0.5892999998759478,4,right,yes
sub-001,1,36,right,right,1,present,congruent,4.8,present,1,0.2995046670548618,4,right,yes
sub-001,1,15,right,right,1,present,congruent,3.7,present,1,0.22094770800322297,4,right,yes
sub-001,1,20,right,right,1,present,congruent,5.3,present,1,0.31421370804309845,4,right,yes
sub-001,1,42,right,right,1,present,congruent,3.7,present,1,0.2779470409732312,4,right,yes
sub-001,1,10,right,right,1,present,congruent,4.8,present,1,0.6473335830960423,4,right,yes
sub-001,1,17,right,right,1,present,congruent,3.7,present,1,2.8118003748822957,4,right,yes
sub-001,1,34,right,right,1,present,congruent,5.3,present,1,0.29183512390591204,4,right,yes
sub-001,1,3,right,right,1,present,congruent,14,present,1,0.2245103328023106,4,right,yes
sub-001,1,32,right,right,1,present,congruent,7.3,present,1,0.29786145803518593,4,right,yes
sub-001,1,19,right,right,1,present,congruent,5.3,present,1,0.23044787417165935,4,right,yes
sub-001,1,5,right,right,1,present,congruent,7.3,present,1,0.5438728330191225,4,right,yes
sub-001,1,7,right,right,1,present,congruent,7.3,present,1,0.5754011240787804,4,right,yes
sub-001,1,25,right,right,0,absent,congruent,0,present,0,0.48572987387888134,4,right,yes
sub-001,1,14,right,right,1,present,congruent,6.1,present,1,0.2668887081090361,4,right,yes
sub-001,1,35,right,right,1,present,congruent,4.8,present,1,0.2950801670085639,4,right,yes
sub-001,1,41,right,right,1,present,congruent,5.3,present,1,0.30872733308933675,4,right,yes
sub-001,1,37,right,right,1,present,congruent,3.7,present,1,0.344857124844566,4,right,yes
sub-001,1,27,right,right,1,present,congruent,14,present,1,0.2504878749605268,4,right,yes
sub-001,6,11,left,none,0,absent,none,0,absent,1,2.0746599989943206,None,down,yes
sub-001,6,26,left,none,1,present,none,3.7,absent,0,0.9146586249116808,None,down,yes
sub-001,6,10,left,none,0,absent,none,0,absent,1,0.5100165409967303,None,down,yes
sub-001,6,21,left,none,1,present,none,5.3,present,1,0.5283869169652462,None,down,yes
sub-001,6,34,left,none,1,present,none,5.3,present,1,0.7193379169330001,None,down,yes
sub-001,6,28,left,none,1,present,none,3.7,absent,0,0.5496944161131978,None,down,yes
sub-001,6,1,left,none,0,absent,none,0,absent,1,0.5958461659029126,None,down,yes
sub-001,6,9,left,none,1,present,none,14,present,1,0.37130504101514816,None,down,yes
sub-001,6,40,left,none,1,present,none,6.1,present,1,0.5242460831068456,None,down,yes
sub-001,6,41,left,none,1,present,none,6.1,absent,0,0.9251447080168872,None,down,yes
sub-001,6,27,left,none,1,present,none,5.3,present,1,0.462223791051656,None,down,yes
sub-001,6,30,left,none,1,present,none,7.3,present,1,0.3400745000690222,None,down,yes
sub-001,6,2,left,none,1,present,none,5.3,present,1,0.42101699905470014,None,down,yes
sub-001,6,8,left,none,1,present,none,4.8,present,1,0.3604128749575466,None,down,yes
sub-001,6,33,left,none,0,absent,none,0,absent,1,0.6226990409195423,None,down,yes
sub-001,6,29,left,none,1,present,none,4.8,present,1,0.4449179170187562,None,down,yes
sub-001,6,23,left,none,1,present,none,14,present,1,0.321652916027233,None,down,yes
sub-001,6,19,left,none,1,present,none,7.3,present,1,0.399510667193681,None,down,yes
sub-001,6,37,left,none,1,present,none,4.8,absent,0,0.4040181660093367,None,down,yes
sub-001,6,5,left,none,1,present,none,6.1,present,1,0.3819799160119146,None,down,yes
