"id","trial","direction","condition","corrAns","resp","corr","rt"
"sub-001",1,"right","speed","right","right",1,49.8312330000044
"sub-001",2,"left","speed","left","left",1,49.617169899997
"sub-001",3,"right","speed","right","right",1,49.3120258000126
"sub-001",4,"left","speed","left","left",1,49.5754870000092
"sub-001",5,"right","speed","right","right",1,50.5860735000024
"sub-001",6,"left","speed","left","left",1,49.5581247000082
"sub-001",7,"right","speed","right","left",0,51.8954813000018
"sub-001",8,"left","speed","left","left",1,56.5457336999971
"sub-001",9,"right","speed","right","left",0,53.3412977000116
"sub-001",10,"left","speed","left","right",0,49.6770546000043
"sub-001",11,"left","speed","left","right",0,54.3236560000078
"sub-001",12,"right","speed","right","left",0,54.2448074000131
"sub-001",13,"left","speed","left","right",0,55.6887622000067
"sub-001",14,"right","speed","right","right",1,50.7326577000058
"sub-001",15,"right","speed","right","left",0,52.021890700009
"sub-001",16,"left","speed","left","right",0,50.243520700009
"sub-001",17,"left","speed","left","left",1,53.9756994000054
"sub-001",18,"right","speed","right","right",1,51.0723937000148
"sub-001",19,"right","speed","right","right",1,49.8023222000047
"sub-001",20,"left","speed","left","left",1,50.0523631999968
"sub-001",21,"left","speed","left","left",1,49.9616354000027
"sub-001",22,"right","speed","right","right",1,52.4099779000098
"sub-001",23,"right","speed","right","left",0,52.1927943000046
"sub-001",24,"left","speed","left","right",0,51.5868382000044
"sub-001",25,"right","speed","right","right",1,51.3656576000067
"sub-001",26,"left","speed","left","left",1,49.5576910000091
"sub-001",27,"left","speed","left","left",1,50.0705553000153
"sub-001",28,"right","speed","right","right",1,52.3790108000103
"sub-001",29,"right","speed","right","right",1,50.1006395000149
"sub-001",30,"left","speed","left","left",1,49.6084483000013
"sub-001",31,"right","speed","right","right",1,51.0676007000147
"sub-001",32,"left","speed","left","left",1,49.6870997000078
"sub-001",33,"right","speed","right","right",1,49.788329700008
"sub-001",34,"left","speed","left","left",1,51.0597057000123
"sub-001",35,"left","speed","left","left",1,49.3758947000024
"sub-001",36,"right","speed","right","right",1,50.149373600012
"sub-001",37,"left","speed","left","left",1,54.2357545000123
"sub-001",38,"right","speed","right","right",1,50.0278987000056
"sub-001",39,"left","speed","left","left",1,50.0004768000072
"sub-001",40,"right","speed","right","right",1,50.8769584999973
"sub-001",41,"left","speed","left","left",1,50.6054756000085
"sub-001",42,"right","speed","right","right",1,51.2060171000048
"sub-001",43,"right","speed","right","right",1,54.0063636000123
"sub-001",44,"left","speed","left","right",0,51.2543517000013
"sub-001",45,"right","speed","right","left",0,49.8028751999955
"sub-001",46,"left","speed","left","left",1,49.5945527000003
"sub-001",47,"left","speed","left","left",1,49.5064695000037
"sub-001",48,"right","speed","right","right",1,50.5780978999974
"sub-001",49,"right","speed","right","left",0,50.5124603000004
"sub-001",50,"left","speed","left","left",1,50.548209200002
"sub-001",51,"right","speed","right","left",0,50.0382032000198
"sub-001",52,"left","speed","left","right",0,54.1708483999973
"sub-001",53,"left","speed","left","left",1,49.7902577000059
"sub-001",54,"right","speed","right","right",1,50.6464240000059
"sub-001",55,"left","speed","left","left",1,52.153538700004
"sub-001",56,"right","speed","right","right",1,49.5424652000074
"sub-001",57,"left","speed","left","left",1,49.7842864000122
"sub-001",58,"right","speed","right","right",1,49.5273903000052
"sub-001",59,"left","speed","left","left",1,49.4904382999957
"sub-001",60,"right","speed","right","right",1,49.3136476000072
"sub-001",1,"left","accuracy","left","left",1,49.5578948000039
"sub-001",2,"right","accuracy","right","right",1,49.2495916000044
