direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0117438000015681,0.0297209999989718,0.0297209999989718,40.014460999998846,space,67.94105470001523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,40.05365709999751,,,,,,,,,40.040938999998616,40.118098199993256,40.965172500000335,40.92900489999738,40.92905829999654,40.965172500000335,40.965172500000335,40.965172500000335,42.91444809999666,right,1.0,29.899468000003253,,42.91649719999987,42.95673710000119,43.44432609999785,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,43.46420370000124,,,,,,,,,43.44523939999635,44.62965069999336,45.44542899999942,45.41818619999685,45.41824280000583,45.44542899999942,45.44542899999942,45.44542899999942,46.34486539999489,right,0.0,28.844463100016583,,46.346205299996655,46.375754299995606,46.85075300000608,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,46.864836099994136,,,,,,,,,46.85175790000358,48.0627797000052,48.88736890000291,48.85775490000378,48.857807599997614,48.88736890000291,48.88736890000291,48.88736890000291,56.41406149999239,right,1.0,35.45918130000064,,56.41539409999677,56.44391139999789,56.93166420000489,53.88053969999601,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,56.96323829999892,,,,,,,,,56.93333159999747,57.01399550000497,57.828489399995306,57.79849040000408,57.79854760000308,57.828489399995306,57.828489399995306,57.828489399995306,63.76202100000228,left,1.0,33.889955200007535,,63.76349749999645,63.78149989999656,64.2785939000023,62.82432410000183,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,64.29236110000056,,,,,,,,,64.27956009999616,65.47915970000031,66.31246820000524,66.27816390000226,66.27821479999693,66.31246820000524,66.31246820000524,66.31246820000524,69.49923279999348,right,1.0,31.135173600006965,,69.50056279999262,69.52369449999242,70.00517709999986,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,70.02569789999689,,,,,,,,,70.00626300000295,70.11133709999558,70.93328969999857,70.90942759999598,70.90947769999912,70.93328969999857,70.93328969999857,70.93328969999857,73.1152746000007,left,1.0,30.12435420001566,,73.11662939999951,73.13540070000454,73.61763949999295,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,73.63547599999583,,,,,,,,,73.61853510000219,74.8438593000028,75.67517050000606,75.64419730000373,75.64425169999595,75.67517050000606,75.67517050000606,75.67517050000606,76.92773719999241,right,0.0,29.21141649999481,,76.92897470000025,76.95133130000613,77.45433769999363,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,77.47271529999853,,,,,,,,,77.45522410000558,78.24002670000482,79.07293399999617,79.04437119999784,79.0444237000047,79.07293399999617,79.07293399999617,79.07293399999617,82.87698260000616,right,1.0,31.75940850000188,,82.87830369999574,82.90761029999703,83.38387150000199,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,83.40319480000471,,,,,,,,,83.38474799999676,83.74110250000376,84.55420519999461,84.52594890000182,84.5259989000042,84.55420519999461,84.55420519999461,84.55420519999461,85.97236980000162,right,1.0,29.369068800006065,,85.97380659999908,85.99102990000392,86.49086770000577,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,1.0,random_dot,57.74862370765183,
