direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0117285000160336,0.0192722999490797,0.0192722999490797,47.8638009999413,space,63.40436140005477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,47.88564120000228,,,,,,,,,47.88011289993301,48.67633209994528,49.47763480001595,49.46036369993817,49.46040719992016,49.47763480001595,49.47763480001595,49.47763480001595,54.46100489993114,63.32993589993566,right,0.0,29.40951360017061,,63.33097749995068,63.35005709994584,63.8427512999624,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,63.8592261999147,,,,,,,,,63.84356269997079,64.64257469994482,65.44396950001828,65.42762480000965,65.42768530000467,65.44396950001828,65.44396950001828,65.44396950001828,70.42794399999548,73.84628009994049,left,0.0,23.958119100076143,,73.84701689996291,73.85952359996736,74.3445214999374,74.35920299997088,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,74.35920299997088,,,,,,,,,74.34527189994697,75.5591724999249,76.36096249998081,76.34313729999121,76.34316729998682,76.36096249998081,76.36096249998081,76.36096249998081,81.344150000019,91.56413710000923,left,1.0,30.761138800065964,,91.56545069999991,91.58183089992964,92.07596369995736,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,92.09244009992108,,,,,,,,,92.0766248999862,93.2757051999215,94.07739290001336,94.06035639997572,94.06040730001403,94.07739290001336,94.07739290001336,94.07739290001336,99.06090269994456,104.82998129993211,left,0.0,26.30830600007903,,104.83088709996082,104.84200860001148,105.32717449998016,105.3420383000048,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,105.3420383000048,,,,,,,,,105.32793279993348,105.442471700022,106.24388259998524,106.22649069991894,106.22653599991465,106.24388259998524,106.24388259998524,106.24388259998524,111.22720600001048,113.46227159991396,right,1.0,22.76669440011028,,113.46300300001168,113.47548969998024,113.96076659997924,113.9755751999328,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,113.9755751999328,,,,,,,,,113.96160569996572,114.3254851999227,115.12689209997188,115.10932619997766,115.10935759998392,115.12689209997188,115.12689209997188,115.12689209997188,120.11037559993564,123.64683109999169,left,1.0,24.078352000098675,,123.64769040001556,123.6588581999531,124.14373200002592,124.15869429998564,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,124.15869429998564,,,,,,,,,124.1444887999678,124.95889779995196,125.76054519996978,125.74301109998488,125.74304969992954,125.76054519996978,125.76054519996978,125.76054519996978,130.7432497999398,132.54583509999793,left,1.0,22.34296130004805,,132.54655039997306,132.55870489997324,133.04348290001508,133.0587644999614,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,133.0587644999614,,,,,,,,,133.0443024999695,133.85864210000727,134.660733699915,134.6438908999553,134.64394679991528,134.660733699915,134.660733699915,134.660733699915,139.6435921000084,140.66204139997717,right,1.0,21.55102440016344,,140.66269779996946,140.6752039999701,141.16028439998627,141.17520810000133,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,141.17520810000133,,,,,,,,,141.16108729992993,141.52534669998568,142.3269117999589,142.31037780002225,142.310435899999,142.3269117999589,142.3269117999589,142.3269117999589,,145.89481819991488,right,0.0,19.11640870000701,,145.89548479998484,145.90851290000137,146.39294039993547,146.40884069993626,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
right,right,,4.0,1.0,9.0,1.0,,,,,,,,,146.40884069993626,,,,,,,,,146.3934570000274,146.50836039998103,147.31034149997868,147.2927531999303,147.29279859992675,147.31034149997868,147.31034149997868,147.31034149997868,,151.52798939996865,right,1.0,19.76921320008114,,151.5286448999541,151.54204179998487,152.02671609993558,152.04189260001294,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,152.04189260001294,,,,,,,,,152.027467399952,152.14177949994337,152.94358650001232,152.92671589995734,152.92676729999948,152.94358650001232,152.94358650001232,152.94358650001232,157.92687039996963,160.42781010002363,right,1.0,23.040074500022456,,160.4284856999293,160.44165819999762,160.92547199991532,160.9417707999237,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
left,left,,5.0,1.0,11.0,0.0,,,,,,,,,160.9417707999237,,,,,,,,,160.92575599998236,161.04147209995426,161.84314539993647,161.82596129993908,161.8259945999598,161.84314539993647,161.84314539993647,161.84314539993647,,165.54665909998585,left,1.0,19.26487640012056,,165.54743919998873,165.5582467999775,166.04334430000745,166.05827959999442,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
right,right,,6.0,0.0,12.0,1.0,,,,,,,,,166.05827959999442,,,,,,,,,166.04422569996677,166.15854079998098,166.96011609991547,166.94300999992993,166.94304739998188,166.96011609991547,166.96011609991547,166.96011609991547,,170.2971282999497,right,1.0,18.89892669999972,,170.29788809991442,170.3081173999235,170.79342779994477,170.8083326999331,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
left,left,,6.0,1.0,13.0,0.0,,,,,,,,,170.8083326999331,,,,,,,,,170.79415570001584,170.90850060002413,171.70988969993778,171.6925333000254,171.69257329998072,171.70988969993778,171.70988969993778,171.70988969993778,,174.16231899999548,left,1.0,18.00656380003784,,174.16311500000302,174.17482590000145,174.65944069996476,174.67474499996752,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
left,left,,7.0,0.0,14.0,0.0,,,,,,,,,174.67474499996752,,,,,,,,,174.6601856999332,174.7749208000023,175.57668409997132,175.55903270002457,175.55906549992503,175.57668409997132,175.57668409997132,175.57668409997132,,178.86266169999726,right,0.0,18.837403100100342,,178.86350819992367,178.87472949991934,179.36012500000652,179.37506200000644,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
right,right,,7.0,1.0,15.0,1.0,,,,,,,,,179.37506200000644,,,,,,,,,179.36094929999672,179.4746949999826,180.27651929995045,180.26009629992768,180.2601350999903,180.27651929995045,180.27651929995045,180.27651929995045,,184.26246330002323,left,0.0,19.546366800088435,,184.2633229999337,184.2750707999803,184.7606420000084,184.77526809996925,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
right,right,,8.0,0.0,16.0,1.0,,,,,,,,,184.77526809996925,,,,,,,,,184.7614552999148,185.9750711999368,186.77689630002715,186.7592737999512,186.75930749997497,186.77689630002715,186.77689630002715,186.77689630002715,,189.9947938999394,right,1.0,18.76811699999962,,189.9954089999665,190.00810779992025,190.4930218999507,190.5081705999328,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
left,left,,8.0,1.0,17.0,0.0,,,,,,,,,190.5081705999328,,,,,,,,,190.49387969996317,190.60820669995155,191.40990979992785,191.3923642999725,191.39240279991645,191.40990979992785,191.40990979992785,191.40990979992785,196.3932658999693,198.61240679991897,right,0.0,22.75522050005384,,198.6133480999852,198.62483039998915,199.10968919994772,199.1249721000204,,,,,,,,,,,,,,,,,,,,,,,,,,sub-005,1.0,random_dot,60.07027021968558,
