direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0026808,0.005623,0.005623,26.967029,space,45.9670837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
left,left,,0,0,0,0,,,,,,,,,26.9909201,,,,,,,,,26.9871577,28.1811223,28.9924907,28.96595,28.9660105,28.9924907,28.9924907,28.9924907,33.9811884,45.7489297,right,0,35.762524,None,45.7504174,45.7654862,46.263273,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
right,right,,0,1,1,1,,,,,,,,,46.279878,,,,,,,,,46.264147,46.613564,47.4141384,47.3982407,47.3983131,47.4141384,47.4141384,47.4141384,52.413465,54.6986654,left,0,26.2920824,None,54.6997478,54.7128399,55.1979241,55.2131299,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
right,right,,1,0,2,1,,,,,,,,,55.2131299,,,,,,,,,55.1991995,55.3133595,56.1138128,56.0982436,56.0983,56.1138128,56.1138128,56.1138128,61.1133086,61.3823647,right,1,24.2806074,None,61.3838494,61.3987477,61.8962645,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
left,left,,1,1,3,0,,,,,,,,,61.9124785,,,,,,,,,61.897169,63.0957157,63.896646,63.8807504,63.8807962,63.896646,63.896646,63.896646,68.8955937,69.3146696,right,0,24.4277861,None,69.3155077,69.3286965,69.813507,69.8287506,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
right,right,,2,0,4,1,,,,,,,,,69.8287506,,,,,,,,,69.8144077,70.1789602,70.97882,70.9628792,70.9629048,70.97882,70.97882,70.97882,75.9629569,76.548543,left,0,24.579564,None,76.5496588,76.5618442,77.0469905,77.0617028,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
left,left,,2,1,5,0,,,,,,,,,77.0617028,,,,,,,,,77.0480756,78.2617786,79.0622019,79.0466159,79.0466726,79.0622019,79.0622019,79.0622019,84.0623069,85.0659892,right,0,25.0223051,None,85.0672322,85.0778444,85.5629147,85.5780837,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
left,left,,3,0,6,0,,,,,,,,,85.5780837,,,,,,,,,85.5638128,85.678138,86.4785266,86.4630757,86.4632283,86.4785266,86.4785266,86.4785266,91.478705,92.0646538,left,1,24.5997482,None,92.065781,92.0775796,92.5629016,92.5776741,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
right,right,,3,1,7,1,,,,,,,,,92.5776741,,,,,,,,,92.5640122,93.7776959,94.5780839,94.5622394,94.5622941,94.5780839,94.5780839,94.5780839,99.5613182,100.4461227,right,1,24.8809125,None,100.4471034,100.4603275,100.9454539,100.9605748,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
right,right,,4,0,8,1,,,,,,,,,100.9605748,,,,,,,,,100.9463545,101.0607015,101.8610262,101.8452815,101.8453263,101.8610262,101.8610262,101.8610262,106.8609164,107.7283825,right,1,24.8760364,None,107.7293022,107.7431432,108.2276857,108.2432923,,,,,,,,,,,,,,,,,,,,,,,,,,sub-013,1,2025-03-13_13h47.04.955,random_dot,03.02.2023,60.028946,2025-03-13 13h47.16.909199 +0100
