direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 71
,,,,,,,,,,,,,,,,,0.0182064000036916,0.0235933000003569,0.0235933000003569,14.989644900000712,space,31.59226579999813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,15.004595500002324,,,,,,,,,14.999136800004637,16.204172100005962,17.00456960000156,16.987516799999867,16.987534400002914,17.00456960000156,17.00456960000156,17.00456960000156,17.788285900001938,right,1.0,17.408246999999392,,17.792251000006218,17.804438400002255,18.303213099999997,,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,18.31944150000345,,,,,,,,,18.30364120000013,18.6526887,19.453192600005423,19.43616330000077,19.436178900003146,19.453192600005423,19.453192600005423,19.453192600005423,19.754079500002263,left,1.0,16.91655200000241,,19.754535200001555,19.768377899999905,20.252301700005773,20.268143600005715,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,20.268143600005715,,,,,,,,,20.25264480000624,20.61798980000458,21.418652300002577,21.401317100004235,21.40133380000043,21.418652300002577,21.418652300002577,21.418652300002577,21.93578250000428,right,0.0,17.132004099999904,,21.936207200000357,21.95049180000205,22.434062400003317,22.45016890000261,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,22.45016890000261,,,,,,,,,22.434379800004532,23.64934190000349,24.44974010000442,24.43251980000059,24.432537700005923,24.44974010000442,24.44974010000442,24.44974010000442,25.05034990000422,right,1.0,17.226257700000133,,25.05078979999962,25.064855800002988,25.54919840000366,25.564695500004746,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,25.564695500004746,,,,,,,,,25.549525800000996,25.66456660000404,26.46540960000129,26.44832740000129,26.448343500000192,26.46540960000129,26.46540960000129,26.46540960000129,27.24908570000116,right,1.0,17.396425300001283,,27.24951069999952,27.26353519999975,27.747676099999808,27.763685700003407,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,27.763685700003407,,,,,,,,,27.748000800005684,28.962758500005293,29.76304450000316,29.745950500000617,29.74596670000028,29.76304450000316,29.76304450000316,29.76304450000316,30.38117280000006,left,1.0,17.23970410000038,,30.38160450000578,30.39508050000586,30.87886900000012,30.89462440000352,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,30.89462440000352,,,,,,,,,30.87924010000279,31.24487720000616,32.04514210000343,32.02849060000153,32.02850690000196,32.04514210000343,32.04514210000343,32.04514210000343,32.879054500001075,right,0.0,17.448212399998738,,32.879527800003416,32.89358500000526,33.37735100000282,33.39307640000334,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,33.39307640000334,,,,,,,,,33.377685100000235,33.49307930000214,34.293517500002054,34.277451500005554,34.27746770000522,34.293517500002054,34.293517500002054,34.293517500002054,35.21056740000495,right,1.0,17.535432800003036,,35.21099500000128,35.22525840000162,35.708881600003224,35.7247467000052,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,35.7247467000052,,,,,,,,,35.70923700000276,35.82474980000552,36.62592220000079,36.608726000005845,36.60874250000052,36.62592220000079,36.62592220000079,36.62592220000079,37.57635160000064,right,1.0,17.57724749999761,,37.57678800000576,37.59031859999959,38.07403680000425,38.09025020000263,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,38.09025020000263,,,,,,,,,38.074354700002,38.88965490000555,39.68998560000182,39.67280230000324,39.67282030000206,39.68998560000182,39.68998560000182,39.68998560000182,40.490630899999815,right,0.0,17.42270109999663,,40.4910658000008,40.50527829999919,40.98909410000488,41.00492920000397,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,41.00492920000397,,,,,,,,,40.98944210000627,41.10477309999988,41.9054757000049,41.88912669999991,41.88914270000532,41.9054757000049,41.9054757000049,41.9054757000049,42.97229650000372,right,1.0,17.680979199998546,,42.972749600005045,42.98687610000343,43.47087590000592,43.48685280000064,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,5.0,1.0,11.0,0.0,,,,,,,,,43.48685280000064,,,,,,,,,43.47120800000266,44.685883800004376,45.48669599999994,45.46933640000498,45.46935240000312,45.48669599999994,45.48669599999994,45.48669599999994,46.35400930000469,left,1.0,17.47853980000218,,46.3545660000018,46.36813680000341,46.85226020000118,46.86796529999992,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,6.0,0.0,12.0,0.0,,,,,,,,,46.86796529999992,,,,,,,,,46.85258070000418,47.21763720000308,48.01828350000142,48.00165430000197,48.00167540000257,48.01828350000142,48.01828350000142,48.01828350000142,48.73560110000108,right,0.0,17.335348000000522,,48.73602450000181,48.75026459999936,49.2340181000036,49.24992380000185,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,6.0,1.0,13.0,1.0,,,,,,,,,49.24992380000185,,,,,,,,,49.23434970000381,50.04940120000538,50.84962010000163,50.83269870000368,50.8327214000019,50.84962010000163,50.84962010000163,50.84962010000163,51.41728700000385,right,1.0,17.185018399999535,,51.417704100000265,51.43197770000552,51.91530700000294,51.93146970000089,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,7.0,0.0,14.0,1.0,,,,,,,,,51.93146970000089,,,,,,,,,51.91563130000577,52.73067020000599,53.53132349999942,53.51421780000237,53.514236700000765,53.53132349999942,53.53132349999942,53.53132349999942,54.01544439999998,right,1.0,17.10621180000453,,54.01587040000595,54.03014090000215,54.51378880000266,54.52971140000591,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,7.0,1.0,15.0,0.0,,,,,,,,,54.52971140000591,,,,,,,,,54.51412300000084,54.629869100004726,55.44686130000628,55.42994090000138,55.42995910000173,55.44686130000628,55.44686130000628,55.44686130000628,55.7644386000029,left,1.0,16.928988800005754,,55.76485450000473,55.77910420000262,56.26294510000298,56.27857439999934,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,8.0,0.0,16.0,1.0,,,,,,,,,56.27857439999934,,,,,,,,,56.263305300002685,56.3785754000055,57.179032600004575,57.16216250000434,57.16218510000181,57.179032600004575,57.179032600004575,57.179032600004575,57.28039750000608,left,0.0,16.7204944000041,,57.28081360000215,57.2947473000022,57.77841210000042,57.794434200004616,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,8.0,1.0,17.0,0.0,,,,,,,,,57.794434200004616,,,,,,,,,57.778734300001815,57.894150300002366,58.69467050000094,58.67790249999962,58.67791840000427,58.69467050000094,58.69467050000094,58.69467050000094,59.21185510000214,right,0.0,17.12979450000421,,59.21228610000253,59.22660259999975,59.71050580000156,59.72616879999987,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,,9.0,0.0,18.0,0.0,,,,,,,,,59.72616879999987,,,,,,,,,59.710916399999405,59.82662390000041,60.62706230000185,60.60973070000182,60.60975049999979,60.62706230000185,60.62706230000185,60.62706230000185,61.72732209999958,right,0.0,17.719441299996106,,61.72774130000471,61.74200840000413,62.22591359999933,62.24172879999969,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,,9.0,1.0,19.0,1.0,,,,,,,,,62.24172879999969,,,,,,,,,62.226267400001234,62.591519900001,63.39193119999982,63.3747799000048,63.37480530000175,63.39193119999982,63.39193119999982,63.39193119999982,64.12584070000594,right,1.0,17.35989249999693,,64.12627250000514,64.14045410000108,64.62402390000352,64.63996120000229,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.62407969999913,64.63996120000229,64.63996120000229,66.989831400002,space,18.972889500000747,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.98985770000581,67.00553729999956,67.00553729999956,70.58731280000211,space,20.201351499999877,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.60209320000286,,,,,,,,,71.59258920000138,72.40143150000222,73.20210710000538,73.18557350000629,73.18559160000586,73.20210710000538,73.20210710000538,73.20210710000538,74.45288920000166,right,0.0,17.875124800004414,,,,,,,,,,,,,,,,,,,,70.59030120000534,70.60785820000456,70.60785820000456,71.58697970000503,space,17.604482499998994,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,74.46694820000266,,,,,,,,,74.45392830000492,75.26665140000114,76.06718810000166,76.05012200000056,76.05014550000487,76.06718810000166,76.06718810000166,76.06718810000166,77.20056640000257,right,1.0,17.75474409999879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,77.21539260000282,,,,,,,,,77.20147420000285,78.41444870000123,79.21502220000548,79.19814820000465,79.19817300000432,79.21502220000548,79.21502220000548,79.21502220000548,80.64853399999993,left,1.0,18.048069600001327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,80.66327799999999,,,,,,,,,80.64937250000366,81.46295620000456,82.26306720000139,82.24605720000545,82.2460732000036,82.26306720000139,82.26306720000139,82.26306720000139,84.24611640000512,right,1.0,18.596084299999347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,84.26076029999967,,,,,,,,,84.24700040000607,85.06108740000491,85.87763000000268,85.86105210000096,85.86107540000376,85.87763000000268,85.87763000000268,85.87763000000268,87.22787880000396,left,1.0,17.969455799997377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-020,1.0,random_dot,59.92900809713151,
