direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,stimulusDots.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0092005420010536,0.0220151669927872,0.0220151669927872,2.2530227079987526,space,2.0764688749914058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
left,left,0.0,0.0,0.0,right,0.0,4.628003874968272,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,2.2871577920159325,,,,,,,,,2.2743918750202283,3.454346625017933,4.253836082993075,4.239530583028682,4.240118917019572,4.253836082993075,4.253836082993075,4.253836082993075,8.884606792009436,right,0.0,4.628003874968272,,8.8917345420341,9.013464041985571,9.389656957995612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
right,right,1.0,1.0,0.0,left,0.0,5.710121500014793,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,9.400514582986943,,,,,,,,,9.390230750024784,9.4741090000025,10.276697875000536,10.267479458008893,10.268021667026916,10.276697875000536,10.276697875000536,10.276697875000536,15.991685374989174,left,0.0,5.710121500014793,,15.991873708029743,16.004219333000947,16.490695292013697,15.256183166988194,16.500710542022716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
right,right,2.0,0.0,1.0,right,1.0,1.3866940840380266,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,16.500710542022716,,,,,,,,,16.49115445802454,17.690852708008606,18.493153457995504,18.4844693330233,18.485094667004887,18.493153457995504,18.493153457995504,18.493153457995504,19.885201167024206,right,1.0,1.3866940840380266,,19.890393082983792,19.89758658298524,20.38441379199503,,20.39023645798443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
left,left,3.0,1.0,1.0,left,1.0,1.9583253329619763,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,20.39023645798443,,,,,,,,,20.384911832981743,21.17456066701561,21.96744508302072,21.9573739169864,21.957950917014387,21.96744508302072,21.96744508302072,21.96744508302072,23.93496520799817,left,1.0,1.9583253329619763,,23.935087624995504,23.94301774998894,24.434833500010427,,24.44047816703096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
left,left,4.0,0.0,2.0,right,0.0,2.685267209017184,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,24.44047816703096,,,,,,,,,24.43536620802479,25.625656499993056,26.4269561250112,26.41830695798853,26.419003541988783,26.4269561250112,26.4269561250112,26.4269561250112,29.118506583035924,right,0.0,2.685267209017184,,29.120965750014875,29.127824958006386,29.61828824999975,,29.623751832987185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
right,right,5.0,1.0,2.0,left,0.0,2.16161504102638,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,29.623751832987185,,,,,,,,,29.618779000011276,29.95819133298937,30.75074383302126,30.741263833013363,30.74184495798545,30.75074383302126,30.75074383302126,30.75074383302126,32.91801145800855,left,0.0,2.16161504102638,,32.91807958303252,32.92457233299501,33.407707042002585,,33.41811129200505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
right,right,6.0,0.0,3.0,left,0.0,1.644928166992031,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,33.41811129200505,,,,,,,,,33.40818629198475,33.75920791702811,34.560641666990705,34.5520284579834,34.552718791994266,34.560641666990705,34.560641666990705,34.560641666990705,36.209155125019606,left,0.0,1.644928166992031,,36.209302917006426,36.21773712499999,36.7020386250224,,36.7081611250178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
left,left,7.0,1.0,3.0,right,0.0,1.7212732919724658,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,36.7081611250178,,,,,,,,,36.702611916989554,36.806696249987,37.601217332994565,37.5914878330077,37.592119749984704,37.601217332994565,37.601217332994565,37.601217332994565,39.32592408300843,right,0.0,1.7212732919724658,,39.32605808298104,39.33444512501592,39.81886450003367,,39.82516912498977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
left,left,8.0,0.0,4.0,right,0.0,1.5657614580122754,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,39.82516912498977,,,,,,,,,39.8195100830053,41.02549020800507,41.81786829198245,41.808496750018094,41.80907883303007,41.81786829198245,41.81786829198245,41.81786829198245,43.386252249998506,right,0.0,1.5657614580122754,,43.38639654201688,43.39219112502178,43.875447375001386,,43.88534650002839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
right,right,9.0,1.0,4.0,left,0.0,2.6593753329943866,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,43.88534650002839,,,,,,,,,43.87594937498216,45.07615641702432,45.87733658298384,45.869083416997455,45.869689624989405,45.87733658298384,45.87733658298384,45.87733658298384,48.54328116698889,left,0.0,2.6593753329943866,,48.54341320798267,48.55145029199775,49.0358230000129,,49.04163125000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
right,right,10.0,0.0,5.0,left,0.0,3.0510746670188382,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,49.04163125000196,,,,,,,,,49.03632804198424,49.392238957982045,50.184566124982666,50.17591733299196,50.17657554202015,50.184566124982666,50.184566124982666,50.184566124982666,53.24341262498638,left,0.0,3.0510746670188382,,53.243478875025176,53.25170075002825,53.7360444579972,,53.74138299998594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
left,left,11.0,1.0,5.0,right,0.0,1.1516895410022698,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,53.74138299998594,,,,,,,,,53.73651941702701,54.091237624990754,54.88516129198251,54.87495583301643,54.875581875036005,54.88516129198251,54.88516129198251,54.88516129198251,56.04329395800596,right,0.0,1.1516895410022698,,56.04343083302956,56.05176854203455,56.5360362920328,,56.54190675000427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
right,right,12.0,0.0,6.0,right,1.0,1.406036000000313,,,,,,6.0,0.0,12.0,1.0,,,,,,,,,56.54190675000427,,,,,,,,,56.536585916997865,57.34303570800694,58.14576179202413,58.1364520000061,58.13720925000962,58.14576179202413,58.14576179202413,58.14576179202413,59.55370779201621,right,1.0,1.406036000000313,,59.55668587499531,59.56334954203339,60.0529772079899,,60.05879837501561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
left,left,13.0,1.0,6.0,left,1.0,3.89761758298846,,,,,,6.0,1.0,13.0,0.0,,,,,,,,,60.05879837501561,,,,,,,,,60.05348162498558,60.84328100003768,61.64516429201467,61.63638662500307,61.63701562501956,61.64516429201467,61.64516429201467,61.64516429201467,65.55386579199694,left,1.0,3.89761758298846,,65.55400891700992,65.56223366700578,66.05324245803058,,66.05934820801485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
right,right,14.0,0.0,7.0,right,1.0,5.290390791953541,,,,,,7.0,0.0,14.0,1.0,,,,,,,,,66.05934820801485,,,,,,,,,66.05378800001927,67.24366320803529,68.03498520801077,68.02640741702635,68.02704458299559,68.03498520801077,68.03498520801077,68.03498520801077,73.32744800002547,right,1.0,5.290390791953541,,73.32763054198585,73.33619254198857,73.82003387500299,73.0198107920005,73.82592558301985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
left,left,15.0,1.0,7.0,left,1.0,3.465566291997675,,,,,,7.0,1.0,15.0,0.0,,,,,,,,,73.82592558301985,,,,,,,,,73.8206936250208,74.17631041700952,74.96940425003413,74.95914120803354,74.9597614579834,74.96940425003413,74.96940425003413,74.96940425003413,78.43779904203257,left,1.0,3.465566291997675,,78.43794416700257,78.44641075003892,78.93708804203197,,78.94292179198237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
right,right,16.0,0.0,8.0,right,1.0,2.869491166959051,,,,,,8.0,0.0,16.0,1.0,,,,,,,,,78.94292179198237,,,,,,,,,78.93759808299365,79.02679700002773,79.82892104203347,79.82033183303429,79.82094616699032,79.82892104203347,79.82892104203347,79.82892104203347,82.70457233302295,right,1.0,2.869491166959051,,82.7047182500246,82.71210183302173,83.20407820801483,,83.20975237502716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
left,left,17.0,1.0,8.0,right,0.0,3.1383397910394706,,,,,,8.0,1.0,17.0,0.0,,,,,,,,,83.20975237502716,,,,,,,,,83.2045087920269,84.39425954199396,85.19580879202113,85.18737054202938,85.18796270800522,85.19580879202113,85.19580879202113,85.19580879202113,88.33764241699828,right,0.0,3.1383397910394706,,88.3405465830001,88.34757162502501,88.837313792028,,88.84376516699558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-023,1,random_dot,121.32492841877117,
