direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,stimulusDots.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0069650000000365,0.0244805000000383,0.0244805000000383,113.54835640000005,space,139.438091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,113.6306864,,,,,,,,,113.61947550000002,114.75580480000002,115.5637383,115.54257190000004,115.54265580000003,115.5637383,115.5637383,115.5637383,119.17950000000002,left,1.0,29.531998199999972,,119.18185390000002,119.22946260000003,119.69035210000004,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,119.70718880000004,,,,,,,,,119.6916177,120.8902908,121.69379930000002,121.674804,121.67486310000004,121.69379930000002,121.69379930000002,121.69379930000002,125.1702745,right,1.0,29.39512249999996,,125.1718649,125.1855673,125.6736869,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,125.69004160000004,,,,,,,,,125.67483020000005,126.8723453,127.6761399,127.6579822,127.65804050000004,127.6761399,127.6761399,127.6761399,130.63637320000004,right,1.0,28.87414979999994,,130.63809930000002,130.6513225,131.1403055,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,131.15653380000003,,,,,,,,,131.14153270000003,132.34016310000004,133.14320280000004,133.12451930000003,133.12457840000002,133.14320280000004,133.14320280000004,133.14320280000004,137.00240990000003,right,0.0,29.78268349999996,,137.0040449,137.03868640000002,137.5069793,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,137.52308800000003,,,,,,,,,137.5081169,138.3067557,139.1100821,139.0911362,139.09119530000004,139.1100821,139.1100821,139.1100821,141.4204133,left,0.0,28.218249799999967,,141.422006,141.43531570000005,141.92349000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,141.93968,,,,,,,,,141.9247143,143.12302620000003,143.9266354,143.9081104,143.9081701,143.9266354,143.9266354,143.9266354,146.8000374,right,0.0,28.78812769999996,,146.80259030000002,146.815782,147.3065833,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,147.3228694,,,,,,,,,147.3078173,147.65636010000003,148.4602992,148.44121080000002,148.4412658,148.4602992,148.4602992,148.4602992,152.3470648,left,1.0,29.80518139999998,,152.34858250000002,152.37123150000002,152.8565797,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,152.872972,,,,,,,,,152.85778850000003,153.6562847,154.45966550000003,154.44116630000002,154.44122480000004,154.45966550000003,154.45966550000003,154.45966550000003,158.28669590000004,left,0.0,29.747663499999987,,158.28820010000004,158.3114789,158.7897757,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,158.8061465,,,,,,,,,158.7909619,159.989332,160.79251370000003,160.77411770000003,160.7741785,160.79251370000003,160.79251370000003,160.79251370000003,164.83576580000005,right,1.0,29.960991899999957,,164.8375411,164.85976450000004,165.33973480000003,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,165.35592380000003,,,,,,,,,165.34095050000002,166.139405,166.94277770000002,166.9239855,166.92404550000003,166.94277770000002,166.94277770000002,166.94277770000002,171.6026021,right,0.0,30.57616749999994,,171.60462900000005,171.6269929,172.10625780000004,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,172.12260450000002,,,,,,,,,172.10745180000004,172.45574770000002,173.25955720000002,173.24067260000004,173.2407308,173.25955720000002,173.25955720000002,173.25955720000002,192.72333410000005,left,0.0,45.38277979999998,,192.7243437,192.7384501,193.2226696,178.2566906,193.23830930000003,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,5.0,1.0,11.0,0.0,,,,,,,,,193.23830930000003,,,,,,,,,193.22340860000003,194.03829610000005,194.8385248,194.82261570000003,194.82265570000004,194.8385248,194.8385248,194.8385248,199.2630256,left,1.0,30.349125200000003,,199.26451280000003,199.28836820000004,199.7722751,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,6.0,0.0,12.0,1.0,,,,,,,,,199.7887746,,,,,,,,,199.7735376,200.57213090000005,201.37569970000004,201.3571803,201.3572392,201.37569970000004,201.37569970000004,201.37569970000004,204.42330100000004,right,1.0,28.960424299999943,,204.42430380000008,204.4380959,204.92245720000005,,204.93809180000005,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,6.0,1.0,13.0,0.0,,,,,,,,,204.93809180000005,,,,,,,,,204.9231945,206.13804430000005,206.93836770000007,206.92239070000005,206.9224309,206.93836770000007,206.93836770000007,206.93836770000007,210.3064237,right,0.0,29.29196810000002,,210.30742610000004,210.326859,210.82152630000007,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,7.0,0.0,14.0,1.0,,,,,,,,,210.83802550000007,,,,,,,,,210.8223273,211.621435,212.42161440000007,212.4056932,212.40573400000005,212.42161440000007,212.42161440000007,212.42161440000007,215.6397847000001,left,0.0,29.134241199999963,,215.64078040000004,215.6548214000001,216.13894490000007,,216.1545811,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,7.0,1.0,15.0,0.0,,,,,,,,,216.1545811,,,,,,,,,216.13965900000005,216.95464720000007,217.7549022000001,217.7389627,217.7390174,217.7549022000001,217.7549022000001,217.7549022000001,223.0894495,left,1.0,31.246411099999875,,223.0904352,223.1095011,223.6047413,222.75442080000005,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,8.0,0.0,16.0,0.0,,,,,,,,,223.62107660000004,,,,,,,,,223.6055518000001,224.40442900000005,225.20464860000004,225.18871380000007,225.18875390000005,225.20464860000004,225.20464860000004,225.20464860000004,227.6895816,left,1.0,28.39603419999997,,227.6905808,227.7043338,228.18881320000003,,228.2043453,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,8.0,1.0,17.0,1.0,,,,,,,,,228.2043453,,,,,,,,,228.18952160000003,228.55431250000004,229.3546177000001,229.33868270000005,229.3387235,229.3546177000001,229.3546177000001,229.3546177000001,232.52288570000007,right,1.0,29.09270989999999,,232.5239008,232.53789200000008,233.02195360000007,,233.03761710000003,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,,9.0,0.0,18.0,1.0,,,,,,,,,233.03761710000003,,,,,,,,,233.0226837,233.8375654,234.63797350000004,234.6220314,234.6220717,234.63797350000004,234.63797350000004,234.63797350000004,236.2225641,right,1.0,27.50270180000001,,236.22355100000004,236.23760130000005,236.72197630000005,,236.73755530000005,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,,9.0,1.0,19.0,0.0,,,,,,,,,236.73755530000005,,,,,,,,,236.72270560000004,237.5376195,238.3380152,238.3219085000001,238.32195680000007,238.3380152,238.3380152,238.3380152,240.1058588,left,1.0,27.688071899999898,,240.1068629,240.12094520000005,240.6052532,,240.6207827000001,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.6053694,240.6207827000001,240.6207827000001,248.5890022,space,33.87909129999997,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.58907440000007,248.6039783,248.6039783,264.72209340000006,space,42.03905139999989,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
right,right,speed,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,272.6152238,,,,,,,,,272.60534730000006,273.403631,274.20391870000003,274.18790580000007,274.18794950000006,274.20391870000003,274.20391870000003,274.20391870000003,275.6220187,left,0.0,27.338772099999854,,,,,,,,,,,,,,,,,,,,,264.7511141,264.80816390000007,264.80816390000007,272.5889056,space,33.695207299999936,,,,,sub-029,2.0,random_dot,60.04974520893384,
left,left,speed,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,275.6368648,,,,,,,,,275.6246291,276.43691780000006,277.2372336,277.2212333,277.2212747,277.2372336,277.2372336,277.2372336,279.234917,right,0.0,27.91759929999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-029,2.0,random_dot,60.04974520893384,
