direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0068630999885499,0.0244908999884501,0.0244908999884501,9.457279499969443,space,23.07539800001541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,9.473337499948684,,,,,,,,,9.463085700001102,9.55711860000156,10.356506199983414,10.340654200001154,10.34066940000048,10.356506199983414,10.356506199983414,10.356506199983414,11.873827299976256,left,1.0,15.165295600017998,,11.874416899983771,11.889890299993567,12.390520999964792,12.373987899976784,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,12.390520999964792,,,,,,,,,12.374349599995185,13.1735918999766,13.973538799968082,13.957242799981032,13.957260399998631,13.973538799968082,13.973538799968082,13.973538799968082,14.74043859995436,left,0.0,14.416984700015746,,14.740845299966168,14.756524299969897,15.256985699990764,15.240561499958858,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,15.256985699990764,,,,,,,,,15.240922699973453,16.456301899976097,17.256908799987286,17.2400278999703,17.2400454999879,17.256908799987286,17.256908799987286,17.256908799987286,19.39021679997677,right,1.0,15.781220000004396,,19.39062769996235,19.40702240000246,19.906182000006083,19.889892199949827,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,19.906182000006083,,,,,,,,,19.890214999963064,19.98953479999909,20.78951249999227,20.773329499992546,20.773349999974016,20.78951249999227,20.78951249999227,20.78951249999227,23.040226999961305,left,1.0,15.904486600018572,,23.040560299996287,23.057030399970245,23.55696560000069,23.540345099987466,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,23.55696560000069,,,,,,,,,23.540719099983107,24.739720099954862,25.539942499948665,25.523470099957198,25.5234907999984,25.539942499948665,25.539942499948665,25.539942499948665,27.673547899990808,left,1.0,15.780922900012229,,27.67393349995837,27.689431999984663,28.18994690000545,28.1732288999483,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,28.18994690000545,,,,,,,,,28.173605699965265,28.272748599993065,29.072689099994022,29.05644539999776,29.05646150000393,29.072689099994022,29.072689099994022,29.072689099994022,30.12363349995576,right,1.0,14.698440700070933,,30.123994099965785,30.139795599970967,30.639337199972942,30.62396539998008,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,30.639337199972942,,,,,,,,,30.624403099995103,31.839528599986807,32.63926819997141,32.62361109995982,32.623629899986554,32.63926819997141,32.63926819997141,32.63926819997141,34.02316669997526,right,1.0,15.037601000047289,,34.023512199986726,34.03936569998041,34.539254699950106,34.52303139999276,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,34.539254699950106,,,,,,,,,34.52333120000549,35.72243109997362,36.52286139997887,36.50665100000333,36.506669399968814,36.52286139997887,36.52286139997887,36.52286139997887,37.97392039996339,left,1.0,15.093660000013188,,37.97431540000253,37.98959269997431,38.48935619997792,38.47302340000169,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,38.48935619997792,,,,,,,,,38.47339449997526,38.57238959998358,39.3724857000052,39.356063299987,39.35608319996391,39.3724857000052,39.3724857000052,39.3724857000052,40.5897757000057,left,1.0,14.868841500021516,,40.590121799963526,40.60659559996566,41.10653190000448,41.08994459995301,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
