direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0159172,0.0204788,0.0204788,42.2110799,space,64.2038369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,0,0,0,0,,,,,,,,,42.2747949,,,,,,,,,42.2698638,42.326396,43.127117,43.1103448,43.1103634,43.127117,43.127117,43.127117,48.1098107,53.9783565,left,1,32.8640637,None,53.9789962,53.9923957,54.4921811,54.4766441,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,0,1,1,1,,,,,,,,,54.4921811,,,,,,,,,54.4773408,55.2921216,56.092741,56.0763522,56.0763727,56.092741,56.092741,56.092741,61.0761415,61.2288897,left,0,27.1409728,None,61.2298437,61.241724,61.742069,61.7264339,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,1,0,2,1,,,,,,,,,61.742069,,,,,,,,,61.726861,61.8418466,62.6422207,62.6263349,62.62636,62.6422207,62.6422207,62.6422207,,67.4769819,left,0,26.8468529,None,67.4773496,67.4916959,67.9915437,67.9758733,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,1,1,3,0,,,,,,,,,67.9915437,,,,,,,,,67.9763994,68.3415313,69.1425472,69.1260416,69.1260622,69.1425472,69.1425472,69.1425472,,71.9113622,right,0,24.7757021,None,71.9119596,71.9250429,72.4248508,72.4093608,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,2,0,4,1,,,,,,,,,72.4248508,,,,,,,,,72.4098894,73.6250442,74.4253143,74.4091055,74.4091344,74.4253143,74.4253143,74.4253143,,77.7791987,left,0,25.3709919,None,77.7796817,77.7911661,78.2911987,78.2758189,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,2,1,5,0,,,,,,,,,78.2911987,,,,,,,,,78.2763665,78.6408864,79.4417418,79.4254722,79.4255133,79.4417418,79.4417418,79.4417418,,81.3103804,right,0,23.8878698,None,81.3109092,81.3244715,81.8243266,81.8090297,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,3,0,6,0,,,,,,,,,81.8243266,,,,,,,,,81.8096093,82.6242642,83.4252819,83.4085806,83.4086069,83.4252819,83.4252819,83.4252819,88.4083908,88.7594055,left,1,27.3415314,None,88.7598862,88.7738385,89.2738453,89.2587805,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,3,1,7,1,,,,,,,,,89.2738453,,,,,,,,,89.2591637,90.0740071,90.8746404,90.8584781,90.8585043,90.8746404,90.8746404,90.8746404,,94.0591238,left,0,25.1915637,None,94.0595764,94.0737186,94.5735664,94.5579437,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,4,0,8,0,,,,,,,,,94.5735664,,,,,,,,,94.5585484,95.7734906,96.5740257,96.5578029,96.5578269,96.5740257,96.5740257,96.5740257,,98.4093336,left,1,23.8471686,None,98.4097131,98.4234802,98.9234301,98.9073658,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,4,1,9,1,,,,,,,,,98.9234301,,,,,,,,,98.9078409,99.0235687,99.824117,99.8077304,99.8077518,99.824117,99.824117,99.824117,,103.6921181,left,0,25.8747582,None,103.6927847,103.7064122,104.2068389,104.1906004,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
