direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,stimulusDots.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.039407400006894,0.0470884999958798,0.0470884999958798,28.661246000003302,space,66.25255319999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,28.698538800003007,,,,,,,,,28.691081800003303,29.86658050000551,30.73231739999028,30.651201700005917,30.651240900013363,30.73231739999028,30.73231739999028,30.73231739999028,35.10384689999046,left,1.0,41.99503379996168,,35.105390400014585,35.124761699989904,35.61856329999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,35.63479849998839,,,,,,,,,35.619571699993685,36.81841129998793,37.61900340000284,37.602604899992,37.60264970001299,37.61900340000284,37.61900340000284,37.61900340000284,43.72021269999095,right,1.0,43.730752900009975,,43.72107080000569,43.73497009999119,44.21943420000025,42.60195159999421,44.23486029999913,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,44.23486029999913,,,,,,,,,44.22010130001581,45.43487240001559,46.2351398000028,46.21900690000621,46.21904480000376,46.2351398000028,46.2351398000028,46.2351398000028,47.65452529999311,left,1.0,39.0584027999721,,47.6556958000001,47.667980199999874,48.15239480001037,,48.16784569999436,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,48.16784569999436,,,,,,,,,48.15303200000199,49.36792620000779,50.16846429998986,50.15255210001487,50.15259410001454,50.16846429998986,50.16846429998986,50.16846429998986,53.25344100000802,right,1.0,40.715106899966486,,53.25451369999792,53.26791660001618,53.75240110000596,,53.76827219998813,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,53.76827219998813,,,,,,,,,53.75311680001323,54.96843529999023,55.76873959999648,55.75224080000771,55.75228089999291,55.76873959999648,55.76873959999648,55.76873959999648,57.77024529999471,left,1.0,39.63274749997072,,57.7712121999939,57.7902912000136,58.28545719999238,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,58.30117580000661,,,,,,,,,58.28617619999568,59.08452160001616,59.885405600012746,59.869023100007325,59.869063299993286,59.885405600012746,59.885405600012746,59.885405600012746,63.35388760000933,left,0.0,41.09902900000452,,63.35473120000097,63.37203399999999,63.86844150000252,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,63.8846610999899,,,,,,,,,63.869150500016985,63.96782029999304,64.76840349999839,64.75225620000856,64.75229900001432,64.76840349999839,64.76840349999839,64.76840349999839,66.5034478000016,left,1.0,39.3612522999756,,66.5043422000017,66.51825789999566,67.00273619999643,,67.01791930000763,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,67.01791930000763,,,,,,,,,67.0034677000076,67.36856500001159,68.16861369999242,68.15236760000698,68.152399899991,68.16861369999242,68.16861369999242,68.16861369999242,69.43697030001204,right,1.0,38.90582199997152,,69.43804330000421,69.45140349998837,69.93557979998877,,69.9516544000071,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,69.9516544000071,,,,,,,,,69.93627559999004,71.1512650999939,71.9517627999885,71.93595610000193,71.93599050000194,71.9517627999885,71.9517627999885,71.9517627999885,73.2870777999924,left,1.0,38.96361639999668,,73.2882620000164,73.30139290000079,73.78582180000376,,73.80197490000864,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,1.0,random_dot,59.74472275227346,
