direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0064721999224275,0.0158836999908089,0.0158836999908089,44.52713340008631,space,64.19829480000772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,44.58826279989444,,,,,,,,,44.58248810004443,44.64277229993604,45.442593900021166,45.42626160010696,45.426281299907714,45.442593900021166,45.442593900021166,45.442593900021166,50.42511019995436,60.29170989990234,left,0.0,34.538541099987924,,60.292409900110215,60.30713999993168,60.80711840000004,60.79106270009652,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,60.80711840000004,,,,,,,,,60.791373200016096,61.99180689989589,62.80694400006905,62.7907626000233,62.79078199993819,62.80694400006905,62.80694400006905,62.80694400006905,,67.15723280003294,right,0.0,24.035506500164047,,67.15774940000847,67.1731821000576,67.67316349991597,67.65681899990886,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,67.67316349991597,,,,,,,,,67.65717140003107,67.77283610007726,68.57271669991314,68.55690720002167,68.55692530004308,68.57271669991314,68.57271669991314,68.57271669991314,73.57239219988696,73.87386980000883,right,0.0,24.996916899923235,,73.8743426001165,73.88872070005164,74.38875670009293,74.37271960009821,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,74.38875670009293,,,,,,,,,74.37309179990552,74.48894910002127,75.28879230003804,75.27277479995973,75.27279990003444,75.28879230003804,75.28879230003804,75.28879230003804,80.28815190005116,81.17227929993533,right,1.0,25.572450899984688,,81.17278930009343,81.18771869991906,81.68772629997693,81.67191009991802,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,81.68772629997693,,,,,,,,,81.67228769999929,82.88758530002087,83.68800690001808,83.67175070010126,83.67177779995836,83.68800690001808,83.68800690001808,83.68800690001808,88.68714140006341,89.30472310003825,left,0.0,25.303592800162733,,89.30537620000541,89.320375100011,89.82021980010904,89.80437100003473,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,89.82021980010904,,,,,,,,,89.80483200005256,90.1701783000026,90.97018559998833,90.95421090000308,90.95423669996671,90.97018559998833,90.97018559998833,90.97018559998833,95.96938630007207,98.3869507999625,right,0.0,27.100857800105587,,98.38755599991418,98.40254910010844,98.9024980000686,98.88631669990718,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,98.9024980000686,,,,,,,,,98.88677620003,99.25241410010494,100.0523947000038,100.03661759989336,100.03664629999548,100.0523947000038,100.0523947000038,100.0523947000038,105.05162329995072,106.28537519997916,right,1.0,25.916184100089595,,106.28587009990588,106.30131149990484,106.80131069989876,106.78536699991672,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,106.80131069989876,,,,,,,,,106.78575529996306,107.15103340009227,107.9513769999612,107.9353598000016,107.93538519996218,107.9513769999612,107.9513769999612,107.9513769999612,,112.25185290002264,left,1.0,23.99530189996585,,112.2524776000064,112.26747449999677,112.76707349997014,112.75116349989548,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,112.76707349997014,,,,,,,,,112.751576700015,112.86732499999924,113.66728119994514,113.65110670006834,113.65113059990108,113.66728119994514,113.66728119994514,113.66728119994514,,117.35126219992526,left,0.0,23.375898800091814,,117.35184079990722,117.36658610007726,117.86666520009749,117.85067000007255,,,,,,,,,,,,,,,,,,,,,,,,,,sub-053,1.0,random_dot,60.05775158213808,
