direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0147334999928716,0.0367048000043723,0.0367048000043723,37.03539179998916,space,66.9800271000131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,37.06079429999227,,,,,,,,,37.05368069998804,37.85096019998309,38.65344210001058,38.63442089999444,38.63446840000688,38.65344210001058,38.65344210001058,38.65344210001058,43.64974920000532,88.42881650000345,left,1.0,79.75933220001752,,88.43048879998969,88.46006990000024,88.94471700000577,,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,88.96101179998368,,,,,,,,,88.94547820001026,89.04392589998315,89.84416909998981,89.8283034999913,89.82834629999707,89.84416909998981,89.84416909998981,89.84416909998981,94.84353749998265,100.91085489999386,right,1.0,41.0582626000396,,100.91158459999131,100.9257796999882,101.41010660000028,101.42612290001124,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,101.42612290001124,,,,,,,,,101.41059489999316,101.52583989998676,102.32561539998278,102.30976040000678,102.3097909000062,102.32561539998278,102.32561539998278,102.32561539998278,107.32508249999955,108.96010629998636,right,0.0,36.62771650002105,,108.96123640000587,108.98788709999644,109.47535180000703,,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,109.49176999999328,,,,,,,,,109.47606939999967,110.67464779998409,111.47483389999252,111.45897209999384,111.45899439998902,111.47483389999252,111.47483389999252,111.47483389999252,116.47390449998784,117.5256115999946,right,1.0,36.03596130001824,,117.52674199998728,117.54169809998712,118.04068539998843,,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,118.05675119999796,,,,,,,,,118.04149979999056,118.3910940999922,119.20687379999436,119.19073549998576,119.19076910000877,119.20687379999436,119.20687379999436,119.20687379999436,124.20606110000516,125.1584251000022,left,0.0,35.94624690001365,,125.15956830000503,125.17507430000114,125.6727525999886,,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,125.68929959999514,,,,,,,,,125.67333250000956,126.02307999998447,126.82253740000306,126.80666870001004,126.80674120000911,126.82253740000306,126.82253740000306,126.82253740000306,131.82147309998982,132.5238638999872,right,0.0,35.69416190002812,,132.52529160000267,132.53886939998483,133.0222240999865,133.03820589999668,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,133.03820589999668,,,,,,,,,133.02279230000568,134.23869090000517,135.0382862999977,135.02225629999884,135.02227819999098,135.0382862999977,135.0382862999977,135.0382862999977,140.03753460000735,150.38737660000334,left,0.0,45.33604240001296,,150.3880964999844,150.40257849998306,150.88663719999022,150.90262929999153,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,150.90262929999153,,,,,,,,,150.88711399998283,151.0035199999984,151.81922020000638,151.8034015999874,151.8034231000056,151.81922020000638,151.81922020000638,151.81922020000638,156.80242819999694,159.53661869998905,right,0.0,37.7120107000228,,159.5373403999838,159.55161480000243,160.0354931000038,160.0510643000016,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,160.0510643000016,,,,,,,,,160.03607410000404,161.2510578999936,162.05120379998698,162.0350335999974,162.03506870000274,162.05120379998698,162.05120379998698,162.05120379998698,167.0345066000009,167.9848396999878,right,1.0,35.916754900012165,,167.98543130001053,168.00010679999832,168.48477390001062,168.5004675000091,,,,,,,,,,,,,,,,,,,,,,,,,sub-055,1.0,random_dot,59.97184921605492,
