direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0279375000391155,0.0350752000231295,0.0350752000231295,19.114683599909768,space,107.0875033000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,19.151300699915737,,,,,,,,,19.14566779998131,19.22097110003233,20.02063209982589,20.00450939987786,20.0045245999936,20.02063209982589,20.02063209982589,20.02063209982589,21.18892939994112,left,1.0,89.17672310001217,,21.19486549985595,21.20600249990821,21.70399049995467,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,21.72110349987633,,,,,,,,,21.704340799944475,22.50421189982444,23.3045848000329,23.288232799852267,23.288250099867582,23.3045848000329,23.3045848000329,23.3045848000329,24.705005099996924,right,1.0,89.40818550018594,,24.705523899989203,24.7208567999769,25.2042964999564,25.220688699977472,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,25.220688699977472,,,,,,,,,25.204601799836382,25.57080370001495,26.37117989989929,26.354485499905422,26.35449979989789,26.37117989989929,26.37117989989929,26.37117989989929,27.75517569994554,left,1.0,89.39429070008919,,27.755629899911582,27.770738799823448,28.255118399858475,28.2710522999987,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,28.2710522999987,,,,,,,,,28.25542219984345,29.470902199856937,30.27122740005143,30.2549524998758,30.254973500035703,30.27122740005143,30.27122740005143,30.27122740005143,31.505353200016543,right,1.0,89.23338190000504,,31.50578639982268,31.520641699898988,32.004564999835566,32.02068139985204,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,32.02068139985204,,,,,,,,,32.00486149988137,32.82056829985231,33.6216120000463,33.604195199906826,33.60421169991605,33.6216120000463,33.6216120000463,33.6216120000463,34.55554119986482,left,0.0,88.94371640007012,,34.55600089998916,34.570693999994546,35.05459299986251,35.07082469994202,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,35.07082469994202,,,,,,,,,35.05489689996466,35.87072140001692,36.6710635998752,36.65435099997558,36.65436599985696,36.6710635998752,36.6710635998752,36.6710635998752,37.955583199858665,left,1.0,89.29205709998496,,37.95599739998579,37.970559400040656,38.45440319995396,38.470459799980745,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,38.470459799980745,,,,,,,,,38.454704999923706,39.27056129998528,40.07087169983424,40.05440260004252,40.054420199943706,40.07087169983424,40.07087169983424,40.07087169983424,41.02178939990699,right,1.0,88.95125830010511,,41.02216319995932,41.0374254998751,41.520372699946165,41.53715709992685,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,41.53715709992685,,,,,,,,,41.52063519996591,42.33706609997898,43.1382516999729,43.121126799844205,43.12114109983668,43.1382516999729,43.1382516999729,43.1382516999729,43.90528289997019,left,1.0,88.77865350013599,,43.90566629986279,43.92094370000996,44.40429789992049,44.42001509992406,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,44.42001509992406,,,,,,,,,44.40459279995412,45.22066059987992,46.02131809992716,46.00484359986149,46.00485789985396,46.02131809992716,46.02131809992716,46.02131809992716,46.95501469983719,right,1.0,88.93953140010126,,46.95543229999021,46.97037629992701,47.45434820000082,47.4705858998932,,,,,,,,,,,,,,,,,,,,,,,,,,sub-066,1.0,random_dot,60.333099033566384,
