direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0469357000038144,0.0575747999973828,0.0575747999973828,25.267510500001663,space,44.08267889999843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,25.331553500000155,,,,,,,,,25.32405950000248,26.084032799997654,26.8835379000011,26.86744770000223,26.867469800003164,26.8835379000011,26.8835379000011,26.8835379000011,31.35249940000358,left,0.0,23.346111400001973,,31.3675463000036,31.382294900002307,31.868764999999257,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,31.88509190000332,,,,,,,,,31.86937559999933,31.96854020000319,32.76928239999688,32.75250580000284,32.752526500000386,32.76928239999688,32.76928239999688,32.76928239999688,34.42046760000085,left,1.0,20.52436039999884,,34.42101840000396,34.435224000000744,34.919107200003054,34.93525580000278,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,34.93525580000278,,,,,,,,,34.91953800000192,35.73534259999724,36.5358825000003,36.519175800000085,36.51920200000313,36.5358825000003,36.5358825000003,36.5358825000003,37.47055179999734,right,0.0,19.80788919999759,,37.471053699999175,37.48518100000365,37.97073239999736,37.98649250000017,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,37.98649250000017,,,,,,,,,37.97115959999792,38.336999500003,39.13691059999837,39.12064519999694,39.12066950000008,39.13691059999837,39.13691059999837,39.13691059999837,42.12051600000268,left,0.0,21.856700600001204,,42.121160900002,42.13539100000344,42.61983139999938,42.63572540000314,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,42.63572540000314,,,,,,,,,42.62028909999936,42.98517929999798,43.78682700000354,43.77046939999855,43.77048959999957,43.78682700000354,43.78682700000354,43.78682700000354,47.10565830000269,right,0.0,22.182180199997678,,47.10631529999955,47.11829579999903,47.60250090000045,47.61866610000288,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,47.61866610000288,,,,,,,,,47.60303620000195,48.419111399998656,49.22018860000389,49.20501710000099,49.20503750000353,49.22018860000389,49.22018860000389,49.22018860000389,50.82130889999826,right,1.0,20.470584499991677,,50.82183090000035,50.83497679999709,51.32030420000228,51.336118699997314,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,51.336118699997314,,,,,,,,,51.3207098999992,51.68499560000055,52.485525099997176,52.4688535000023,52.468879000000015,52.485525099997176,52.485525099997176,52.485525099997176,56.90425710000272,left,1.0,23.28816279999592,,56.90491520000069,56.91861809999682,57.40363960000104,57.41919539999799,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,57.41919539999799,,,,,,,,,57.40405509999982,57.5182793999993,58.31970379999984,58.30326970000169,58.303291099997296,58.31970379999984,58.31970379999984,58.31970379999984,61.3702437000029,right,1.0,21.91702319999604,,61.37082840000221,61.385464999999385,61.86972190000233,61.88603899999725,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,61.88603899999725,,,,,,,,,61.87020270000357,63.08560800000123,63.88586460000079,63.86944539999968,63.86946799999714,63.88586460000079,63.88586460000079,63.88586460000079,64.98706320000201,left,1.0,19.965796599994064,,64.98760770000081,65.00201099999686,65.48580989999755,65.50183139999717,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-067,1.0,random_dot,58.67962625758032,
