direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0079527559573762,0.0228274449473246,0.0228274449473246,2.0833376849768683,space,1.9492973880260247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
left,left,0.0,0.0,0.0,left,1.0,0.9438522669952364,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,2.1035206399974413,,,,,,,,,2.090440440981183,2.8814849379705265,3.6909605079563335,3.671565190947149,3.672049537999556,3.6909605079563335,3.6909605079563335,3.6909605079563335,4.655358559975866,left,1.0,0.9438522669952364,,4.661004080960993,4.685808731999714,5.155989057966508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
right,right,1.0,1.0,0.0,right,1.0,0.6414452530443668,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,5.162074620951898,,,,,,,,,5.156561229960062,5.257346812984906,6.070687455998268,6.045826969959308,6.046609376964625,6.070687455998268,6.070687455998268,6.070687455998268,6.720959915954154,right,1.0,0.6414452530443668,,6.721051892964169,6.728800101962406,7.222475177957676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
left,left,2.0,0.0,1.0,left,1.0,0.6817581970244646,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,7.228326968965121,,,,,,,,,7.222914765996393,7.312224989000242,8.10706464498071,8.096245710970834,8.097041336994153,8.10706464498071,8.10706464498071,8.10706464498071,8.792454701964743,left,1.0,0.6817581970244646,,8.792528620979283,8.804174574965145,9.28971726296004,9.30719559598947,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
right,right,3.0,1.0,1.0,left,0.0,0.94376153399935,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,9.30719559598947,,,,,,,,,9.290276036947034,10.087867764988914,10.881089271977544,10.871787123964168,10.872250745946076,10.881089271977544,10.881089271977544,10.881089271977544,11.839233780978248,left,0.0,0.94376153399935,,11.84576900699176,11.858485773962457,12.344422292953825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
left,left,4.0,0.0,2.0,right,0.0,0.914287046995014,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,12.355496743984986,,,,,,,,,12.345106400956864,13.128643468953667,13.929455404984765,13.92153818596853,13.921922871959396,13.929455404984765,13.929455404984765,13.929455404984765,14.848829279944766,right,0.0,0.914287046995014,,14.849019440996926,14.857745495974086,15.34529708197806,15.354219326982276,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
right,right,5.0,1.0,2.0,left,0.0,0.7925359939690679,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,15.354219326982276,,,,,,,,,15.34596343897283,16.154600092966575,16.946120529959444,16.938368296949193,16.93879632296739,16.946120529959444,16.946120529959444,16.946120529959444,17.747097720974125,left,0.0,0.7925359939690679,,17.747169012960512,17.77019843395101,18.25495099800173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
right,right,6.0,0.0,3.0,right,1.0,1.2360504679963924,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,18.26102091895882,,,,,,,,,18.255364382988773,18.34509850398172,19.153668934945017,19.128871720982715,19.129673137969803,19.153668934945017,19.153668934945017,19.153668934945017,20.39705807098653,right,1.0,1.2360504679963924,,20.399035550944973,20.40700897696661,20.89504167594714,20.904198044969235,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
left,left,7.0,1.0,3.0,left,1.0,1.081074047018774,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,20.904198044969235,,,,,,,,,20.89549691398861,20.99478452495532,21.788522534945518,21.77815405896399,21.778899559983984,21.788522534945518,21.788522534945518,21.788522534945518,22.876473256968893,left,1.0,1.081074047018774,,22.876539331977256,22.88742992898915,23.371583097963597,23.37755501398351,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
right,right,8.0,0.0,4.0,right,1.0,0.6465234400238842,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,23.37755501398351,,,,,,,,,23.371869171969596,23.47187856095843,24.271317171980627,24.26099180598976,24.26155519299209,24.271317171980627,24.271317171980627,24.271317171980627,24.92441025597509,right,1.0,0.6465234400238842,,24.924486994976174,24.931756960984785,25.421796028967947,25.42735918000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
left,left,9.0,1.0,4.0,left,1.0,0.6882254609954543,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,25.42735918000108,,,,,,,,,25.42212677898351,25.771860822977036,26.56250599096529,26.554674477956723,26.55507065495476,26.56250599096529,26.56250599096529,26.56250599096529,27.259769226948265,left,1.0,0.6882254609954543,,27.25984489399707,27.270399203000125,27.75425846397411,27.76015843998175,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-068,1.0,random_dot,,
