direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 72
,,,,,,,,,,,,,,,,,0.0032572999989497,0.0068163999967509,0.0068163999967509,15.93416199999774,space,15.915357900004892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,15.9493169999987,,,,,,,,,15.945092499998282,16.2991875000007,17.099587099997734,17.0830982999978,17.083126599995012,17.099587099997734,17.099587099997734,17.099587099997734,22.09857699999702,27.99922030000016,right,1.0,10.897160499996971,,28.000217499997238,28.01549779999914,28.51401110000006,,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,28.530413000000408,,,,,,,,,28.514534099995217,28.61369269999705,29.41417139999976,29.39768529999856,29.39771219999966,29.41417139999976,29.41417139999976,29.41417139999976,,30.66500429999724,left,1.0,1.2345174000001862,,30.66568539999571,30.680273999998462,31.16404179999517,31.180164999997945,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,31.180164999997945,,,,,,,,,31.16454579999845,31.530023999999685,32.330355099999,32.31399089999468,32.31401719999849,32.330355099999,32.330355099999,32.330355099999,37.32953979999729,38.11393959999987,right,0.0,5.770679599998402,,38.11460629999783,38.12919229999534,38.61304859999655,38.62881419999758,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,38.62881419999758,,,,,,,,,38.61353689999669,39.8287388999961,40.6289711999998,40.61268069999642,40.612707899999805,40.6289711999998,40.6289711999998,40.6289711999998,,42.146687000000384,right,1.0,1.5031243999983417,,42.14735579999979,42.16169479999371,42.64594070000021,42.66148489999614,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,42.66148489999614,,,,,,,,,42.64643849999993,43.861362600000575,44.66170129999955,44.645135399994615,44.64516200000071,44.66170129999955,44.66170129999955,44.66170129999955,,47.67909149999468,right,0.0,3.005397599998105,,47.67976279999857,47.69421879999573,48.17797309999878,48.19397339999705,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,48.19397339999705,,,,,,,,,48.17846509999799,48.54399899999407,49.34415359999548,49.32778889999463,49.32781579999573,49.34415359999548,49.34415359999548,49.34415359999548,54.32662029999483,54.44400689999748,right,1.0,5.089633000003232,,54.44438579999405,54.45956450000085,54.94308099999762,54.95945379999466,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,54.95945379999466,,,,,,,,,54.94336099999782,55.75945169999613,56.55962079999881,56.543222699998296,56.54324919999635,56.55962079999881,56.55962079999881,56.55962079999881,,57.52746629999456,left,1.0,0.9621485000025132,,57.52812939999421,57.542378799997095,58.02647050000087,58.042451499997696,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,58.042451499997696,,,,,,,,,58.02696009999636,59.24232029999985,60.0423781999998,60.0261035999938,60.0261301999999,60.0423781999998,60.0423781999998,60.0423781999998,,61.49334850000014,right,1.0,1.4453768000021228,,61.49402359999658,61.50844499999948,61.99245579999842,62.00830699999642,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,62.00830699999642,,,,,,,,,61.99295339999662,62.808368499994685,63.60875149999629,63.59217859999626,63.59220529999584,63.60875149999629,63.60875149999629,63.60875149999629,,64.55993569999555,left,1.0,0.9499087000003784,,64.56060089999664,64.57464639999671,65.05857169999945,65.0746094999995,,,,,,,,,,,,,,,,,,,,,,,,sub-080,1.0,random_dot,59.985483514185546,
