direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0074659580000115,0.0142417910000176,0.0142417910000176,73.13051962499992,space,73.10547804099997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
right,right,0.0,0.0,0.0,right,1.0,13.150336625000024,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,73.16828795799995,,,,,,,,,73.15604562499993,73.22999966599991,74.03510729099992,74.01839904099995,74.01888183299991,74.03510729099992,74.03510729099992,74.03510729099992,79.01605254099991,87.26008441599993,right,1.0,13.150336625000024,,87.26294766599995,87.26682074999997,87.76183841599993,87.75183637499993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
left,left,1.0,1.0,0.0,left,1.0,8.047071167000013,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,87.76183841599993,,,,,,,,,87.75220624999997,88.10116633299992,88.89362141599997,88.88488141599998,88.88533241599998,88.89362141599997,88.89362141599997,88.89362141599997,93.878452875,96.94718091599998,left,1.0,8.047071167000013,,96.947330791,96.95955108299997,97.45165191599996,97.446035875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
right,right,2.0,0.0,1.0,right,1.0,6.007847374999983,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,97.45165191599996,,,,,,,,,97.44648762499992,97.545152916,98.33734091600002,98.329099833,98.32963874999996,98.33734091600002,98.33734091600002,98.33734091600002,103.31657962499992,104.34796783299998,right,1.0,6.007847374999983,,104.34815341599996,104.35851029100002,104.85154512499992,104.84594549999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
left,left,3.0,1.0,1.0,left,1.0,4.350194458000033,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,104.85154512499992,,,,,,,,,104.84639625,106.04523979099996,106.83719404099998,106.82925287499997,106.82980216599992,106.83719404099998,106.83719404099998,106.83719404099998,,111.195645291,left,1.0,4.350194458000033,,111.19576908299996,111.20333716599998,111.70159624999997,111.69595925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
left,left,4.0,0.0,2.0,right,0.0,3.0927144170000247,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,111.70159624999997,,,,,,,,,111.69641416599995,111.784550041,112.57692566599997,112.56791683299991,112.56835991599996,112.57692566599997,112.57692566599997,112.57692566599997,,115.680013875,right,0.0,3.0927144170000247,,115.6851375,115.69228254099994,116.1854055,116.17981429099996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
right,right,5.0,1.0,2.0,left,0.0,3.308308334000003,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,116.1854055,,,,,,,,,116.18035583299992,116.97834479099993,117.77053474999992,117.76263791600002,117.763189291,117.77053474999992,117.77053474999992,117.77053474999992,,121.084548208,left,0.0,3.308308334000003,,121.084637833,121.09421920799991,121.58507283299993,121.57938658299996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
right,right,6.0,0.0,3.0,right,1.0,3.864579333000052,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,121.58507283299993,,,,,,,,,121.57984549999992,122.378523041,123.16980462499998,123.162377041,123.16281700000002,123.16980462499998,123.16980462499998,123.16980462499998,,127.03603562499995,right,1.0,3.864579333000052,,127.03863412499992,127.04652795799996,127.54511970800002,127.53470574999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
left,left,7.0,1.0,3.0,left,1.0,5.890668000000005,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,127.54511970800002,,,,,,,,,127.535057833,127.884930875,128.6767917909999,128.66790579099995,128.66833799999995,128.6767917909999,128.6767917909999,128.6767917909999,133.6616251659999,134.57001141599994,left,1.0,5.890668000000005,,134.57015924999996,134.58045937499992,135.07832804099996,135.068437958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,5.92117108299999,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,135.07832804099996,,,,,,,,,135.06879116599998,136.26852229099995,137.07072641599996,137.06257074999996,137.06313729099998,137.07072641599996,137.07072641599996,137.07072641599996,142.06181987499997,142.99576858299997,left,1.0,5.92117108299999,,142.99592154099992,143.00601170799996,143.501841958,143.49600629099996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
right,right,9.0,1.0,4.0,right,1.0,6.972610707999934,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,143.501841958,,,,,,,,,143.49644554099996,144.28442324999992,145.07682224999996,145.06778324999993,145.06819599999994,145.07682224999996,145.07682224999996,145.07682224999996,150.06722445799994,152.05392141599998,right,1.0,6.972610707999934,,152.05406512499997,152.06397533299992,152.56166433299995,152.5510049579999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
left,left,10.0,0.0,5.0,left,1.0,6.369396749999964,,,,,,5.0,0.0,10.0,0.0,,,,,,,,,152.56166433299995,,,,,,,,,152.551357875,152.9012601249999,153.69348387499997,153.68488770800002,153.685326208,153.69348387499997,153.69348387499997,153.69348387499997,158.68257108299997,160.070414958,left,1.0,6.369396749999964,,160.07056183299994,160.0808085829999,160.57827124999994,160.567876458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
right,right,11.0,1.0,5.0,right,1.0,3.4323808749999216,,,,,,5.0,1.0,11.0,1.0,,,,,,,,,160.57827124999994,,,,,,,,,160.568234125,161.76865324999994,162.57031204099997,162.56243074999998,162.56298941599994,162.57031204099997,162.57031204099997,162.57031204099997,,166.01274683299994,right,1.0,3.4323808749999216,,166.01284575,166.01986345799992,166.5179700829999,166.51235266599997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
left,left,12.0,0.0,6.0,right,0.0,4.438301833999958,,,,,,6.0,0.0,12.0,0.0,,,,,,,,,166.5179700829999,,,,,,,,,166.512795375,166.861532291,167.65369787499992,167.64572187499994,167.64626224999995,167.65369787499992,167.65369787499992,167.65369787499992,,172.096290416,right,0.0,4.438301833999958,,172.099107291,172.10648379099996,172.60101583300002,172.59564687499994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-090,1,random_dot,,
