direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0256644829987635,0.0433878409985482,0.0433878409985482,97.53182403400024,space,97.36896904400056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
right,right,0.0,0.0,0.0,right,1.0,2.000009026998669,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,97.55167094499848,,,,,,,,,97.54107175900026,98.33922548400004,99.13920847400004,99.12590125799944,99.12613961399984,99.13920847400004,99.13920847400004,99.13920847400004,101.14475567699992,right,1.0,2.000009026998669,,101.1535537969994,101.16238246899955,101.645562968999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
left,left,1.0,1.0,0.0,left,1.0,0.9962189580000996,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,101.65705152400004,,,,,,,,,101.6459188689987,102.00610920299914,102.80688093699972,102.79540221800016,102.79567882299852,102.80688093699972,102.80688093699972,102.80688093699972,103.81007725699963,left,1.0,0.9962189580000996,,103.81016191900017,103.82344465200003,104.3097634629994,104.32327474299927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
left,left,2.0,0.0,1.0,left,1.0,0.5917394059997605,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,104.32327474299927,,,,,,,,,104.30996471399884,105.52292001299976,106.32249112799946,106.3087326320001,106.30895473199962,106.32249112799946,106.32249112799946,106.32249112799946,106.92617985499965,left,1.0,0.5917394059997605,,106.92627004299902,106.93921215299996,107.4286002079989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
right,right,3.0,1.0,1.0,right,1.0,0.460706122999909,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,107.4399979459995,,,,,,,,,107.42885294000008,108.23925396999948,109.03921978299876,109.02729047999856,109.02750978599944,109.03921978299876,109.03921978299876,109.03921978299876,109.51052333999904,right,1.0,0.460706122999909,,109.51060516199868,109.52316452499872,110.01174736599933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
right,right,4.0,0.0,2.0,left,0.0,0.8129745379992528,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,110.0232236390002,,,,,,,,,110.01199989499946,111.2231038230002,112.02292775999922,112.01103190399954,112.01137126499998,112.02292775999922,112.02292775999922,112.02292775999922,112.84299287799875,left,0.0,0.8129745379992528,,112.84933320900018,112.85678761099916,113.3450311179986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
left,left,5.0,1.0,2.0,left,1.0,0.8145043259992235,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,113.35650641999928,,,,,,,,,113.34528613099974,113.45654515599928,114.2564952169996,114.2451753739988,114.2454529079987,114.2564952169996,114.2564952169996,114.2564952169996,115.07712048999927,left,1.0,0.8145043259992235,,115.0791823620002,115.08929572299894,115.57826050699988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
left,left,6.0,0.0,3.0,left,1.0,1.759025785000631,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,115.58980847599923,,,,,,,,,115.57851719899918,115.69029436900018,116.4899011739999,116.4785068129986,116.4787852720001,116.4899011739999,116.4899011739999,116.4899011739999,118.25946533000024,left,1.0,1.759025785000631,,118.25954783099952,118.2729082219994,118.7618962359993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
right,right,7.0,1.0,3.0,right,1.0,1.6497093200014206,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,118.77316141099982,,,,,,,,,118.76214495599925,118.8729735449997,119.67309322099936,119.66170654999952,119.66197920400008,119.67309322099936,119.67309322099936,119.67309322099936,121.32819278199896,right,1.0,1.6497093200014206,,121.32832149000023,121.33942102800027,121.82843134799988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
right,right,8.0,0.0,4.0,right,1.0,1.2738876940002228,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,121.83966222299932,,,,,,,,,121.82868772300026,121.94010488399908,122.75574206199964,122.7441276139998,122.744454493999,122.75574206199964,122.75574206199964,122.75574206199964,124.04370759499945,right,1.0,1.2738876940002228,,124.04379060599967,124.05623384399952,124.5449772489992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
left,left,9.0,1.0,4.0,left,1.0,0.6282277059999615,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,124.55624278399956,,,,,,,,,124.54522836099932,124.65625761999944,125.45627335099924,125.44484704599928,125.44512594200025,125.45627335099924,125.45627335099924,125.45627335099924,126.09266664699862,left,1.0,0.6282277059999615,,126.09274964399992,126.1061852769999,126.59522044599908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-092,1,random_dot,60.04511802176447,
