direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.019658299999719,0.0295474999984435,0.0295474999984435,3.224098899998353,space,199.99892829999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,3.26153439999689,,,,,,,,,3.257350399999268,4.437291099999129,5.2607717999999295,5.222169399999984,5.222232199997961,5.2607717999999295,5.2607717999999295,5.2607717999999295,7.440065099999629,right,1.0,198.9891889999999,,7.441616799998883,7.463031799998134,7.953423899998597,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,7.969903599998361,,,,,,,,,7.954320299999381,9.152988499998171,9.968931999999768,9.952907799997774,9.952948499998456,9.968931999999768,9.968931999999768,9.968931999999768,10.720558699998946,left,1.0,197.56747069999983,,10.721732399997563,10.734839699998702,11.220005799998034,11.235019399999146,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,11.235019399999146,,,,,,,,,11.221328899999207,11.58483889999843,12.385337599997,12.368613899998309,12.368650399999751,12.385337599997,12.385337599997,12.385337599997,13.23632759999964,right,1.0,197.6630578000004,,13.237261299997044,13.250599999999396,13.735473599997931,13.750783899999078,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,13.750783899999078,,,,,,,,,13.736549099998228,13.850744999999732,14.65084299999944,14.633872999998855,14.633891999998012,14.65084299999944,14.65084299999944,14.65084299999944,15.502966699998067,left,1.0,197.65928740000163,,15.504174699999568,15.516793799997686,16.001323099997535,16.01699329999974,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,16.01699329999974,,,,,,,,,16.002199999998993,17.21686189999673,18.018451500000083,18.002052799998637,18.002113499998813,18.018451500000083,18.018451500000083,18.018451500000083,21.70115209999858,right,0.0,200.49497530000008,,21.70163879999745,21.71499719999701,22.19885389999763,22.214922999999544,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,22.214922999999544,,,,,,,,,22.199262099999032,22.56481399999757,23.366716199998336,23.35028899999816,23.350351499997487,23.366716199998336,23.366716199998336,23.366716199998336,26.999707599999965,right,1.0,200.43763930000205,,27.00115829999777,27.01482709999982,27.51331179999761,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,27.529800699998304,,,,,,,,,27.51442689999749,27.863064799999847,28.6633542999989,28.64689709999948,28.64693329999864,28.6633542999989,28.6633542999989,28.6633542999989,35.6823854999966,left,0.0,203.8220451000016,,35.68428749999657,35.69987299999775,36.19450719999804,,33.64665089999835,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,36.211045099997136,,,,,,,,,36.19498709999971,36.99442369999815,37.79556709999815,37.77941289999944,37.77947529999801,37.79556709999815,37.79556709999815,37.79556709999815,40.04767569999967,left,1.0,199.05510829999912,,40.04958129999795,40.06732509999711,40.55989299999783,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,40.57638229999793,,,,,,,,,40.56072469999708,41.75948689999859,42.5607878999981,42.54414479999832,42.54419859999689,42.5607878999981,42.5607878999981,42.5607878999981,43.77963699999964,right,1.0,198.030229699998,,43.78119859999788,43.792188099996565,44.27697899999839,44.29202749999968,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,44.29202749999968,,,,,,,,,44.27804939999987,45.49163359999875,46.29287849999673,46.27625439999974,46.2763077999989,46.29287849999673,46.29287849999673,46.29287849999673,47.69425919999776,left,1.0,198.21163650000017,,47.69545149999976,47.70761139999741,48.19182009999713,48.207391500000085,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
left,left,,5.0,0.0,10.0,0.0,,,,,,,,,48.207391500000085,,,,,,,,,48.1926945999985,49.407150699997146,50.20834239999749,50.192249299998366,50.19231519999812,50.20834239999749,50.20834239999749,50.20834239999749,51.52654899999834,left,1.0,198.13548069999888,,51.527766499999416,51.53961269999854,52.02471629999855,52.03961849999905,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
right,right,,5.0,1.0,11.0,1.0,,,,,,,,,52.03961849999905,,,,,,,,,52.02600639999946,52.38956079999844,53.19090799999685,53.1744630999965,53.1745250999993,53.19090799999685,53.19090799999685,53.19090799999685,54.14257240000006,right,1.0,197.7678408000029,,54.143735099998594,54.155535199999576,54.63933219999672,54.65501429999858,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
right,right,,6.0,0.0,12.0,1.0,,,,,,,,,54.65501429999858,,,,,,,,,54.6401240999985,55.00540239999828,55.80648089999886,55.790082299998176,55.79013779999877,55.80648089999886,55.80648089999886,55.80648089999886,56.89137089999713,left,0.0,197.90146690000256,,56.892477899997175,56.9045077999981,57.38878409999961,57.40439299999707,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
left,left,,6.0,1.0,13.0,0.0,,,,,,,,,57.40439299999707,,,,,,,,,57.38956319999852,58.60437759999695,59.40554429999975,59.38912209999762,59.3891838999989,59.40554429999975,59.40554429999975,59.40554429999975,60.391881899999134,left,1.0,197.80376479999904,,60.393450499999744,60.40923439999824,60.90411809999932,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-097,1.0,random_dot,60.02681998342572,
