direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 72
,,,,,,,,,,,,,,,,,0.0180529999997816,0.0229824000052758,0.0229824000052758,16.26581260000239,space,33.07133299999259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,16.351657400002296,,,,,,,,,16.347789800005557,17.079175500002748,17.879323700006353,17.862666200002423,17.862690300004033,17.879323700006353,17.879323700006353,17.879323700006353,19.898666500004765,right,0.0,18.852633700000297,,19.9314755000014,19.954071800006204,20.443658300006064,,,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,20.460262100001277,,,,,,,,,20.444320599999628,20.7932260000016,21.59372780000558,21.57766020000417,21.57769130000088,21.59372780000558,21.59372780000558,21.59372780000558,26.42554100000416,left,0.0,21.651916499991785,,26.426298700003827,26.439592700000503,26.92392170000676,26.939448200006154,,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,26.939448200006154,,,,,,,,,26.924454900006825,27.289422400004696,28.08961480000289,28.073089100005745,28.07311160000245,28.08961480000289,28.08961480000289,28.08961480000289,33.50433530000009,right,1.0,22.247394499994694,,33.50496440000279,33.51845800000592,34.00293110000348,34.01846470000601,33.086522200006584,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,34.01846470000601,,,,,,,,,34.0035646000033,34.36821240000427,35.16878280000674,35.15327000000252,35.1533361000038,35.16878280000674,35.16878280000674,35.16878280000674,36.8368466000029,left,1.0,18.50223079999705,,36.83743350000441,36.84951280000678,37.33348880000267,37.34946840000339,,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,37.34946840000339,,,,,,,,,37.33398890000535,38.54861240000173,39.34917040000437,39.33463599999959,39.33471170000121,39.34917040000437,39.34917040000437,39.34917040000437,42.24850090000109,left,1.0,19.71962329999224,,42.24895680000191,42.26303750000079,42.74859670000296,42.76300060000358,,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,42.76300060000358,,,,,,,,,42.74953760000062,43.961874100001296,44.76270099999965,44.74619010000606,44.7462136000031,44.76270099999965,44.76270099999965,44.76270099999965,46.82906900000671,right,1.0,18.89995149999595,,46.8297326000029,46.84335430000647,47.32813060000626,47.34313860000111,,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,47.34313860000111,,,,,,,,,47.32874620000075,47.44307800000388,48.24389950000477,48.22659640000347,48.22661979999975,48.24389950000477,48.24389950000477,48.24389950000477,49.14482440000575,left,1.0,17.7218378999969,,49.14556340000127,49.15855270000611,49.64264620000176,49.65824910000083,,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,49.65824910000083,,,,,,,,,49.64308390000224,50.45792480000091,51.25825530000293,51.24285890000465,51.24290450000262,51.25825530000293,51.25825530000293,51.25825530000293,52.04189650000626,right,1.0,17.609145299989905,,52.04235100000369,52.05679050000617,52.540780900002574,52.556401200003165,,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,52.556401200003165,,,,,,,,,52.541593699999794,53.35612380000384,54.15637660000357,54.14025320000656,54.140278099999705,54.15637660000357,54.15637660000357,54.15637660000357,56.874306600002456,left,0.0,19.53660449999734,,56.87553950000438,56.887049300006765,57.37195480000082,57.3867934000009,,,,,,,,,,,,,,,,,,,,,,,,,sub-107,1.0,random_dot,59.87518419121263,
