direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0118654170073568,0.0215992918238043,0.0215992918238043,7.989344791974872,space,7.848303709179163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
left,left,0.0,0.0,0.0,left,1.0,1.3898903329391032,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,8.01500758389011,,,,,,,,,8.006601166911423,8.788437458919361,9.590922791976482,9.573103333823385,9.57411124999635,9.590922791976482,9.590922791976482,9.590922791976482,11.060153583995998,left,1.0,1.3898903329391032,,11.063367916969582,11.067660124972464,11.56230749981478,11.556087833829224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
right,right,1.0,1.0,0.0,right,1.0,0.5713915410451591,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,11.56230749981478,,,,,,,,,11.556796624790875,12.75549870892428,13.548318999819458,13.539138958789408,13.539919416885825,13.548318999819458,13.548318999819458,13.548318999819458,14.122186458902434,right,1.0,0.5713915410451591,,14.122373333899304,14.132119833957404,14.628503499785438,14.622579416958615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
left,left,2.0,0.0,1.0,left,1.0,0.6996141669806093,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,14.628503499785438,,,,,,,,,14.623115833848717,14.962259208783507,15.754032416967677,15.74566158396192,15.746131458785383,15.754032416967677,15.754032416967677,15.754032416967677,16.456055749906227,left,1.0,0.6996141669806093,,16.456204833928496,16.464602041989565,16.962220416869968,16.95568041689694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
right,right,3.0,1.0,1.0,right,1.0,0.4696180829778313,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,16.962220416869968,,,,,,,,,16.95647191698663,17.04550070897676,17.84692008397542,17.839222208829597,17.83970612497069,17.84692008397542,17.84692008397542,17.84692008397542,18.323122958885502,right,1.0,0.4696180829778313,,18.32329545891844,18.33169237500988,18.827995916828517,18.822452458785847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
left,left,4.0,0.0,2.0,left,1.0,0.4247279590927064,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,18.827995916828517,,,,,,,,,18.82294633379206,19.61276674992405,20.404026333941147,20.395647916942835,20.39619954186492,20.404026333941147,20.404026333941147,20.404026333941147,20.830793750006706,left,1.0,0.4247279590927064,,20.830935249803588,20.83970933384262,21.329207124887034,21.32271154201589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,0.7178392498753965,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,21.329207124887034,,,,,,,,,21.3234354169108,21.677521499805152,22.47053970885463,22.462014458840716,22.46244937484153,22.47053970885463,22.47053970885463,22.47053970885463,23.19934295886196,right,1.0,0.7178392498753965,,23.199484499869868,23.205866999924183,23.695081749930974,23.689326208783317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
left,left,6.0,0.0,3.0,right,0.0,0.4522951249964535,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,23.695081749930974,,,,,,,,,23.689715208951384,24.048602249938995,24.848102958872914,24.839512541890144,24.84020312479697,24.848102958872914,24.848102958872914,24.848102958872914,25.30583441699855,right,0.0,0.4522951249964535,,25.31268758396618,25.33468491700478,,25.812171750003472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
right,right,7.0,1.0,3.0,right,1.0,0.5001672501675785,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,25.82220133394003,,,,,,,,,25.81257850001566,25.895744583802298,26.687165999785066,26.678636624943465,26.67909320886247,26.687165999785066,26.687165999785066,26.687165999785066,27.1903358749114,right,1.0,0.5001672501675785,,27.19545649993233,27.204642166849226,27.694923041854054,27.689168374985456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,0.770793833071366,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,27.694923041854054,,,,,,,,,27.689732499886304,28.038453791989014,28.829434416955337,28.821484583895653,28.82201816700399,28.829434416955337,28.829434416955337,28.829434416955337,29.605389083968475,left,1.0,0.770793833071366,,29.60557116684504,29.614565958967432,,30.105704958783463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-114,1,random_dot,,
