direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0154919999986304,0.0265195829997537,0.0265195829997537,14.928445582998393,space,14.86269029200048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
left,left,0.0,0.0,0.0,left,1.0,1.2394365000000107,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,14.948815666997689,,,,,,,,,14.93712854199839,16.12415366699861,16.928719125000498,16.91307479199895,16.91359329199986,16.928719125000498,16.928719125000498,16.928719125000498,18.17308483300076,left,1.0,1.2394365000000107,,18.181206249999377,18.1912182499982,18.67849616699823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
right,right,1.0,1.0,0.0,right,1.0,1.116564500000095,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,18.688596042000427,,,,,,,,,18.679024166998715,19.872870499999408,20.66616795799928,20.65635279200069,20.656981374999305,20.66616795799928,20.66616795799928,20.66616795799928,21.789899957999296,right,1.0,1.116564500000095,,21.79000950000045,21.79820724999809,22.289460207997763,22.295661416999792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
right,right,2.0,0.0,1.0,left,0.0,1.1186983330007934,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,22.295661416999792,,,,,,,,,22.28981337499863,23.488371749997896,24.282594416999927,24.27309279199835,24.27370645799965,24.282594416999927,24.282594416999927,24.282594416999927,25.40666804200009,left,0.0,1.1186983330007934,,25.4124899999988,25.420621249999385,25.906419791997905,25.91323837500022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
left,left,3.0,1.0,1.0,left,1.0,1.6369127500001923,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,25.91323837500022,,,,,,,,,25.906890250000288,26.00538199999937,26.79731195799832,26.789338250000583,26.789734750000207,26.79731195799832,26.79731195799832,26.79731195799832,28.438460417000897,left,1.0,1.6369127500001923,,28.44126929199774,28.45651012500093,28.93889320800008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
right,right,4.0,0.0,2.0,right,1.0,2.2004544160008663,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,28.944694750000053,,,,,,,,,28.939279957998224,29.02848366699982,29.821578082999626,29.812777582999843,29.81326408300083,29.821578082999626,29.821578082999626,29.821578082999626,32.03127741699791,right,1.0,2.2004544160008663,,32.0313832920001,32.054955083000095,32.53879712499838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
left,left,5.0,1.0,2.0,left,1.0,1.4783128750023025,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,32.54542462500103,,,,,,,,,32.53922812499877,33.72867191700061,34.520025792000524,34.512378291998175,34.51276645799953,34.520025792000524,34.520025792000524,34.520025792000524,36.005945958000666,left,1.0,1.4783128750023025,,36.00605799999903,36.01277633299833,36.4960530419994,36.50450249999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
right,right,6.0,0.0,3.0,right,1.0,1.1342901250027353,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,36.50450249999994,,,,,,,,,36.49646583299909,37.304563875000895,38.09663233299944,38.0888302079984,38.0893892919994,38.09663233299944,38.09663233299944,38.09663233299944,39.23412462499982,right,1.0,1.1342901250027353,,39.23426904200096,39.24578370800009,39.738921374999336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
left,left,7.0,1.0,3.0,left,1.0,1.556086458000209,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,39.745456582997576,,,,,,,,,39.7393697080006,40.52910383299968,41.32093954199809,41.31248174999928,41.31291712500024,41.32093954199809,41.32093954199809,41.32093954199809,42.89323424999748,left,1.0,1.556086458000209,,42.89337674999842,42.90427562499826,43.38941287499984,43.39527191699744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
left,left,8.0,0.0,4.0,left,1.0,1.7508410829977947,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,43.39527191699744,,,,,,,,,43.38980970799821,43.73873749999984,44.53272208300041,44.52307237499917,44.523665875000006,44.53272208300041,44.53272208300041,44.53272208300041,46.29319908300022,left,1.0,1.7508410829977947,,46.29331666700091,46.30498537499807,46.79050237499905,46.79650754199975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-117,1,random_dot,121.33161446847797,
