direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0080767790059326,0.0268428830022458,0.0268428830022458,10.208244335008205,space,10.153471682991947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
left,left,0.0,0.0,0.0,left,1.0,2.467114972998388,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,10.3028967440041,,,,,,,,,10.28890099200362,11.023341086998698,11.829511914998877,11.80971560200851,11.81022495200159,11.829511914998877,11.829511914998877,11.829511914998877,14.300339402005193,left,1.0,2.467114972998388,,14.306011239998044,14.336824323007022,14.81589380200603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
right,right,1.0,1.0,0.0,right,1.0,0.740331861001323,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,14.832931548007764,,,,,,,,,14.816239767009392,16.0023254280095,16.80559422200895,16.789324256998952,16.78981719200965,16.80559422200895,16.80559422200895,16.80559422200895,17.55725593000534,right,1.0,0.740331861001323,,17.557343805005075,17.57359821400314,18.05787640300696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
left,left,2.0,0.0,1.0,left,1.0,0.9603192989889068,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,18.07439710800827,,,,,,,,,18.058170610005615,19.261493668003823,20.062966077006426,20.04782346400316,20.04836400700151,20.062966077006426,20.062966077006426,20.062966077006426,21.03376815500087,left,1.0,0.9603192989889068,,21.033862566997414,21.049577887009946,21.53467506400193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
right,right,3.0,1.0,1.0,right,1.0,0.6090988530049799,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,21.55123306400492,,,,,,,,,21.53508948700619,21.885324032002245,22.687503781999112,22.671639452004456,22.67212406700128,22.687503781999112,22.687503781999112,22.687503781999112,23.306789342997945,right,1.0,0.6090988530049799,,23.30687734700041,23.322144721998484,23.807298469007947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
left,left,4.0,0.0,2.0,left,1.0,0.6265613709983882,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,23.82395373200416,,,,,,,,,23.807732918998227,23.907342186997997,24.709743993997108,24.69384051200177,24.69432371700532,24.709743993997108,24.709743993997108,24.709743993997108,25.3453494990099,left,1.0,0.6265613709983882,,25.345447888001218,25.360870492004324,25.84591916900536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
right,right,5.0,1.0,2.0,right,1.0,0.5029825420060661,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,25.86277049900673,,,,,,,,,25.846332216999144,26.64795057399897,27.45044692400552,27.434807219004146,27.43528733900166,27.45044692400552,27.45044692400552,27.45044692400552,27.970097669007373,right,1.0,0.5029825420060661,,27.97022248900612,27.984209633999853,28.47084334900137,28.48678282900073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
left,left,6.0,0.0,3.0,left,1.0,0.9538081909995526,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,28.48678282900073,,,,,,,,,28.471244282001862,28.820948337001028,29.62194235700008,29.60640815400984,29.60680577700259,29.62194235700008,29.62194235700008,29.62194235700008,30.592787387999124,left,1.0,0.9538081909995526,,30.592890828003878,30.608826253999723,31.09367728700454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
right,right,7.0,1.0,3.0,right,1.0,0.576350483999704,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,31.11041686400131,,,,,,,,,31.09409291700285,31.89540462200239,32.69670001399936,32.68175090900331,32.68223864700121,32.69670001399936,32.69670001399936,32.69670001399936,33.28296865899756,right,1.0,0.576350483999704,,33.28305791399907,33.29849140200531,33.783766471999115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
left,left,8.0,0.0,4.0,left,1.0,0.6457078700041166,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,33.800812544010114,,,,,,,,,33.7841961140075,34.13491764200444,34.9370224870072,34.92102363400045,34.921505054007866,34.9370224870072,34.9370224870072,34.9370224870072,35.589710929009016,left,1.0,0.6457078700041166,,35.58979689900298,35.60491867600649,36.090471757008345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-123,1,random_dot,59.7057870766794,
