direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0146546249998209,0.0234272500019869,0.0234272500019869,14.191915833001984,space,14.13199216599969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
right,right,0.0,0.0,0.0,left,0.0,1.8360977089978403,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,14.21522250000271,,,,,,,,,14.203309208001883,15.395379292000143,16.199416125000425,16.183773208002094,16.18434391700066,16.199416125000425,16.199416125000425,16.199416125000425,18.038218083001997,left,0.0,1.8360977089978403,,18.047788333002245,18.057366332999663,18.539185792000357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
left,left,1.0,1.0,0.0,right,0.0,0.7432291669974802,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,18.5497117920022,,,,,,,,,18.539755917001457,18.633708625002328,19.427259083000536,19.41787983299946,19.4184020419998,19.427259083000536,19.427259083000536,19.427259083000536,20.17665620800108,right,0.0,0.7432291669974802,,20.17677120799999,20.18545483300113,20.67380020800192,20.68373266699928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
left,left,2.0,0.0,1.0,right,0.0,1.290402125003311,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,20.68373266699928,,,,,,,,,20.67421145800108,20.77424579199942,21.566809250001825,21.55803825000112,21.55850208300035,21.566809250001825,21.566809250001825,21.566809250001825,22.86193175000153,right,0.0,1.290402125003311,,22.86209741700077,22.872389250002016,23.3572946250024,23.367801583000983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
right,right,3.0,1.0,1.0,left,0.0,2.3829372090003744,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,23.367801583000983,,,,,,,,,23.357625625001678,23.458615499999723,24.259196999999403,24.250411500001064,24.250876124999195,24.259196999999403,24.259196999999403,24.259196999999403,26.65710208300152,left,0.0,2.3829372090003744,,26.657209708002483,26.67100237500199,27.15770049999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
right,right,4.0,0.0,2.0,right,1.0,1.3845114169998851,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,27.16657666700121,,,,,,,,,27.158193750001374,27.50039945800017,28.292374832999485,28.28361554200092,28.28408012500222,28.292374832999485,28.292374832999485,28.292374832999485,29.684907250000837,right,1.0,1.3845114169998851,,29.69045591699978,29.69836445799956,30.18464354200114,30.191312792001558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
left,left,5.0,1.0,2.0,left,1.0,1.15223941700242,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,30.191312792001558,,,,,,,,,30.18516720800108,30.98376904200268,31.77763075000257,31.76813433300049,31.76880508300019,31.77763075000257,31.77763075000257,31.77763075000257,32.94279174999974,left,1.0,1.15223941700242,,32.94292787499944,32.9574471670021,33.441499374999694,33.44959137499973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
left,left,6.0,0.0,3.0,left,1.0,2.5409306250003283,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,33.44959137499973,,,,,,,,,33.44190125000023,33.541152917001455,34.333710750001046,34.32448616699912,34.32499808300054,34.333710750001046,34.333710750001046,34.333710750001046,36.88446145800117,left,1.0,2.5409306250003283,,36.8846043750018,36.89277912500256,37.38442662500165,37.39073787500092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
right,right,7.0,1.0,3.0,right,1.0,1.366912790999777,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,37.39073787500092,,,,,,,,,37.38484062499992,38.574215583001205,39.3665304999995,39.35797691699918,39.35845391700059,39.3665304999995,39.3665304999995,39.3665304999995,40.73963554200236,right,1.0,1.366912790999777,,40.73973858300087,40.74928241700036,41.23475600000165,41.24140866699963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
left,left,8.0,0.0,4.0,left,1.0,1.731703708999703,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,41.24140866699963,,,,,,,,,41.23528629200155,42.03385383299974,42.82541616700109,42.81751145800081,42.81824550000238,42.82541616700109,42.82541616700109,42.82541616700109,44.56205391700132,left,1.0,1.731703708999703,,44.56222783300109,44.5722174170005,45.05774020800163,45.066219000000274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
right,right,9.0,1.0,4.0,right,1.0,1.2213272089975362,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,45.066219000000274,,,,,,,,,45.05825954200191,45.40655620799953,46.20883491700079,46.20068879199971,46.20117266700254,46.20883491700079,46.20883491700079,46.20883491700079,47.4344283749997,right,1.0,1.2213272089975362,,47.43456354199952,47.442894792002335,47.93825933300104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
right,right,10.0,0.0,5.0,right,1.0,0.775726959000167,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,47.94379120799931,,,,,,,,,47.93862441700185,48.72413283300193,49.51607029200022,49.5074451670007,49.50791045799997,49.51607029200022,49.51607029200022,49.51607029200022,50.3012316250024,right,1.0,0.775726959000167,,50.30134929199994,50.30925212500006,50.80096200000117,50.80722620800225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
left,left,11.0,1.0,5.0,left,1.0,0.9006184589998156,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,50.80722620800225,,,,,,,,,50.801374082999246,51.99189662500066,52.794022250000125,52.78470991699942,52.785285875001136,52.794022250000125,52.794022250000125,52.794022250000125,53.69689479199951,left,1.0,0.9006184589998156,,53.69704366700171,53.7039074580025,54.19143887500104,54.201001292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
right,right,12.0,0.0,6.0,right,1.0,1.4221237919991836,,,,,,6.0,0.0,12.0,1.0,,,,,,,,,54.201001292,,,,,,,,,54.191846958001406,54.54019895800229,55.34466829200028,55.33480433300065,55.33530537499973,55.34466829200028,55.34466829200028,55.34466829200028,56.78621195800224,right,1.0,1.4221237919991836,,56.78649858300196,56.79938450000191,57.2847859579997,57.29164212500109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
left,left,13.0,1.0,6.0,left,1.0,1.0878781659994274,,,,,,6.0,1.0,13.0,0.0,,,,,,,,,57.29164212500109,,,,,,,,,57.28532350000023,58.08816099999967,58.89040637500148,58.87759683300101,58.878110583002126,58.89040637500148,58.89040637500148,58.89040637500148,59.98722912499943,left,1.0,1.0878781659994274,,59.98747583300064,59.99902583299991,60.48481937500037,60.49123283299923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
right,right,14.0,0.0,7.0,left,0.0,0.7723740000001271,,,,,,7.0,0.0,14.0,1.0,,,,,,,,,60.49123283299923,,,,,,,,,60.48524345800252,60.82705637500112,61.62752616700163,61.6179380829999,61.61842441699992,61.62752616700163,61.62752616700163,61.62752616700163,62.40945020800064,left,0.0,0.7723740000001271,,62.41453266700046,62.42478070799916,62.90815787500105,62.91597387500224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
left,left,15.0,1.0,7.0,right,0.0,1.1420423340023262,,,,,,7.0,1.0,15.0,0.0,,,,,,,,,62.91597387500224,,,,,,,,,62.908556582999154,63.00754208299986,63.81064154200067,63.80126054200082,63.8018559580014,63.81064154200067,63.81064154200067,63.81064154200067,64.95638558300197,right,0.0,1.1420423340023262,,64.95652766700005,64.9689817920007,65.45345295800144,65.45890816700194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-124,1.0,random_dot,117.23209170140092,
