direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0031594000174663,0.0063091000192798,0.0063091000192798,66.16455859999405,space,87.57949500001268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,66.18029520002892,,,,,,,,,66.17712449998362,66.5263210000121,67.32649569999194,67.31080069998279,67.31084089999786,67.32649569999194,67.32649569999194,67.32649569999194,69.98091669997666,right,0.0,24.07799820002401,,69.98189659998752,69.99668480001856,70.49316539999563,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,70.50973089999752,,,,,,,,,70.49394369998481,70.59311279997928,71.39365939999698,71.37808100000257,71.37813389999792,71.39365939999698,71.39365939999698,71.39365939999698,74.72826270002406,left,0.0,24.74833290005336,,74.72907920001308,74.74318500002846,75.2275836999761,75.24299350002548,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,75.24299350002548,,,,,,,,,75.22894160001306,76.04297930002213,76.84338789997855,76.82762729999376,76.82768079999369,76.84338789997855,76.84338789997855,76.84338789997855,78.76145579997683,left,1.0,23.340409099997487,,78.76224479998928,78.77567280002404,79.26102829998126,79.27629000000888,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,79.27629000000888,,,,,,,,,79.26216260000365,80.07642290001968,80.87647229997674,80.86028490000172,80.86031269998057,80.87647229997674,80.87647229997674,80.87647229997674,85.96222719998332,right,1.0,26.502584800007757,,85.96312189998571,85.9759312000242,86.46095899998909,86.47559490002459,85.85978850000538,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,86.47559490002459,,,,,,,,,86.46172030002344,87.27614360000007,88.07656170002883,88.06126470002346,88.06132209999487,88.07656170002883,88.07656170002883,88.07656170002883,90.16269710002234,right,0.0,23.51137970003765,,90.16328430001158,90.17560810002033,90.66099940001732,90.67641710001044,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,90.67641710001044,,,,,,,,,90.66205799998716,90.77618540002732,91.57644620002247,91.5609510000213,91.56100569997216,91.57644620002247,91.57644620002247,91.57644620002247,100.46438050002324,right,1.0,30.31032420002157,,100.46521100000244,100.47528419998709,100.9609296999988,100.97576060000574,96.576048500021,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,100.97576060000574,,,,,,,,,100.96192700002575,101.07580659998348,101.87623689998873,101.86038420000114,101.8604419999756,101.87623689998873,101.87623689998873,101.87623689998873,104.36554269999031,right,1.0,23.91270640003495,,104.36629139998696,104.37576939997962,104.85909450001782,104.8768763000262,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,104.8768763000262,,,,,,,,,104.85955980001016,104.97532520000824,105.7758570999722,105.75991770002292,105.7599575999775,105.7758570999722,105.7758570999722,105.7758570999722,108.8992542999913,left,1.0,24.54663850000361,,108.90022030001272,108.9088995999773,109.39344620000338,109.40897839999523,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,109.40897839999523,,,,,,,,,109.3941649000044,109.7591579,110.55892099998891,110.54264659999173,110.54266909998842,110.55892099998891,110.55892099998891,110.55892099998891,112.24430219997885,left,1.0,23.10344910004642,,112.24509989999932,112.25900640001056,112.74378369998884,112.75896870001452,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-127,1.0,random_dot,60.10930275569645,
