direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 72
,,,,,,,,,,,,,,,,,0.0059316999977454,0.042082300002221,0.042082300002221,21.40375440000207,space,6369.496467499994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,21.47091880001244,,,,,,,,,21.46027470001718,21.76866299999529,22.570015000004787,22.55375809999532,22.55379790000734,22.570015000004787,22.570015000004787,22.570015000004787,24.556772800016915,right,1.0,6350.118285700009,,24.55907650000881,24.579308300017143,25.0715725000191,,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,25.087716500012903,,,,,,,,,25.07235080000828,26.271952900016917,27.07349239999894,27.057163500023307,27.057204100012317,27.07349239999894,27.07349239999894,27.07349239999894,28.744029299996328,left,1.0,6349.805238000001,,28.744925700011663,28.75706060000812,29.24159600000712,29.257538500009105,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,29.257538500009105,,,,,,,,,29.24225650000153,29.35757870000089,30.1584202000231,30.141755899996497,30.14178620002349,30.1584202000231,30.1584202000231,30.1584202000231,31.31154450000031,left,1.0,6349.288697900018,,31.31289500001003,31.32525500000338,31.81023790000472,31.825936500012176,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,31.825936500012176,,,,,,,,,31.810902900004294,32.17585040000267,32.97730940001202,32.96118030001526,32.96121989999665,32.97730940001202,32.97730940001202,32.97730940001202,33.71252800000366,right,1.0,6348.871004899993,,33.71292380001978,33.72712330002105,34.211836200003745,34.22758140001679,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,34.22758140001679,,,,,,,,,34.21257480001077,35.42837999999756,36.22928840000532,36.21454100002302,36.21459220000543,36.22928840000532,36.22928840000532,36.22928840000532,36.93103200002224,left,1.0,6348.828542600008,,36.93155450001359,36.945827100018505,37.43083940001088,37.446323700016364,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,37.446323700016364,,,,,,,,,37.43158880001283,37.796798299998045,38.59775919999811,38.58183999999892,38.58187600001111,38.59775919999811,38.59775919999811,38.59775919999811,39.68274730001576,left,0.0,6349.219494500023,,39.68324800001574,39.69937960000243,40.19842620001873,,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,40.21497070000623,,,,,,,,,40.19915709999623,40.9989276000124,41.79974590000347,41.78325490001589,41.783290999999736,41.79974590000347,41.79974590000347,41.79974590000347,42.96815230001812,right,1.0,6349.297909599991,,42.96854170001461,42.98292190002394,43.46743459999561,43.48355050000828,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,43.48355050000828,,,,,,,,,43.46809609999764,44.28388730000006,45.08513220000896,45.06836840001051,45.06839110000874,45.08513220000896,45.08513220000896,45.08513220000896,45.95485310000368,left,1.0,6349.002340300009,,45.95589559999644,45.96871939999983,46.45387110000593,46.46908400001121,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,46.46908400001121,,,,,,,,,46.45455439999933,46.819509399996605,47.62061810001615,47.604076800023904,47.60413220000919,47.62061810001615,47.62061810001615,47.62061810001615,48.75669760000892,left,1.0,6349.267105400009,,48.75750090001384,48.77098110000952,49.25572939999984,49.27100800001063,,,,,,,,,,,,,,,,,,,,,,,,,sub-129,1.0,random_dot,59.91080479118055,
