direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0214763690000836,0.0364321569995809,0.0364321569995809,280.23492234399964,space,280.17340824500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
right,right,0.0,0.0,0.0,left,0.0,8.728281368999887,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,280.2720555099986,,,,,,,,,280.241848190999,281.0300812179994,281.8462825859988,281.8241751489986,281.82452732899947,281.8462825859988,281.8462825859988,281.8462825859988,286.813039536999,290.5809690369988,left,0.0,8.728281368999887,,290.585864061999,290.6389181739996,291.09030871199866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
left,left,1.0,1.0,0.0,right,0.0,8.029604213999846,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,291.0955396230001,,,,,,,,,291.09060254999895,291.42866917599895,292.22338369799945,292.2124124459988,292.2127461179989,292.22338369799945,292.22338369799945,292.22338369799945,297.2068302589996,300.25810594499853,right,0.0,8.029604213999846,,300.25819007599966,300.2641531099998,300.7574124439998,300.76262586399935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
right,right,2.0,0.0,1.0,left,0.0,7.850321963998795,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,300.76262586399935,,,,,,,,,300.7576977849985,300.8568948060001,301.6476498819993,301.6408643899995,301.6411997759988,301.6476498819993,301.6476498819993,301.6476498819993,306.62972343,309.5084534389989,left,0.0,7.850321963998795,,309.50854352999886,309.5147115029995,310.007498433999,310.0126826349988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
left,left,3.0,1.0,1.0,right,0.0,5.414526037999167,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,310.0126826349988,,,,,,,,,310.00778376699964,310.1068634129988,310.89769925699875,310.890906269,310.8912393869996,310.89769925699875,310.89769925699875,310.89769925699875,315.8797672789988,316.3142440699994,right,0.0,5.414526037999167,,316.31431491999865,316.32321190699986,316.8074734189995,316.81249406799907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
left,left,4.0,0.0,2.0,left,1.0,2.0231223039991164,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,316.81249406799907,,,,,,,,,316.8077606779989,316.91203877599946,317.7068394649996,317.6960496949996,317.69638561099964,317.7068394649996,317.7068394649996,317.7068394649996,,319.7318421,left,1.0,2.0231223039991164,,319.73560800199994,319.74239706299886,320.22936798499904,320.240219239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
right,right,5.0,1.0,2.0,left,0.0,1.226899297998898,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,320.240219239,,,,,,,,,320.22962773499967,320.3286229179994,321.1234468619987,321.1126275359984,321.1129558649991,321.1234468619987,321.1234468619987,321.1234468619987,,322.3587352359991,left,0.0,1.226899297998898,,322.36103842099874,322.3708645589996,322.85755827699904,322.86266941599933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
right,right,6.0,0.0,3.0,right,1.0,0.9947368760003884,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,322.86266941599933,,,,,,,,,322.8578394519991,322.9567984759997,323.74767930899907,323.740819142,323.74115774099846,323.74767930899907,323.74767930899907,323.74767930899907,,324.74841660199854,right,1.0,0.9947368760003884,,324.7506478639989,324.7567817769996,325.2409374250001,325.2459350640001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
left,left,7.0,1.0,3.0,right,0.0,1.4286913340001774,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,325.2459350640001,,,,,,,,,325.2412252260001,325.5953775789985,326.390221271,326.37963124399903,326.379964062,326.390221271,326.390221271,326.390221271,,327.82502089699847,right,0.0,1.4286913340001774,,327.827316384999,327.83390027599853,328.3244249799991,328.32949961899976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,1.5291039570001883,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,328.32949961899976,,,,,,,,,328.32470833299885,328.4235194469984,329.2143813269995,329.20758216099966,329.2079194130001,329.2143813269995,329.2143813269995,329.2143813269995,,330.7486433579997,left,1.0,1.5291039570001883,,330.7509434409985,330.75760484199964,331.24095728999964,331.2461075219999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
right,right,9.0,1.0,4.0,left,0.0,1.2778701679999358,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,331.2461075219999,,,,,,,,,331.24124560699966,331.3452928099996,332.140342151999,332.1294388289989,332.1297741519993,332.140342151999,332.140342151999,332.140342151999,,333.4251356549994,left,0.0,1.2778701679999358,,333.4273877349988,333.43397273499977,333.9242340849996,333.92945138199866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
right,right,10.0,0.0,5.0,right,1.0,2.6606981749991974,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,333.92945138199866,,,,,,,,,333.92452008299915,335.1234405039995,335.9141535379986,335.9075159189997,335.90784987199913,335.9141535379986,335.9141535379986,335.9141535379986,,338.5810565369993,right,1.0,2.6606981749991974,,338.583327757,338.59007544299857,339.07422980699994,339.0794704259988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
left,left,11.0,1.0,5.0,left,1.0,1.4038003610003216,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,339.0794704259988,,,,,,,,,339.07451387199944,339.4286307889997,340.22364035899955,340.2128194849993,340.2131600879984,340.22364035899955,340.22364035899955,340.22364035899955,,341.63241495999864,left,1.0,1.4038003610003216,,341.63250133600013,341.6401103999997,342.12446974699924,342.12942449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-130,1,random_dot,,
