direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0098681250237859,0.0171840000257361,0.0171840000257361,7.174436125002103,space,7.103150667011505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
left,left,0.0,0.0,0.0,right,0.0,2.061226042016642,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,7.1922847910027485,,,,,,,,,7.186054250021698,7.969606666010804,8.783559541014256,8.76183216602658,8.762371708027786,8.783559541014256,8.783559541014256,8.783559541014256,10.898215833003633,right,0.0,2.061226042016642,,10.902323083020748,10.91029912501108,11.402231915999437,11.39574525001808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
right,right,1.0,1.0,0.0,left,0.0,1.6533015409950167,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,11.402231915999437,,,,,,,,,11.39624670802732,11.744489875010911,12.536755666020326,12.528662291006183,12.52915375001612,12.536755666020326,12.536755666020326,12.536755666020326,14.19605812500231,left,0.0,1.6533015409950167,,14.196179541002492,14.20510987500893,14.702128958015235,14.695431208005177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
right,right,2.0,0.0,1.0,right,1.0,1.2637209169915875,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,14.702128958015235,,,,,,,,,14.69582312501734,14.785337708017323,15.577623958000911,15.568535250000425,15.569013958011055,15.577623958000911,15.577623958000911,15.577623958000911,16.84595316601917,right,1.0,1.2637209169915875,,16.851525750011206,16.86031670801458,17.351325916009955,17.345551666017855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
left,left,3.0,1.0,1.0,right,0.0,2.758128165995004,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,17.351325916009955,,,,,,,,,17.345951541006798,17.694644250004785,18.48729583300883,18.478910583013203,18.479437500005588,18.48729583300883,18.48729583300883,18.48729583300883,21.253190875024305,right,0.0,2.758128165995004,,21.256302708003204,21.27243204100523,,21.761765250004828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
right,right,4.0,0.0,2.0,right,1.0,3.1912981659988877,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,21.76698966600816,,,,,,,,,21.762155750009697,21.85029537501396,22.644337708014064,22.635932500008494,22.636496916005854,22.644337708014064,22.644337708014064,22.644337708014064,25.862735125003383,right,1.0,3.1912981659988877,,25.866186750005,25.87840441602748,26.36809137501405,26.36236720799934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
left,left,5.0,1.0,2.0,right,0.0,0.8355420000152662,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,26.36809137501405,,,,,,,,,26.36277120801969,26.45196870801737,27.253758083010325,27.245751375012333,27.246222125017084,27.253758083010325,27.253758083010325,27.253758083010325,28.09638916602125,right,0.0,0.8355420000152662,,28.099520750023657,28.10837362500024,28.60160741599975,28.5958436250221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
left,left,6.0,0.0,3.0,left,1.0,1.7088180000137072,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,28.60160741599975,,,,,,,,,28.5962335410004,29.79527779101045,30.58776237501297,30.57951250000042,30.580080958025064,30.58776237501297,30.58776237501297,30.58776237501297,32.303520083019976,left,1.0,1.7088180000137072,,32.30672091600718,32.315005958022084,32.811721416015644,32.8026003750274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
right,right,7.0,1.0,3.0,right,1.0,0.9103999169892631,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,32.811721416015644,,,,,,,,,32.80300358301611,33.15184408301138,33.9541741660214,33.94596591600566,33.946413166006096,33.9541741660214,33.9541741660214,33.9541741660214,34.87014712500968,right,1.0,0.9103999169892631,,34.870254875015235,34.87813741600257,35.36864445800893,35.362860375025775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,1.093751083011739,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,35.36864445800893,,,,,,,,,35.36324770801002,35.718482458003564,36.52069508301793,36.51271608300158,36.51317283301614,36.52069508301793,36.52069508301793,36.52069508301793,37.62039579101838,left,1.0,1.093751083011739,,37.62051200002316,37.629079083009856,38.118451375019504,38.11277295800392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-131,1,random_dot,,
