direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0236807220007904,0.048797748000652,0.048797748000652,117.15500605100078,space,116.81328642399968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
left,left,0.0,0.0,0.0,right,0.0,9.01128848999997,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,117.3679150070002,,,,,,,,,117.35418149100042,117.5039331980006,118.31421226900056,118.29357368,118.2939363990008,118.31421226900056,118.31421226900056,118.31421226900056,123.29357855300076,127.32738931100084,right,0.0,9.01128848999997,,127.3352025990007,127.37127019200034,127.82755390200056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
right,right,1.0,1.0,0.0,left,0.0,5.490661896999882,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,127.84324788400043,,,,,,,,,127.8278240970003,128.62560545200083,129.4235209920007,129.41214735200083,129.41325425100058,129.4235209920007,129.4235209920007,129.4235209920007,134.4099520360005,134.9271861950001,left,0.0,5.490661896999882,,134.92727810400083,134.93712981500084,135.4266699890004,135.4346812370004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
right,right,2.0,0.0,1.0,right,1.0,8.456972996999866,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,135.4346812370004,,,,,,,,,135.42690736200075,136.22785519900026,137.02589007300048,137.0134255790008,137.013745921,137.02589007300048,137.02589007300048,137.02589007300048,142.01763333100007,145.49199583300015,right,1.0,8.456972996999866,,145.498559097,145.51015826800085,146.00808701700043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
left,left,3.0,1.0,1.0,right,0.0,3.736783153000033,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,146.02467610000076,,,,,,,,,146.00856073400064,147.1930132870002,147.99066785300056,147.978500919,147.97999570000047,147.99066785300056,147.99066785300056,147.99066785300056,,151.7343829650008,right,0.0,3.736783153000033,,151.73655006300032,151.74803575700025,152.23392881100062,152.24578723800005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
right,right,4.0,0.0,2.0,right,1.0,7.435660686999654,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,152.24578723800005,,,,,,,,,152.23490927200055,152.33436403200085,153.13505229600014,153.12302874600027,153.1243224080008,153.13505229600014,153.13505229600014,153.13505229600014,158.1274441100004,160.58327741200085,right,1.0,7.435660686999654,,160.5856713560006,160.5990785620006,161.08496160200048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
left,left,5.0,1.0,2.0,right,0.0,9.883078304000264,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,161.09807729300064,,,,,,,,,161.08641441500004,162.29229998900064,163.1092440250004,163.09094053800072,163.09121602900086,163.1092440250004,163.1092440250004,163.1092440250004,168.08540097400055,173.00404236400027,right,0.0,9.883078304000264,,173.00813118600036,173.01754656700086,173.50185646000045,173.52404524400026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
left,left,6.0,0.0,3.0,right,0.0,8.447846852999646,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,173.52404524400026,,,,,,,,,173.5027670670006,174.30320385100003,175.1257125460006,175.10761877000004,175.10810012100046,175.1257125460006,175.1257125460006,175.1257125460006,180.1019771070005,183.59147997200037,right,0.0,8.447846852999646,,183.5915741460003,183.60867315700037,184.1077803730004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
right,right,7.0,1.0,3.0,right,1.0,7.760455303000526,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,184.1266855970007,,,,,,,,,184.1082306620001,184.89189361100037,185.69768685600047,185.68409495500052,185.68495602200076,185.69768685600047,185.69768685600047,185.69768685600047,190.6850464930003,193.460483719,right,1.0,7.760455303000526,,193.46370995800044,193.47352760400008,193.9668615990004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
left,left,8.0,0.0,4.0,left,1.0,9.317872562000048,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,193.9755178810001,,,,,,,,,193.9671314560001,195.1613263070003,195.97567185000025,195.9571248780003,195.95760799600063,195.97567185000025,195.97567185000025,195.97567185000025,200.96169534300043,205.30582610700003,left,1.0,9.317872562000048,,205.30597067600047,205.3167990080001,205.80152080900007,205.8234590260008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-134,1,random_dot,73.6426823323414,
