direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0339886,0.0504872,0.0504872,16.0551964,space,47.5573912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,,0,0,0,1,,,,,,,,,16.1039029,,,,,,,,,16.0831371,16.4197854,17.4352637,17.2035463,17.2035941,17.4352637,17.4352637,17.4352637,22.2313481,25.2638281,left,0,39.3890875,None,25.2735835,25.3119302,25.7784629,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,,0,1,1,0,,,,,,,,,25.7953082,,,,,,,,,25.7793181,25.8782688,26.6775196,26.6621058,26.6621663,26.6775196,26.6775196,26.6775196,,29.2437911,left,1,34.1256823,None,29.2448887,29.2751516,29.7582594,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,,1,0,2,1,,,,,,,,,29.7747779,,,,,,,,,29.7590529,29.8582397,30.6573279,30.6416583,30.6417033,30.6573279,30.6573279,30.6573279,,31.6580588,left,0,32.5537499,None,31.6591442,31.6742571,32.1599387,32.1754973,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,,1,1,3,0,,,,,,,,,32.1754973,,,,,,,,,32.160723,32.5088275,33.3088809,33.2926639,33.2927072,33.3088809,33.3088809,33.3088809,,35.2259335,left,1,33.4620243,None,35.2270184,35.2532674,35.7363409,,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,,2,0,4,0,,,,,,,,,35.7530607,,,,,,,,,35.7371439,36.0859191,36.8855639,36.8697392,36.8697835,36.8855639,36.8855639,36.8855639,,37.4695956,right,0,32.1403674,None,37.4706895,37.4848711,37.9687428,37.9841297,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,,2,1,5,1,,,,,,,,,37.9841297,,,,,,,,,37.9695932,39.1832867,39.9823175,39.9669093,39.9669528,39.9823175,39.9823175,39.9823175,,41.6159985,left,0,33.18908,None,41.6170904,41.6308651,42.1148953,42.1304961,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,,3,0,6,1,,,,,,,,,42.1304961,,,,,,,,,42.1156663,42.4801728,43.2794076,43.2638891,43.2639346,43.2794076,43.2794076,43.2794076,48.2757285,48.3101507,right,1,36.5810236,None,48.3112572,48.326482,48.8119064,48.8278814,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
left,left,,3,1,7,0,,,,,,,,,48.8278814,,,,,,,,,48.8126913,49.6274316,50.4438985,50.4271448,50.4271889,50.4438985,50.4438985,50.4438985,,51.7237891,left,1,32.8153977,None,51.7248862,51.7385963,52.2226794,52.2382283,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
right,right,,4,0,8,1,,,,,,,,,52.2382283,,,,,,,,,52.2234567,53.4373464,54.236434,54.2207284,54.220772,54.236434,54.236434,54.236434,,54.9043185,right,1,32.2281687,None,54.905423,54.919202,55.4031338,55.4187395,,,,,,,,,,,,,,,,,,,,,,,,,sub-138,1,2025-03-11_11h53.02.965,random_dot,03.02.2023,60.011006,2025-03-11 11h53.23.660501 +0100
