direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,1.4625030999886803,1.466579100000672,1.466579100000672,26.77877089998219,space,40.3927287000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,26.79488210001728,,,,,,,,,26.78286700003082,27.97807120002108,28.778579799982253,28.76198070001556,28.76200129999779,28.778579799982253,28.778579799982253,28.778579799982253,31.781082600005902,left,1.0,18.096507499984,,31.78148519998649,31.79461739998078,32.29439480003202,32.27811810001731,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,32.29439480003202,,,,,,,,,32.27853619999951,33.494676399976015,34.294856399996206,34.27838390000397,34.27839900000254,34.294856399996206,34.294856399996206,34.294856399996206,35.62855139997555,right,1.0,16.41409149998799,,35.62879270000849,35.64436949999072,36.14465370000107,36.12854409997817,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,36.14465370000107,,,,,,,,,36.12882480002008,37.32793400000082,38.12809170002584,38.11189890000969,38.1119395000278,38.12809170002584,38.12809170002584,38.12809170002584,41.44532150001032,left,1.0,18.405882599996403,,41.44565599999624,41.4612714999821,41.961081699992064,41.94488279998768,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,41.961081699992064,,,,,,,,,41.9451036999817,43.16135750000831,43.96140510000987,43.94481999997515,43.94483769999351,43.96140510000987,43.96140510000987,43.96140510000987,45.22923699999228,right,1.0,16.360907099966425,,45.2296605000156,45.24461609998252,45.74443359998986,45.72823339997558,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,45.74443359998986,,,,,,,,,45.72844079998322,46.094304200029,46.89474140002858,46.87819860002492,46.87821070000064,46.89474140002858,46.89474140002858,46.89474140002858,48.362278199987486,right,1.0,16.557157000002917,,48.3625175000052,48.37794540001778,48.87799770000856,48.8616504999809,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,48.87799770000856,,,,,,,,,48.86199220002163,49.6775304999901,50.477791199984495,50.46108769997954,50.46110339998268,50.477791199984495,50.477791199984495,50.477791199984495,52.06176840001717,left,1.0,16.668502699991222,,52.062151800026186,52.07748889998766,52.57732969999779,52.56093929999042,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,52.57732969999779,,,,,,,,,52.561186900013126,52.67727129999548,53.477791299985256,53.4610454000067,53.461071100027766,53.477791299985256,53.477791299985256,53.477791299985256,56.74491339997621,right,1.0,18.361184699984733,,56.74527170002693,56.76071980001871,57.2608457999886,57.24423620000016,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,57.2608457999886,,,,,,,,,57.24446660000831,58.0606958999997,58.86100009997608,58.844549100031145,58.844561300007626,58.86100009997608,58.86100009997608,58.86100009997608,61.87828469998203,left,1.0,18.10867330001201,,61.878556000010576,61.89403329999186,62.3938296000124,62.37768269999651,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,62.3938296000124,,,,,,,,,62.37799950002227,62.74384220002685,63.54424200003268,63.52746960002696,63.52748089999659,63.54424200003268,63.54424200003268,63.54424200003268,65.06160080002155,right,1.0,16.60056049999548,,65.06187959999079,65.07733489997918,65.57705159997568,65.56084150000243,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-141,1.0,random_dot,60.02710824584518,
