direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0181769430000713,0.0308686380000153,0.0308686380000153,20.49545178300002,space,20.44670630099995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
right,right,0.0,0.0,0.0,right,1.0,3.176822205000008,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,20.514154040999983,,,,,,,,,20.505022465000025,20.842308699,21.657803059000003,21.63612929099997,21.63645843100005,21.657803059000003,21.657803059000003,21.657803059000003,24.837512113000003,right,1.0,3.176822205000008,,24.84221027700005,24.88594557900001,25.341077098000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
left,left,1.0,1.0,0.0,left,1.0,2.33112599399999,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,25.352635950000035,,,,,,,,,25.341370160999983,26.13564238000004,26.926542022000035,26.91983968600005,26.920179029999986,26.926542022000035,26.926542022000035,26.926542022000035,29.26090694000004,left,1.0,2.33112599399999,,29.260993912999997,29.26909720900005,29.753125350000005,29.758393013000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
left,left,2.0,0.0,1.0,right,0.0,3.4398859389999643,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,29.758393013000045,,,,,,,,,29.75341123999999,29.857855503,30.652405015,30.641341579000027,30.641609924000026,30.652405015,30.652405015,30.652405015,34.09388818500008,right,0.0,3.4398859389999643,,34.09708303100001,34.103403032000074,34.59343650000005,34.62506818999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
right,right,3.0,1.0,1.0,right,1.0,1.599527308000006,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,34.62506818999998,,,,,,,,,34.594662502999995,34.72228718200006,35.519040034,35.50831562000008,35.50864930700004,35.519040034,35.519040034,35.519040034,37.119999432999975,right,1.0,1.599527308000006,,37.12208691600006,37.13138514000002,37.61974585100006,37.62484808800002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
left,left,4.0,0.0,2.0,left,1.0,0.7957169339999837,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,37.62484808800002,,,,,,,,,37.620037136000064,37.95748241500007,38.75248526799999,38.741807694000045,38.742140705,38.75248526799999,38.75248526799999,38.75248526799999,39.553978192000045,left,1.0,0.7957169339999837,,39.55406671200001,39.56022537199999,40.05301551000002,40.05827737000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,0.8423158790000116,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,40.05827737000004,,,,,,,,,40.05331838900008,41.252652635,42.04336888800003,42.036708789000045,42.03704982099998,42.04336888800003,42.04336888800003,42.04336888800003,42.88729954500002,right,1.0,0.8423158790000116,,42.88738625000008,42.89336377000007,43.38668331400004,43.39188496200006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
right,right,6.0,0.0,3.0,right,1.0,0.8287195950000523,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,43.39188496200006,,,,,,,,,43.38697034400002,44.18608506800001,44.97617483400006,44.96971814200003,44.97003552700005,44.97617483400006,44.97617483400006,44.97617483400006,45.811193390000085,right,1.0,0.8287195950000523,,45.81129916400005,45.819099107000056,46.30307131400002,46.30827384300005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
left,left,7.0,1.0,3.0,left,1.0,0.5674947299999076,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,46.30827384300005,,,,,,,,,46.303354669999976,46.65756541200005,47.45248721899998,47.442047074000016,47.44237200600003,47.45248721899998,47.45248721899998,47.45248721899998,48.02820769800008,left,1.0,0.5674947299999076,,48.02829279299999,48.03582978700001,48.51976362200003,48.52501793400006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
left,left,8.0,0.0,4.0,right,0.0,0.7079774570000836,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,48.52501793400006,,,,,,,,,48.520049726000025,48.874266258000034,49.66922321499999,49.65817826700004,49.65845112700004,49.66922321499999,49.66922321499999,49.66922321499999,50.38769406799997,right,0.0,0.7079774570000836,,50.390169857000046,50.39661443300008,50.88646696600006,50.89179890700007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-144,1,random_dot,,
