direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session
,,,,,,,,,,,,,,,,,0.047046,0.0635338,0.0635338,22.0831403,space,48.6231006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,0,0,0,1,,,,,,,,,22.1277345,,,,,,,,,22.110119,22.4440734,23.2459469,23.227754,23.2277975,23.2459469,23.2459469,23.2459469,28.2427174,37.5032565,left,0,40.8610576,None,37.5124766,37.5473428,38.0138445,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,0,1,1,0,,,,,,,,,38.0303389,,,,,,,,,38.0146421,38.8130126,39.6290834,39.6136956,39.6137396,39.6290834,39.6290834,39.6290834,44.6244216,48.3396397,left,1,35.3223194,None,48.3407314,48.3712656,48.8542728,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,1,0,2,1,,,,,,,,,48.8707061,,,,,,,,,48.8550505,50.0530618,50.8525823,50.8365753,50.8366174,50.8525823,50.8525823,50.8525823,55.8478884,56.6325828,right,1,32.3933832,None,56.6337417,56.6474228,57.1311205,57.1470314,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,1,1,3,0,,,,,,,,,57.1470314,,,,,,,,,57.1319424,57.4964834,58.2960769,58.2811385,58.2811821,58.2960769,58.2960769,58.2960769,63.2914575,65.9898448,right,0,34.3082579,None,65.9906044,66.0053943,66.4895464,66.5052544,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,2,0,4,1,,,,,,,,,66.5052544,,,,,,,,,66.4903178,67.3044316,68.1037329,68.0886576,68.0887056,68.1037329,68.1037329,68.1037329,73.0993294,79.3289322,right,1,37.83792,None,79.3300306,79.3445448,79.8307506,79.8463717,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,2,1,5,0,,,,,,,,,79.8463717,,,,,,,,,79.8315215,80.1798926,80.9962211,80.9791712,80.9791974,80.9962211,80.9962211,80.9962211,85.9918196,88.6250654,left,1,34.2457564,None,88.6261524,88.6388455,89.1226246,89.1381331,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,3,0,6,1,,,,,,,,,89.1381331,,,,,,,,,89.1233988,89.4878042,90.2881015,90.2714825,90.271525,90.2881015,90.2881015,90.2881015,95.2836172,97.4499292,right,1,33.7716566,None,97.4510107,97.4643921,97.9482032,97.963693,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,3,1,7,0,,,,,,,,,97.963693,,,,,,,,,97.9489775,99.1627132,99.96283,99.9466307,99.9466731,99.96283,99.96283,99.96283,104.9584543,107.9742927,right,0,34.6266547,None,107.975531,108.0019998,108.4851014,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,4,0,8,1,,,,,,,,,108.5014043,,,,,,,,,108.4858779,108.8344,109.7835439,109.7702158,109.7702646,109.7835439,109.7835439,109.7835439,114.7796036,118.8273336,left,0,35.6459849,None,118.8284164,118.8425205,119.326278,119.3420146,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,4,1,9,0,,,,,,,,,119.3420146,,,,,,,,,119.3270482,119.4417379,120.2410865,120.2254248,120.2254667,120.2410865,120.2410865,120.2410865,125.2404356,125.9249507,right,0,32.2877888,None,125.9260464,125.9393114,126.4229615,126.4386469,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,5,0,10,0,,,,,,,,,126.4386469,,,,,,,,,126.4237273,126.5388232,127.3387325,127.3224961,127.3225394,127.3387325,127.3387325,127.3387325,132.3341684,133.0194496,left,1,32.2929618,None,133.0205349,133.0464809,133.5302108,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,5,1,11,1,,,,,,,,,133.5460841,,,,,,,,,133.5313276,133.6292532,134.4285195,134.4131799,134.4132209,134.4285195,134.4285195,134.4285195,139.4243338,140.1088441,left,0,32.2851011,None,140.1099404,140.1237836,140.610933,140.6261495,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,6,0,12,1,,,,,,,,,140.6261495,,,,,,,,,140.6121817,140.959059,141.7593842,141.7433262,141.7433698,141.7593842,141.7593842,141.7593842,146.75484,147.6392882,right,1,32.4932983,None,147.6403871,147.6668695,148.1501442,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,6,1,13,0,,,,,,,,,148.1663958,,,,,,,,,148.1509108,148.9492079,149.7483668,149.7328637,149.7329046,149.7483668,149.7483668,149.7483668,154.7439573,155.311801,left,1,32.1660455,None,155.3128822,155.3270088,155.8107147,155.8263217,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,7,0,14,0,,,,,,,,,155.8263217,,,,,,,,,155.8114873,156.175968,156.9916296,156.9762553,156.9762895,156.9916296,156.9916296,156.9916296,161.9876384,163.0050873,right,0,32.6268828,None,163.0061694,163.0203087,163.5063763,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,7,1,15,1,,,,,,,,,163.5227317,,,,,,,,,163.507153,164.305079,165.1054258,165.0893569,165.0894005,165.1054258,165.1054258,165.1054258,170.1008947,170.8358688,right,1,32.3369702,None,170.8369521,170.8639645,171.3461362,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,8,0,16,0,,,,,,,,,171.3626673,,,,,,,,,171.3469114,171.695842,172.49498,172.4792694,172.4793116,172.49498,172.49498,172.49498,177.4906617,180.2900926,left,1,34.4001255,None,180.291163,180.3052365,180.7894615,180.8042909,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,8,1,17,1,,,,,,,,,180.8042909,,,,,,,,,180.7902363,182.0027197,182.8025491,182.7868689,182.786912,182.8025491,182.8025491,182.8025491,187.7980827,188.7005403,right,1,32.5071089,None,188.7022369,188.7148759,189.2011825,189.216395,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,,9,0,18,0,,,,,,,,,189.216395,,,,,,,,,189.2019414,189.3164353,190.1166306,190.1000229,190.1000655,190.1166306,190.1166306,190.1166306,195.1124708,195.6966977,left,1,32.1864139,None,195.6977681,195.7107538,196.1946288,196.2102865,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,,9,1,19,1,,,,,,,,,196.2102865,,,,,,,,,196.1953951,196.3102897,197.1104846,197.0942138,197.0942555,197.1104846,197.1104846,197.1104846,202.1059729,202.673948,right,1,32.1775432,None,202.675031,202.6882662,203.1720338,203.1887358,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.1721593,203.1887358,203.1887358,206.4364414,space,29.8594483,None,,,,,,,,,,,,,,,,,,sub-152,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.436516,206.4519215,206.4519215,217.6603152,space,37.8169975,None,,,,,,,,,,,sub-152,1
left,left,accuracy,,,,,0,0,0,0,0,0,0,0,224.1830251,,,,,,,,,224.1651225,225.3644845,226.1643755,226.1486971,226.1487445,226.1643755,226.1643755,226.1643755,231.16389,235.0457384,left,1,35.4946142,None,,,,,,,,,,,,,,,,,,,217.6688702,217.7212708,217.7212708,224.1510211,space,33.0310718,None,,,,sub-152,1
right,right,accuracy,,,,,0,0,0,0,0,1,1,1,235.0594007,,,,,,,,,235.0484396,235.409065,236.2096156,236.1926836,236.192724,236.2096156,236.2096156,236.2096156,241.205264,241.8899294,right,1,32.2965674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,accuracy,,,,,0,0,0,0,1,0,2,0,241.9032586,,,,,,,,,241.8921587,242.0031738,242.8036716,242.7870813,242.7871221,242.8036716,242.8036716,242.8036716,247.7989455,248.1837063,left,1,31.9878699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,accuracy,,,,,0,0,0,0,1,1,3,1,248.1980191,,,,,,,,,248.1858729,249.3970494,250.2136138,250.1972988,250.197341,250.2136138,250.2136138,250.2136138,255.2091229,255.6774677,right,1,32.076385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,accuracy,,,,,0,0,0,0,2,0,4,1,255.6910874,,,,,,,,,255.6796612,256.4907335,257.3073361,257.2911187,257.2911598,257.3073361,257.3073361,257.3073361,262.2990688,262.6004359,right,1,31.9046645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,accuracy,,,,,0,0,0,0,2,1,5,0,262.6154362,,,,,,,,,262.6025926,263.4146099,264.2139812,264.1985678,264.1986128,264.2139812,264.2139812,264.2139812,269.2093758,269.6444047,left,1,32.033962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
left,left,accuracy,,,,,0,0,0,0,3,0,6,0,269.6593495,,,,,,,,,269.6465689,270.8581623,271.6573585,271.6421488,271.6421908,271.6573585,271.6573585,271.6573585,276.6530198,277.1547347,left,1,32.1026484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,accuracy,,,,,0,0,0,0,3,1,7,1,277.1695744,,,,,,,,,277.1569062,277.5194019,278.3349756,278.3192358,278.3192787,278.3349756,278.3349756,278.3349756,283.3346406,283.7358525,right,1,32.003045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
right,right,accuracy,,,,,0,0,0,0,4,0,8,1,283.7497363,,,,,,,,,283.7380197,283.8500671,284.6664619,284.6499161,284.6499576,284.6664619,284.6664619,284.6664619,289.6583228,291.6414813,right,1,33.5868782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-152,1
