direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate
,,,,,,,,,,,,,,,,,0.0080624,0.0246691,0.0246691,1.7739067,space,21.024109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,0,0,0,0,,,,,,,,,1.790171,,,,,,,,,1.7839209,1.8729599,2.6722508,2.6561676,2.6561867,2.6722508,2.6722508,2.6722508,5.404021,left,1,22.0161729,None,5.4048446,5.4197713,5.9195595,5.9033781,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,0,1,1,1,,,,,,,,,5.9195595,,,,,,,,,5.9038132,6.0194154,6.8186222,6.802546,6.8025672,6.8186222,6.8186222,6.8186222,7.7186785,right,1,20.1856698,None,7.7192708,7.7345148,8.2340114,8.2179025,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,1,0,2,1,,,,,,,,,8.2340114,,,,,,,,,8.2183388,9.033395,9.8327337,9.8166564,9.8166759,9.8327337,9.8327337,9.8327337,10.6162042,right,1,20.0605249,None,10.6167993,10.632051,11.131542,11.1154533,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,1,1,3,0,,,,,,,,,11.131542,,,,,,,,,11.1158891,11.930834,12.730228,12.7141393,12.714158,12.730228,12.730228,12.730228,13.23042,left,1,19.7771935,None,13.2310118,13.2462921,13.7458154,13.7297001,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,2,0,4,0,,,,,,,,,13.7458154,,,,,,,,,13.7301346,14.545223,15.344559,15.3283561,15.3283753,15.344559,15.344559,15.344559,16.910717,left,1,20.8538735,None,16.9113135,16.9263409,17.4259663,17.4099526,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,2,1,5,1,,,,,,,,,17.4259663,,,,,,,,,17.4104363,18.225244,19.0247271,19.0084411,19.0084604,19.0247271,19.0247271,19.0247271,19.6915539,right,1,19.95294,None,19.6921393,19.7072295,20.2068297,20.1906874,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,3,0,6,1,,,,,,,,,20.2068297,,,,,,,,,20.1911178,21.4058546,22.2051339,22.1889445,22.1889644,22.2051339,22.2051339,22.2051339,23.1052751,right,1,20.1827917,None,23.1059181,23.1209961,23.620468,23.6042972,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,3,1,7,0,,,,,,,,,23.620468,,,,,,,,,23.6047358,24.8193747,25.618731,25.6026161,25.6026361,25.618731,25.618731,25.618731,26.2856327,left,1,19.9415781,None,26.2862256,26.3014107,26.801056,26.7849185,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,4,0,8,1,,,,,,,,,26.801056,,,,,,,,,26.7853795,26.9010017,27.7003092,27.6841573,27.6841774,27.7003092,27.7003092,27.7003092,28.2507628,right,1,19.8353527,None,28.2514104,28.2663316,28.7659167,28.7497718,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,4,1,9,0,,,,,,,,,28.7659167,,,,,,,,,28.7502038,29.5653164,30.364609,30.3484013,30.3484203,30.364609,30.364609,30.364609,31.1979947,right,0,20.1189164,None,31.198585,31.2137479,31.7135261,31.6982976,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,5,0,10,0,,,,,,,,,31.7135261,,,,,,,,,31.6987362,32.0630806,32.8623177,32.846141,32.846161,32.8623177,32.8623177,32.8623177,33.7294401,right,0,20.1530599,None,33.7300359,33.7448073,34.244494,34.2283843,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,5,1,11,1,,,,,,,,,34.244494,,,,,,,,,34.2288217,34.3444461,35.1435992,35.1274917,35.1275116,35.1435992,35.1435992,35.1435992,35.8939062,left,0,20.0293408,None,35.8944969,35.9096585,36.4092469,36.3929874,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,6,0,12,1,,,,,,,,,36.4092469,,,,,,,,,36.3934244,36.5090546,37.3085533,37.2923224,37.292342,37.3085533,37.3085533,37.3085533,38.1584915,right,1,20.1241963,None,38.1590795,38.1743534,38.6739037,38.6579017,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,6,1,13,0,,,,,,,,,38.6739037,,,,,,,,,38.658381,39.8729798,40.6721576,40.6560606,40.6560818,40.6721576,40.6721576,40.6721576,41.2890083,left,1,19.897143,None,41.2895954,41.304901,41.8043924,41.7883409,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,7,0,14,1,,,,,,,,,41.8043924,,,,,,,,,41.7887848,43.0033179,43.8027679,43.7865563,43.7865753,43.8027679,43.8027679,43.8027679,44.4029773,right,1,19.8740395,None,44.4036824,44.4189283,44.9182925,44.9021602,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,7,1,15,0,,,,,,,,,44.9182925,,,,,,,,,44.9026409,46.1172432,46.9165135,46.9003836,46.9004029,46.9165135,46.9165135,46.9165135,47.6003541,left,1,19.9652904,None,47.6010381,47.6160587,48.1155285,48.0994798,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,8,0,16,1,,,,,,,,,48.1155285,,,,,,,,,48.0999425,48.2154929,49.0146718,48.9986315,48.9986505,49.0146718,49.0146718,49.0146718,49.864762,right,1,20.127526,None,49.8653491,49.8806033,50.3802422,50.3641096,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,8,1,17,0,,,,,,,,,50.3802422,,,,,,,,,50.3645406,50.7300378,51.5292606,51.5130954,51.5131144,51.5292606,51.5292606,51.5292606,52.3294304,right,0,20.0752348,None,52.33002,52.3452121,52.844715,52.8286633,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,,9,0,18,0,,,,,,,,,52.844715,,,,,,,,,52.8291222,54.0437014,54.8430262,54.8268774,54.8269004,54.8430262,54.8430262,54.8430262,55.6264826,left,1,20.0617002,None,55.6270695,55.6422986,56.1418246,56.1257538,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
right,right,,9,1,19,1,,,,,,,,,56.1418246,,,,,,,,,56.1261919,56.9411827,57.7403668,57.7243821,57.724402,57.7403668,57.7403668,57.7403668,58.7405318,right,1,20.2791395,None,58.7410962,58.756394,59.2556615,59.2394854,,,,,,,,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2395558,59.2556615,59.2556615,60.438758,space,20.4575904,None,,,,,,,,,,,,,,,,,,sub-153,1,random_dot,59.95200242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4387947,60.4546211,60.4546211,61.2880932,space,20.1199708,None,,,,,,,,,,,sub-153,1,random_dot,59.95200242
left,left,accuracy,,,,,0,0,0,0,0,0,0,0,62.46953,,,,,,,,,62.4611208,63.268821,64.0682296,64.0520053,64.0520266,64.0682296,64.0682296,64.0682296,65.0185481,left,1,20.2378602,None,,,,,,,,,,,,,,,,,,,61.2922106,61.3205117,61.3205117,62.4538608,space,20.4149921,None,,,,sub-153,1,random_dot,59.95200242
