direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,stimulusDots.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0095081999897956,0.0258297999389469,0.0258297999389469,16.78026599995792,space,16.728053499944508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
left,left,0.0,0.0,0.0,left,1.0,4.314363099983893,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,16.82013500004541,,,,,,,,,16.80641930003185,17.985790799953975,18.81822649994865,18.782036599935964,18.78289000003133,18.81822649994865,18.81822649994865,18.81822649994865,23.142356700031087,left,1.0,4.314363099983893,,23.17285830003675,23.187712599989027,23.650097799953077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
right,right,1.0,1.0,0.0,right,1.0,2.086240499978885,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,23.665099099976945,,,,,,,,,23.650994300027374,24.84875959996134,25.65505229996052,25.633733200025745,25.63467729999684,25.65505229996052,25.65505229996052,25.65505229996052,27.752481500036083,right,1.0,2.086240499978885,,27.752755100023933,27.76841899997089,28.265675200033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
right,right,2.0,0.0,1.0,left,0.0,4.983588599949144,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,28.281756500015035,,,,,,,,,28.266496099997312,28.615291199996136,29.42246819997672,29.40079240000341,29.401726600015536,29.42246819997672,29.42246819997672,29.42246819997672,34.41059360001236,left,0.0,4.983588599949144,,34.44103059999179,34.45703729998786,34.91552010003943,34.4068932000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
left,left,3.0,1.0,1.0,right,0.0,2.9913536000531167,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,34.93246819998603,,,,,,,,,34.91642270004377,36.11527820001356,36.92186420003418,36.90061360003892,36.90155519999098,36.92186420003418,36.92186420003418,36.92186420003418,39.91919359995518,right,0.0,2.9913536000531167,,39.91947540000547,39.93435340002179,40.43240059993696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
right,right,4.0,0.0,2.0,right,1.0,6.166559000033885,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,40.4487193999812,,,,,,,,,40.433294699992985,41.23127829993609,42.05265530000906,42.03277099994011,42.03361909999512,42.05265530000906,42.05265530000906,42.05265530000906,48.241933900048025,right,1.0,6.166559000033885,,48.25280829996336,48.26893579994794,48.74931189999916,47.04825979995076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
left,left,5.0,1.0,2.0,left,1.0,4.059176100068726,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,48.76565079996362,,,,,,,,,48.750162299955264,49.94896800001152,50.75546549994033,50.73414529999718,50.735167299979366,50.75546549994033,50.75546549994033,50.75546549994033,54.81995539995842,left,1.0,4.059176100068726,,54.82023119996302,54.83520049997605,55.31963689997792,,55.34930560004432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
left,left,6.0,0.0,3.0,right,0.0,4.836965400027111,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,55.34930560004432,,,,,,,,,55.32046499999706,55.680987300002016,56.48987960000522,56.46861870004796,56.46959410002455,56.48987960000522,56.48987960000522,56.48987960000522,61.35110880003776,right,0.0,4.836965400027111,,61.36204030003864,61.37753439997323,61.864724799990654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
right,right,7.0,1.0,3.0,right,1.0,2.278846799978055,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,61.88097689999268,,,,,,,,,61.8654829999432,61.96559239993803,62.77243519993499,62.75107749993913,62.75204719998874,62.77243519993499,62.77243519993499,62.77243519993499,65.05423180002254,right,1.0,2.278846799978055,,65.06365080003161,65.07956109999213,65.56420100003015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
right,right,8.0,0.0,4.0,left,0.0,1.2600468000164255,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,65.58752820000518,,,,,,,,,65.56506279995665,65.66560609999578,66.48608890001196,66.46603699994739,66.46691519999877,66.48608890001196,66.48608890001196,66.48608890001196,67.7507829000242,left,0.0,1.2600468000164255,,67.76015410001855,67.77414270001464,68.26469079998787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-164,1,random_dot,57.42670916926211,
