direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0104559390019858,0.0299699500028509,0.0299699500028509,7.295579113000713,space,7.26392516100168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
right,right,0.0,0.0,0.0,right,1.0,0.9154045190007308,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,7.312932685003034,,,,,,,,,7.303293317003408,8.487880806002067,9.296342898996954,9.27841168300074,9.27897233099793,9.296342898996954,9.296342898996954,9.296342898996954,10.213087076001102,right,1.0,0.9154045190007308,,10.217593540000962,10.22899148400029,10.718454645000747,10.711871191000682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
left,left,1.0,1.0,0.0,left,1.0,0.8490221050014952,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,10.718454645000747,,,,,,,,,10.712344075996953,11.51136915400275,12.303625385997291,12.295089788996847,12.295610043001943,12.303625385997291,12.303625385997291,12.303625385997291,13.162916979999864,left,1.0,0.8490221050014952,,13.163008859999536,13.17180244300107,13.668613062996885,13.661867691997031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
left,left,2.0,0.0,1.0,right,0.0,0.6445906919980189,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,13.668613062996885,,,,,,,,,13.662305853998989,13.7615654159963,14.553965920997143,14.54519741999684,14.545713940002315,14.553965920997143,14.553965920997143,14.553965920997143,15.20593892299803,right,0.0,0.6445906919980189,,15.2110120560028,15.221140494999418,,15.71165883699723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
right,right,3.0,1.0,1.0,left,0.0,1.0706361980046497,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,15.71839235399966,,,,,,,,,15.71214437099843,15.80175206399872,16.594933692002087,16.585425842000404,16.586053633996926,16.594933692002087,16.594933692002087,16.594933692002087,17.667634076002287,left,0.0,1.0706361980046497,,17.667712987000414,17.678300129999116,18.168543234001845,18.161872272998156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
left,left,4.0,0.0,2.0,right,0.0,1.1051348409964703,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,18.168543234001845,,,,,,,,,18.16231714600144,19.361419519002084,20.154215727998235,20.14513988899853,20.14567017999798,20.154215727998235,20.154215727998235,20.154215727998235,21.26303132299654,right,0.0,1.1051348409964703,,21.26310645599733,21.2720662990032,21.76836967899726,21.761740791000197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
right,right,5.0,1.0,2.0,right,1.0,0.7391386369999964,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,21.76836967899726,,,,,,,,,21.76217686799646,22.56147028499981,23.354076402996725,23.3450568249973,23.34558151900273,23.354076402996725,23.354076402996725,23.354076402996725,24.095700393001607,right,1.0,0.7391386369999964,,24.09782913699746,24.11084456700337,24.601914653001582,24.59524188700016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
left,left,6.0,0.0,3.0,left,1.0,1.2482963719958209,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,24.601914653001582,,,,,,,,,24.59568645500258,25.79446460500185,26.58684012400045,26.57819354499952,26.57871480900212,26.58684012400045,26.58684012400045,26.58684012400045,27.83823325699632,left,1.0,1.2482963719958209,,27.838316137997023,27.86049421999633,,28.34462611100025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
right,right,7.0,1.0,3.0,right,1.0,0.6868665000001783,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,28.350816074998875,,,,,,,,,28.34500220300106,29.53424080299737,30.32822831399972,30.31800856100017,30.318601737999412,30.32822831399972,30.32822831399972,30.32822831399972,31.028705502001685,right,1.0,0.6868665000001783,,31.02885678400344,31.045008091001364,31.535047650002525,31.52831233000325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
left,left,8.0,0.0,4.0,left,1.0,0.66959849500563,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,31.535047650002525,,,,,,,,,31.52875958399818,32.71817386100156,33.511209258002054,33.50169550199644,33.50230472000112,33.511209258002054,33.511209258002054,33.511209258002054,34.18844561700098,left,1.0,0.66959849500563,,34.1885471889982,34.19759890899877,34.694376612998894,34.68480277300114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-173,1,random_dot,89.30477846339137,
