direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 71
,,,,,,,,,,,,,,,,,0.0100278999998408,0.0124211000002105,0.0124211000002105,14.097514000000956,space,23.98663789999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,14.124525500001257,,,,,,,,,14.120987800000876,14.212067300000854,15.011957300001086,14.99541970000064,14.995444899999711,15.011957300001086,15.011957300001086,15.011957300001086,17.278143499999715,left,1.0,12.1722850999995,,17.279147100000046,17.292619200001354,17.79227340000034,17.77702820000013,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,17.79227340000034,,,,,,,,,17.777766900000643,17.891913900000873,18.69180729999971,18.676145700001143,18.676200300000342,18.69180729999971,18.69180729999971,18.69180729999971,20.208513999999923,right,1.0,11.41454739999972,,20.20913500000097,20.223261600000114,20.722397999999885,20.706347000001188,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,20.722397999999885,,,,,,,,,20.70664360000046,21.52212230000077,22.321689600001264,22.30633970000053,22.30639809999957,22.321689600001264,22.321689600001264,22.321689600001264,24.18814190000012,left,1.0,11.7774485000009,,24.18878270000096,24.202919700001075,24.70224550000057,24.68582570000035,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,24.70224550000057,,,,,,,,,24.686170500001023,25.052205500000127,25.868329599999925,25.85159730000123,25.851615100000345,25.868329599999925,25.868329599999925,25.868329599999925,28.38295720000133,right,1.0,12.42454699999871,,28.38323769999988,28.39863510000032,28.898489999999583,28.882406900000205,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,28.898489999999583,,,,,,,,,28.88279909999983,29.697423400000844,30.497387700001127,30.480819899999915,30.480837700000848,30.497387700001127,30.497387700001127,30.497387700001127,32.36410729999989,left,1.0,11.770809199999348,,32.36495439999999,32.378576500001145,32.87825880000128,32.86203940000087,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,32.87825880000128,,,,,,,,,32.862453100000494,32.97800120000102,33.777643600000374,33.76115700000082,33.76118470000074,33.777643600000374,33.777643600000374,33.777643600000374,35.04400600000008,right,1.0,11.173580000000584,,35.044628999999986,35.05920780000088,35.55892289999974,35.54282489999969,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,35.55892289999974,,,,,,,,,35.54310760000044,35.65898460000062,36.47530010000082,36.459073400001216,36.45912210000097,36.47530010000082,36.47530010000082,36.47530010000082,38.29192150000017,right,1.0,11.722841200000405,,38.29260450000038,38.306355200000326,38.80594860000019,38.790722100000494,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,38.80594860000019,,,,,,,,,38.79152980000072,40.00476290000006,40.80423370000062,40.78769600000123,40.78771630000119,40.80423370000062,40.80423370000062,40.80423370000062,41.95607380000001,left,1.0,11.061940400000822,,41.95675120000124,41.96966720000091,42.46887179999976,42.45238550000067,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,42.46887179999976,,,,,,,,,42.45262999999977,43.66765120000127,44.46780829999989,44.45186939999985,44.45192870000028,44.46780829999989,44.46780829999989,44.46780829999989,46.05007889999979,left,1.0,11.49356809999881,,46.0504062,46.06550950000019,46.565289300000586,46.54930930000046,,,,,,,,,,,,,,,,,,,,,,,,sub-176,1.0,random_dot,59.93612008326343,
