direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030211,0.0097316,0.0097316,19.0153384,space,18.9779036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
left,left,0,0,0,left,1,1.7654143,None,,,,,0,0,0,0,,,,,,,,,19.0368734,,,,,,,,,19.0316061,19.1312144,19.9424723,19.915139,19.9155875,19.9424723,19.9424723,19.9424723,21.7177915,left,1,1.7654143,None,21.7331954,21.7371054,22.2336285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
right,right,1,1,0,right,1,2.2088454,None,,,,,0,1,1,1,,,,,,,,,22.2498916,,,,,,,,,22.2340671,23.0172441,23.8188365,23.8013852,23.801827,23.8188365,23.8188365,23.8188365,26.0375198,right,1,2.2088454,None,26.0376512,26.0525386,26.536662,26.5526129,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
left,left,2,0,1,left,1,3.29268,None,,,,,1,0,2,0,,,,,,,,,26.5526129,,,,,,,,,26.537037,26.903084,27.7050167,27.6871072,27.6875964,27.7050167,27.7050167,27.7050167,31.00764,left,1,3.29268,None,31.0077756,31.0226639,31.5066696,31.5229283,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
right,right,3,1,1,left,0,2.5428672,None,,,,,1,1,3,1,,,,,,,,,31.5229283,,,,,,,,,31.5071018,32.3233363,33.1249559,33.1074981,33.1081217,33.1249559,33.1249559,33.1249559,35.6775757,left,0,2.5428672,None,35.6921283,35.6955647,36.1928697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
left,left,4,0,2,left,1,1.6230761,None,,,,,2,0,4,0,,,,,,,,,36.2094976,,,,,,,,,36.1932751,36.2929164,37.0946512,37.0771249,37.0775532,37.0946512,37.0946512,37.0946512,38.7294607,left,1,1.6230761,None,38.7348292,38.7446542,39.228646,39.2446553,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
right,right,5,1,2,right,1,1.1512858,None,,,,,2,1,5,1,,,,,,,,,39.2446553,,,,,,,,,39.2290298,39.5947723,40.3968048,40.379462,40.3798994,40.3968048,40.3968048,40.3968048,41.5650672,right,1,1.1512858,None,41.565204,41.579841,42.0639012,42.080048,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
right,right,6,0,3,left,0,2.7618835,None,,,,,3,0,6,1,,,,,,,,,42.080048,,,,,,,,,42.0643261,43.2642326,44.0660244,44.0486706,44.0491015,44.0660244,44.0660244,44.0660244,46.8351499,left,0,2.7618835,None,46.8406362,46.8502584,47.3342534,47.3503719,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
left,left,7,1,3,left,1,1.424881,None,,,,,3,1,7,0,,,,,,,,,47.3503719,,,,,,,,,47.3346399,48.1507835,48.9526904,48.9350287,48.9354684,48.9526904,48.9526904,48.9526904,50.3875531,left,1,1.424881,None,50.3918364,50.4023866,50.8864552,50.9029248,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
right,right,8,0,4,right,1,1.2135823,None,,,,,4,0,8,1,,,,,,,,,50.9029248,,,,,,,,,50.8868299,51.0028296,51.804694,51.7872811,51.7877035,51.804694,51.804694,51.804694,53.0226149,right,1,1.2135823,None,53.022746,53.037445,53.5217976,53.5381875,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-182,1,random_dot,60.04743747
