direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027062999999998,0.0127544000000625,0.0127544000000625,19.535814099999925,space,19.48469820000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
right,right,0.0,0.0,0.0,right,1.0,2.687759599999936,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,19.55842860000007,,,,,,,,,19.55492000000004,20.744713400000137,21.551439900000105,21.52772419999997,21.528275800000078,21.551439900000105,21.551439900000105,21.551439900000105,24.242061700000026,right,1.0,2.687759599999936,,24.252998500000103,24.256926600000043,24.756084200000032,24.739707899999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
left,left,1.0,1.0,0.0,left,1.0,0.905234500000006,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,24.756084200000032,,,,,,,,,24.73996650000004,25.95478960000014,26.7718668,26.754132600000048,26.75472960000002,26.7718668,26.7718668,26.7718668,27.687563200000117,left,1.0,0.905234500000006,,27.6877171000001,27.70236130000012,28.201549699999987,28.185098299999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
right,right,2.0,0.0,1.0,right,1.0,2.607649600000059,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,28.201549699999987,,,,,,,,,28.185311500000125,28.30170270000008,29.11868340000001,29.1011039,29.10166470000013,29.11868340000001,29.11868340000001,29.11868340000001,31.732001800000035,right,1.0,2.607649600000059,,31.732087699999965,31.74691959999996,32.2464566000001,32.23024699999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
left,left,3.0,1.0,1.0,left,1.0,0.8425922999999784,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,32.2464566000001,,,,,,,,,32.23076949999995,32.34638229999996,33.16411549999998,33.14542699999993,33.14585710000006,33.16411549999998,33.16411549999998,33.16411549999998,34.012479600000006,left,1.0,0.8425922999999784,,34.01260030000003,34.02731169999993,34.526603900000055,34.51018320000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
left,left,4.0,0.0,2.0,left,1.0,1.3612716000000091,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,34.526603900000055,,,,,,,,,34.51049090000015,35.72487879999994,36.52560319999998,36.50790180000013,36.50849229999994,36.52560319999998,36.52560319999998,36.52560319999998,37.89091170000006,left,1.0,1.3612716000000091,,37.89106820000006,37.90572670000006,38.40496750000011,38.38876589999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
right,right,5.0,1.0,2.0,right,1.0,0.8959403999999722,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,38.40496750000011,,,,,,,,,38.38928269999997,39.20391380000001,40.02068929999996,40.00271840000005,40.00294589999999,40.02068929999996,40.02068929999996,40.02068929999996,40.92034660000013,right,1.0,0.8959403999999722,,40.92051480000009,40.93487470000014,41.433900300000005,41.41748970000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
left,left,6.0,0.0,3.0,left,1.0,0.943926200000078,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,41.433900300000005,,,,,,,,,41.41769990000012,42.23299300000008,43.03369550000002,43.01599920000013,43.01665560000015,43.03369550000002,43.03369550000002,43.03369550000002,43.982865200000106,left,1.0,0.943926200000078,,43.98303680000004,43.99759059999997,44.49690600000008,44.48069129999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
right,right,7.0,1.0,3.0,right,1.0,0.9391034000000218,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,44.49690600000008,,,,,,,,,44.48122310000008,45.69513830000005,46.512315899999976,46.49437690000013,46.49477879999995,46.512315899999976,46.512315899999976,46.512315899999976,47.46161140000004,right,1.0,0.9391034000000218,,47.46177290000014,47.476299500000096,47.975620400000025,47.95949139999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
left,left,8.0,0.0,4.0,left,1.0,0.9577868999999736,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,47.975620400000025,,,,,,,,,47.96001860000001,48.77437000000009,49.59142390000011,49.5735095,49.5737944,49.59142390000011,49.59142390000011,49.59142390000011,50.55761910000001,left,1.0,0.9577868999999736,,50.55779589999997,50.57231120000006,51.07135130000006,51.05499959999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-188,1,random_dot,60.0957204635559,
