direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0236066000070422,0.0392539999447763,0.0392539999447763,46.09013450006023,space,60.61300970008597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,46.14122230000794,,,,,,,,,46.135470299981534,46.90467319986783,47.70437559997663,47.689033000031486,47.68907209997997,47.70437559997663,47.70437559997663,47.70437559997663,50.18973889993504,right,0.0,17.04871950019151,,50.19076559995301,50.20392789994367,50.70521409995854,50.68969639996067,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,50.70521409995854,,,,,,,,,50.690308100078255,51.88949620001949,52.70493909996003,52.68931679986417,52.6893569000531,52.70493909996003,52.70493909996003,52.70493909996003,54.6417682999745,left,0.0,16.510844300035387,,54.64257159992121,54.6541365000885,55.155608099885285,55.13914059987292,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,55.155608099885285,,,,,,,,,55.139746099943295,55.95530879986472,56.75487369997427,56.73948849993758,56.73952149995603,56.75487369997427,56.75487369997427,56.75487369997427,59.072881900006905,right,0.0,16.881468600127846,,59.073645500000566,59.08739020000212,59.5877900000196,59.57220850000158,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,59.5877900000196,,,,,,,,,59.57285870006308,59.68887159996666,60.50473709986545,60.488942000083625,60.48897340008989,60.50473709986545,60.50473709986545,60.50473709986545,61.85647560004145,right,1.0,15.924155600136146,,61.85733529995196,61.8718477000948,62.371183699928224,62.35715659987181,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,62.371183699928224,,,,,,,,,62.35782360006124,62.47120289993472,63.27116649993695,63.254830999998376,63.25486409990117,63.27116649993695,63.27116649993695,63.27116649993695,64.54120759991929,right,0.0,15.843928600195795,,64.54229749995284,64.55436130007729,65.05461400002241,65.03850020002574,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,65.05461400002241,,,,,,,,,65.039155599894,65.85558600001968,66.67094189999625,66.65555640007369,66.65558829996735,66.67094189999625,66.67094189999625,66.67094189999625,69.92470890004188,left,0.0,17.826657900121063,,69.92533769994043,69.93659719987772,70.43731119995937,70.42169920005836,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,70.43731119995937,,,,,,,,,70.42230809992179,70.53689999994822,71.33670109999366,71.32211169996299,71.32214950001799,71.33670109999366,71.33670109999366,71.33670109999366,75.48896900005639,right,1.0,18.721045900136232,,75.48957139998674,75.50351310009137,76.00332039990462,75.98816840001382,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,76.00332039990462,,,,,,,,,75.98879930004478,77.20465440000407,78.01983390003443,78.00447240006179,78.00450609996915,78.01983390003443,78.01983390003443,78.01983390003443,81.70423020003363,left,1.0,18.25177270011045,,81.70495459996164,81.71915349992923,82.22063090000302,82.20547139993869,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,82.22063090000302,,,,,,,,,82.20625240006484,83.01947090006433,83.8203421998769,83.8033670000732,83.8034037000034,83.8203421998769,83.8203421998769,83.8203421998769,87.33854090003297,right,1.0,18.08675130014308,,87.33931119996123,87.44986549997702,,87.85270649986342,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-193,1.0,random_dot,60.38800503992707,
