direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0044068999122828,0.0091413999907672,0.0091413999907672,22.017341499915347,space,37.91953620011918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,22.03296500002034,,,,,,,,,22.02788900001906,22.132874300004914,22.949123499915004,22.93223139992915,22.9322524999734,22.949123499915004,22.949123499915004,22.949123499915004,24.349924500100315,right,0.0,17.307509999955073,,24.35110739991069,24.375450399937108,24.86418549995869,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,24.88043899997137,,,,,,,,,24.864638400031254,25.663357800105587,26.46375490003265,26.44735289993696,26.447392700007185,26.46375490003265,26.46375490003265,26.46375490003265,27.44764839997515,right,1.0,16.90564120002091,,27.448028200073168,27.46255880012177,27.94636719999835,27.96209569997154,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,27.96209569997154,,,,,,,,,27.947083299979568,28.76138440007344,29.56197419995442,29.54511169996113,29.545132600003853,29.56197419995442,29.56197419995442,29.56197419995442,30.69581039994955,right,1.0,17.045016600051895,,30.69639319996349,30.71038520010188,31.19389760005288,31.20985629991628,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,31.20985629991628,,,,,,,,,31.194304399890825,31.5598623000551,32.360316100064665,32.343666000058874,32.34370690002106,32.360316100064665,32.360316100064665,32.360316100064665,33.22714269999415,left,1.0,16.781000099843368,,33.22753309994005,33.24240539991297,33.72591660008766,33.74181149993092,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,33.74181149993092,,,,,,,,,33.72633900004439,34.940959099913016,35.74161859997548,35.72467839997262,35.7246985998936,35.74161859997548,35.74161859997548,35.74161859997548,37.308393199928105,right,0.0,17.475959500065073,,37.30898259999231,37.3229012999218,37.80648280004971,37.82269879989326,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,37.82269879989326,,,,,,,,,37.80677199992351,38.17253610002808,38.972844700096175,38.95586319989525,38.95588909997605,38.972844700096175,38.972844700096175,38.972844700096175,39.806455000070855,right,1.0,16.746378799900413,,39.80690989992581,39.82163030002266,40.305109600070864,40.32119609997608,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,40.32119609997608,,,,,,,,,40.30569569999352,41.520286000100896,42.32074899994768,42.30408319993876,42.30411039991304,42.32074899994768,42.32074899994768,42.32074899994768,46.05252039991319,left,1.0,19.639435300137848,,46.05341359996237,46.06735099991784,46.55099099990912,46.56695290002972,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,46.56695290002972,,,,,,,,,46.551370200002566,47.36665900005028,48.16748790000565,48.15114250010811,48.15119639993645,48.16748790000565,48.16748790000565,48.16748790000565,48.95092729991302,right,1.0,16.69875849992968,,48.95131790009327,48.96612080000341,49.44957290007733,49.46544490009546,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,49.46544490009546,,,,,,,,,49.44994889991358,50.26493569999002,51.06539379991591,51.04832009994425,51.04834239999764,51.06539379991591,51.06539379991591,51.06539379991591,52.21610830002464,left,1.0,17.07143300003372,,52.216752799926326,52.23052529990673,52.714322899933904,52.730369800003245,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,4.0,1.0,9.0,1.0,,,,,,,,,52.730369800003245,,,,,,,,,52.71460990002379,52.83015389996581,53.63081189990044,53.614054000005126,53.61406820011325,53.63081189990044,53.63081189990044,53.63081189990044,54.83128589997068,right,1.0,17.108359799953178,,54.83206030004658,54.84573330008425,55.3291356000118,55.34522409993224,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,5.0,0.0,10.0,0.0,,,,,,,,,55.34522409993224,,,,,,,,,55.32958590006456,56.54448199993931,57.34482220001519,57.32786770001985,57.32788760005496,57.34482220001519,57.34482220001519,57.34482220001519,58.49517300003208,left,1.0,17.0661427997984,,58.495656500104815,58.50993430009112,58.993674899917096,59.00974170002155,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,5.0,1.0,11.0,1.0,,,,,,,,,59.00974170002155,,,,,,,,,58.99406759999693,60.2089100999292,61.00938679999672,60.99286099988967,60.99290190008469,61.00938679999672,61.00938679999672,61.00938679999672,61.64385230001062,right,1.0,16.551267399918288,,61.644667299930006,61.65795630007051,62.14213420008309,62.157933899899945,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,6.0,0.0,12.0,0.0,,,,,,,,,62.157933899899945,,,,,,,,,62.1427762999665,63.35700480011292,64.15761439991184,64.14032860007137,64.14034910011105,64.15761439991184,64.15761439991184,64.15761439991184,64.82484719995409,left,1.0,16.574472500011325,,64.82550629996695,64.83943199994974,65.32306639989838,65.33899340010248,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,6.0,1.0,13.0,1.0,,,,,,,,,65.33899340010248,,,,,,,,,65.32354320003651,66.53845739993267,67.33873709989712,67.32197989989072,67.32200779998675,67.33873709989712,67.33873709989712,67.33873709989712,67.92282989993691,right,1.0,16.50107829994522,,67.9235098999925,67.9375237999484,68.42113630007952,68.43734650011174,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,7.0,0.0,14.0,0.0,,,,,,,,,68.43734650011174,,,,,,,,,68.4216040999163,69.63638380006887,70.43682059994899,70.42015239992179,70.42017830000259,70.43682059994899,70.43682059994899,70.43682059994899,72.03710120008327,left,1.0,17.5084972998593,,72.03783209994435,72.05182910012081,72.53550220001489,72.55132009997033,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,7.0,1.0,15.0,1.0,,,,,,,,,72.55132009997033,,,,,,,,,72.5360226999037,73.75063050002791,74.55101380008273,74.53423890005797,74.53426779992878,74.55101380008273,74.55101380008273,74.55101380008273,75.40189910004847,right,1.0,16.758568099932745,,75.40268509997986,75.4162508000154,75.8998569000978,75.91608599992469,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,8.0,0.0,16.0,0.0,,,,,,,,,75.91608599992469,,,,,,,,,75.90013769990765,76.2659078000579,77.06644010008313,77.04975709994324,77.04980099992827,77.06644010008313,77.06644010008313,77.06644010008313,78.06658930005506,left,1.0,16.921899300068617,,78.06700809998438,78.08148980000988,78.56540729990229,78.58118640002795,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,8.0,1.0,17.0,1.0,,,,,,,,,78.58118640002795,,,,,,,,,78.56604980002157,78.93057480012067,79.73134779999964,79.71484900009818,79.71488999994472,79.73134779999964,79.73134779999964,79.73134779999964,80.49879970005713,right,1.0,16.68159669986926,,80.499485099921,80.51335059991106,80.99680329998955,81.01308110007085,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,,9.0,0.0,18.0,0.0,,,,,,,,,81.01308110007085,,,,,,,,,80.99730430007912,82.21223650011234,83.01273289998062,82.9957508998923,82.99577670008875,83.01273289998062,83.01273289998062,83.01273289998062,83.62973459996283,right,0.0,16.531204900005832,,83.6302559999749,83.64470830000937,84.12827760004438,84.14418810000643,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,,9.0,1.0,19.0,1.0,,,,,,,,,84.14418810000643,,,,,,,,,84.12868650001474,85.34379830001853,86.14421830000356,86.12727280007675,86.1273076001089,86.14421830000356,86.14421830000356,86.14421830000356,86.8286510000471,right,1.0,16.5989174998831,,86.82961979997344,86.84264670009725,87.32639709999785,87.34265589993447,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.32647700002417,87.34265589993447,87.34265589993447,90.69161450001413,space,19.26052669994533,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.69166120002046,90.7074223998934,90.7074223998934,100.51854610000736,space,25.729483700124547,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.16530249989592,,,,,,,,,104.15821280004457,105.3647964000702,106.16499150008896,106.14805700001308,106.14808399998584,106.16499150008896,106.16499150008896,106.16499150008896,107.63177999993786,left,1.0,17.38192620011978,,,,,,,,,,,,,,,,,,,,100.5217103001196,100.54436719999649,100.54436719999649,104.1499934999738,space,19.524463700130585,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,107.64661850011908,,,,,,,,,107.63297999999486,108.44606989994644,109.24653179990128,109.22954649990425,109.22957319999114,109.24653179990128,109.24653179990128,109.24653179990128,110.2804388999939,right,1.0,16.952696399996057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,110.29515490005724,,,,,,,,,110.28132429998368,111.09442290011792,111.89482069993392,111.8778397999704,111.87785940011965,111.89482069993392,111.89482069993392,111.89482069993392,113.74471489991991,left,1.0,17.769211100181565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,113.75961200008167,,,,,,,,,113.7458480000496,114.55895680002868,115.35926620010288,115.34219080000184,115.3422060001176,115.35926620010288,115.35926620010288,115.35926620010288,119.59169130004013,right,1.0,20.14223250001669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,119.60604760004207,,,,,,,,,119.59313739999196,120.80511209997348,121.60578670003451,121.58878060011192,121.58880489994772,121.60578670003451,121.60578670003451,121.60578670003451,122.57371510006487,right,1.0,16.888839799910784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,122.58743209997192,,,,,,,,,122.57562320004216,123.38716810010374,124.18736499990337,124.17100890004076,124.171050200006,124.18736499990337,124.18736499990337,124.18736499990337,125.23807689989916,left,1.0,16.956784300040454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,125.25264890003018,,,,,,,,,125.23974990006536,126.0520921999123,126.85234039998612,126.83555050008,126.8355771000497,126.85234039998612,126.85234039998612,126.85234039998612,127.83641440002248,right,1.0,16.897769400151446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,127.85100800008512,,,,,,,,,127.83784710010514,127.95100170001388,128.75118170003407,128.73443700000644,128.7344643000979,128.75118170003407,128.75118170003407,128.75118170003407,135.7143147001043,right,0.0,22.877112000016496,,,,,,,,,,,,,,,,,,,,,,,,,,,133.74807469989173,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,135.7290817999747,,,,,,,,,135.71515669999644,136.9289120999165,137.72911550011486,137.71212229994126,137.71214359998703,137.72911550011486,137.72911550011486,137.72911550011486,139.66225240007043,left,1.0,17.844976500142366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0,139.67698629992083,,,,,,,,,139.6633725001011,140.476524699945,141.27704109996557,141.25999350007623,141.26001799991354,141.27704109996557,141.27704109996557,141.27704109996557,142.64402020000853,right,1.0,17.28741170000285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,142.65848780004308,,,,,,,,,142.64535310002975,143.8577839999925,144.65831690002233,144.64136540004984,144.6413865000941,144.65831690002233,144.65831690002233,144.65831690002233,145.82520429999568,left,1.0,17.084866599878296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,5.0,1.0,11.0,1.0,145.84006690001115,,,,,,,,,145.8263310000766,146.18985740002245,146.9901548998896,146.9731944000814,146.97321780002676,146.9901548998896,146.9901548998896,146.9901548998896,148.57378420000896,right,1.0,17.490057999966666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,6.0,0.0,12.0,1.0,148.5883394998964,,,,,,,,,148.57506459997967,148.93796260003,149.73857649997808,149.72139149997383,149.7214154000394,149.73857649997808,149.73857649997808,149.73857649997808,150.971842299914,right,1.0,17.149386199889705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,6.0,1.0,13.0,0.0,150.98689249996096,,,,,,,,,150.97257280000483,151.08673699991778,151.8870520000346,151.87031399994157,151.87033779988997,151.8870520000346,151.8870520000346,151.8870520000346,153.63712120009586,left,1.0,17.658762499922886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,153.65196179994382,,,,,,,,,153.6384093998931,154.00174469989724,154.80199100007303,154.78521739994176,154.78524100012146,154.80199100007303,154.80199100007303,154.80199100007303,157.4344860999845,right,0.0,18.539470499847084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,7.0,1.0,15.0,1.0,157.44936460000463,,,,,,,,,157.43535110005178,157.54936689999886,158.34985679993406,158.33300730003975,158.33303470001556,158.34985679993406,158.34985679993406,158.34985679993406,160.73279529996216,right,1.0,18.3013154999353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,8.0,0.0,16.0,0.0,160.747390500037,,,,,,,,,160.73412319994532,160.84734490001574,161.64778929995373,161.63131510000676,161.63134999992326,161.64778929995373,161.64778929995373,161.64778929995373,163.03163539990783,left,1.0,17.295183700043708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,8.0,1.0,17.0,1.0,163.04611909994856,,,,,,,,,163.03288890002295,163.3960609000642,164.1962538000662,164.17974140006118,164.17977580009028,164.1962538000662,164.1962538000662,164.1962538000662,165.91293490002863,right,1.0,17.63774019991979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,165.9276040000841,,,,,,,,,165.91426580003463,166.02750610001385,166.8281403000001,166.81063800002448,166.81065339990892,166.8281403000001,166.8281403000001,166.8281403000001,168.04550489992835,left,1.0,17.135495299939066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,9.0,1.0,19.0,1.0,168.0597922001034,,,,,,,,,168.04742059996352,168.8591221999377,169.65980969998054,169.64269490004517,169.6427194001153,169.65980969998054,169.65980969998054,169.65980969998054,171.11019630008377,right,1.0,17.36142489989288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,171.12482320005074,,,,,,,,,171.11183480010368,171.22426829999313,172.02504629991017,172.00814900011756,172.00818410003558,172.02504629991017,172.02504629991017,172.02504629991017,173.57530710007995,left,1.0,17.46519310004078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,10.0,1.0,21.0,1.0,173.58949219994247,,,,,,,,,173.5769760000985,174.3890523998998,175.18958489992656,175.1732834998984,175.1733275000006,175.18958489992656,175.18958489992656,175.18958489992656,176.93939869990572,right,1.0,17.663835999788716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,11.0,0.0,22.0,1.0,176.9544730999041,,,,,,,,,176.94018310005777,177.75393219990656,178.55435899994336,178.53726970008574,178.53729350003414,178.55435899994336,178.55435899994336,178.55435899994336,181.70374169992283,left,0.0,19.067860400071368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,11.0,1.0,23.0,0.0,181.71808680007237,,,,,,,,,181.7051510000601,181.81787159992385,182.6182574001141,182.60127199999988,182.601289199898,182.6182574001141,182.6182574001141,182.6182574001141,184.43420629994944,left,1.0,17.729259999934584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,12.0,0.0,24.0,0.0,184.4492842000909,,,,,,,,,184.43501499993727,185.6489464000333,186.4493541000411,186.4323422999587,186.43236640002576,186.4493541000411,186.4493541000411,186.4493541000411,187.93362060002983,left,1.0,17.39146599988453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,12.0,1.0,25.0,1.0,187.94747169991024,,,,,,,,,187.93551380001009,188.7471610000357,189.54738139989783,189.5306842001155,189.530710299965,189.54738139989783,189.54738139989783,189.54738139989783,190.8646780001,right,1.0,17.237824499839917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,13.0,0.0,26.0,0.0,190.8790937999729,,,,,,,,,190.86609299993145,192.07843949995004,192.87865879992023,192.86206820001823,192.8620941999834,192.87865879992023,192.87865879992023,192.87865879992023,194.96202090010047,left,1.0,17.996927399886772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,13.0,1.0,27.0,1.0,194.9766355000902,,,,,,,,,194.96342559996992,195.07658000011,195.8770455000922,195.8599487999454,195.8599747000262,195.8770455000922,195.8770455000922,195.8770455000922,197.54399170004763,right,1.0,17.588222600053996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,14.0,0.0,28.0,0.0,197.55841229995715,,,,,,,,,197.5454029999673,198.7575111000333,199.5579309000168,199.54112680000253,199.5411569001153,199.5579309000168,199.5579309000168,199.5579309000168,201.3748323000036,left,1.0,17.736395000014454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,14.0,1.0,29.0,1.0,201.3894561000634,,,,,,,,,201.3762399000116,202.1889410999138,202.98939369991425,202.97230569995008,202.97233140002936,202.98939369991425,202.98939369991425,202.98939369991425,204.67263950011693,right,1.0,17.59513089992106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-202,1.0,random_dot,59.90520597764109,
