direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0047543,0.011525,0.011525,12.644332,space,12.6220084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,0,0,0,left,0,2.6688813,None,,,,,0,0,0,1,,,,,,,,,12.6650792,,,,,,,,,12.6603977,12.7504399,13.5639675,13.5350667,13.5355223,13.5639675,13.5639675,13.5639675,16.2383603,left,0,2.6688813,None,16.2667289,16.2740395,16.7536276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,1,1,0,left,1,1.9871916,None,,,,,0,1,1,0,,,,,,,,,16.7704131,,,,,,,,,16.7540756,16.8535435,17.6553216,17.6377324,17.6382422,17.6553216,17.6553216,17.6553216,19.657618,left,1,1.9871916,None,19.6713211,19.6768543,20.1725808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,2,0,1,right,1,1.668927,None,,,,,1,0,2,1,,,,,,,,,20.1890629,,,,,,,,,20.1730508,20.2723816,21.0741377,21.0571278,21.0576038,21.0741377,21.0741377,21.0741377,22.7594859,right,1,1.668927,None,22.7596216,22.7742627,23.2582975,23.2743697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,3,1,1,left,1,1.5367749,None,,,,,1,1,3,0,,,,,,,,,23.2743697,,,,,,,,,23.2587262,24.0748523,24.8768868,24.8590955,24.8596965,24.8768868,24.8768868,24.8768868,26.4288395,left,1,1.5367749,None,26.4290102,26.4436794,26.9272462,26.9437078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,4,0,2,right,1,1.3668429,None,,,,,2,0,4,1,,,,,,,,,26.9437078,,,,,,,,,26.9276693,27.744598,28.5462443,28.528423,28.5288821,28.5462443,28.5462443,28.5462443,29.9150666,right,1,1.3668429,None,29.9152465,29.9289122,30.4132478,30.4294687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,5,1,2,left,1,1.6599037,None,,,,,2,1,5,0,,,,,,,,,30.4294687,,,,,,,,,30.4136505,31.6304124,32.4322007,32.4143543,32.4148785,32.4322007,32.4322007,32.4322007,34.100261,left,1,1.6599037,None,34.1003476,34.1151334,34.5992111,34.6158317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,6,0,3,right,1,1.2321756,None,,,,,3,0,6,1,,,,,,,,,34.6158317,,,,,,,,,34.5996429,35.3994596,36.2012944,36.1837214,36.1841738,36.2012944,36.2012944,36.2012944,37.4361973,right,1,1.2321756,None,37.4363312,37.4506541,37.9349677,37.9513736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,7,1,3,left,1,0.8990405,None,,,,,3,1,7,0,,,,,,,,,37.9513736,,,,,,,,,37.935346,38.7516563,39.5539113,39.536309,39.5370569,39.5539113,39.5539113,39.5539113,40.455238,left,1,0.8990405,None,40.4553686,40.4695974,40.9537616,40.9700779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,8,0,4,left,1,0.8409067,None,,,,,4,0,8,0,,,,,,,,,40.9700779,,,,,,,,,40.9541964,41.7706465,42.5723328,42.5547345,42.5551956,42.5723328,42.5723328,42.5723328,43.4234812,left,1,0.8409067,None,43.4236243,43.4381874,43.9223541,43.9388793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,9,1,4,right,1,1.9187464,None,,,,,4,1,9,1,,,,,,,,,43.9388793,,,,,,,,,43.9227759,44.272562,45.0740309,45.0562161,45.0567004,45.0740309,45.0740309,45.0740309,47.0092258,right,1,1.9187464,None,47.0093821,47.0239482,47.5081751,47.5247777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,10,0,5,left,1,1.3461804,None,,,,,5,0,10,0,,,,,,,,,47.5247777,,,,,,,,,47.5085978,47.8751336,48.6767609,48.6591329,48.6596312,48.6767609,48.6767609,48.6767609,50.0278194,left,1,1.3461804,None,50.0279679,50.0430825,50.5271387,50.5431528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,11,1,5,right,1,1.9275297,None,,,,,5,1,11,1,,,,,,,,,50.5431528,,,,,,,,,50.5275611,50.6434383,51.4451361,51.4272294,51.4277116,51.4451361,51.4451361,51.4451361,53.3801696,right,1,1.9275297,None,53.3802995,53.3953899,53.8790365,53.8952723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,12,0,6,left,0,1.336298,None,,,,,6,0,12,1,,,,,,,,,53.8952723,,,,,,,,,53.8794779,53.995647,54.797078,54.7796948,54.7801793,54.797078,54.797078,54.797078,56.1491881,left,0,1.336298,None,56.1543055,56.1636649,56.6476795,56.6637001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,13,1,6,right,0,2.5166024,None,,,,,6,1,13,0,,,,,,,,,56.6637001,,,,,,,,,56.6480852,57.4649491,58.2664309,58.249307,58.2497346,58.2664309,58.2664309,58.2664309,60.7856078,right,0,2.5166024,None,60.7857389,60.8003165,61.2846897,61.3008326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,14,0,7,left,0,4.5792424,None,,,,,7,0,14,1,,,,,,,,,61.3008326,,,,,,,,,61.285091,61.4008027,62.2027025,62.1853334,62.1857941,62.2027025,62.2027025,62.2027025,66.7902795,left,0,4.5792424,None,66.790364,66.804786,67.2881308,67.3046913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,15,1,7,left,1,1.0152122,None,,,,,7,1,15,0,,,,,,,,,67.3046913,,,,,,,,,67.2884456,68.5052997,69.3077466,69.2901665,69.290638,69.3077466,69.3077466,69.3077466,70.3258084,left,1,1.0152122,None,70.3309283,70.3403957,70.8243208,70.8405023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,16,0,8,left,1,2.5193376,None,,,,,8,0,16,0,,,,,,,,,70.8405023,,,,,,,,,70.8250919,72.0414467,72.8431608,72.8255,72.8259503,72.8431608,72.8431608,72.8431608,75.3783274,left,1,2.5193376,None,75.3784585,75.3935773,75.8774333,75.8936304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,17,1,8,right,1,0.8923309,None,,,,,8,1,17,1,,,,,,,,,75.8936304,,,,,,,,,75.8778089,77.0783422,77.8801479,77.8626285,77.8630844,77.8801479,77.8801479,77.8801479,78.7812398,right,1,0.8923309,None,78.7813734,78.7958173,79.280366,79.2965525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
right,right,18,0,9,left,0,0.6544425,None,,,,,9,0,18,1,,,,,,,,,79.2965525,,,,,,,,,79.2807742,79.3964829,80.1980786,80.1807964,80.1813191,80.1980786,80.1980786,80.1980786,80.8663225,left,0,0.6544425,None,80.8709989,80.8805101,81.3651503,81.381326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,19,1,9,left,1,0.68648,None,,,,,9,1,19,0,,,,,,,,,81.381326,,,,,,,,,81.3655402,82.5656381,83.3668149,83.3492235,83.3496849,83.3668149,83.3668149,83.3668149,84.0684529,left,1,0.68648,None,84.0745129,84.0832931,84.5671993,84.5831735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5673841,84.5831735,84.5831735,88.0363818,space,3.450149,None,,,,,,,,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0364716,88.0529083,88.0529083,90.4884852,space,2.4297815,None,,,,,,,,,,,,,,,,sub-205,1,random_dot,59.86693974
left,left,0,0,0,left,1,0.7625825,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,0,0,0,0,92.705938,,,,,,,,,92.6994611,93.4894784,94.2912178,94.2743327,94.2746267,94.2912178,94.2912178,94.2912178,95.0588023,,,,,,,,,,,,,,,,,,,,,,,90.6230213,90.6297873,90.6297873,92.6894117,space,2.0428734,None,left,1,0.7625825,None,,,,,sub-205,1,random_dot,59.86693974
right,right,1,1,0,right,1,1.5576203,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,0,1,1,1,95.0740849,,,,,,,,,95.0592777,95.174081,95.9756541,95.9581925,95.9587363,95.9756541,95.9756541,95.9756541,97.5437312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,1.5576203,None,,,,,sub-205,1,random_dot,59.86693974
right,right,2,0,1,left,0,2.0113793,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,1,0,2,1,97.5585253,,,,,,,,,97.5442619,97.9090391,98.7113494,98.6936025,98.6942244,98.7113494,98.7113494,98.7113494,100.7298268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,2.0113793,None,,,,,sub-205,1,random_dot,59.86693974
left,left,3,1,1,left,1,0.9863996,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,1,1,3,0,100.7444422,,,,,,,,,100.7303658,101.9454249,102.747203,102.7293504,102.7298802,102.747203,102.747203,102.747203,103.7480735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.9863996,None,,,,,sub-205,1,random_dot,59.86693974
left,left,4,0,2,left,1,0.9747949,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,2,0,4,0,103.7634329,,,,,,,,,103.7486086,104.9470683,105.7492063,105.7315662,105.7320228,105.7492063,105.7492063,105.7492063,106.7339723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.9747949,None,,,,,sub-205,1,random_dot,59.86693974
right,right,5,1,2,right,1,1.0139406,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,2,1,5,1,106.7486562,,,,,,,,,106.7345668,106.8488778,107.6497439,107.6326002,107.6329296,107.6497439,107.6497439,107.6497439,108.6687594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,1.0139406,None,,,,,sub-205,1,random_dot,59.86693974
left,left,6,0,3,left,1,0.7582048,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,3,0,6,0,108.6834248,,,,,,,,,108.6692921,109.0332488,109.8356005,109.8175124,109.8180787,109.8356005,109.8356005,109.8356005,110.6028744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.7582048,None,,,,,sub-205,1,random_dot,59.86693974
right,right,7,1,3,right,1,1.6641594,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,3,1,7,1,110.6180587,,,,,,,,,110.6034593,110.7181095,111.5198435,111.5023753,111.5028597,111.5198435,111.5198435,111.5198435,113.1883985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,1.6641594,None,,,,,sub-205,1,random_dot,59.86693974
right,right,8,0,4,left,0,1.8989028,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,4,0,8,1,113.203159,,,,,,,,,113.1889148,113.303478,114.1048046,114.0875006,114.0880423,114.1048046,114.1048046,114.1048046,116.0068196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,1.8989028,None,,,,,sub-205,1,random_dot,59.86693974
left,left,9,1,4,left,1,0.7898731,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,4,1,9,0,116.0215776,,,,,,,,,116.0074291,116.822195,117.6239038,117.6064904,117.6069662,117.6239038,117.6239038,117.6239038,118.4251547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.7898731,None,,,,,sub-205,1,random_dot,59.86693974
left,left,10,0,5,left,1,1.1418937,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,5,0,10,0,118.4402423,,,,,,,,,118.425712,118.7904991,119.5920295,119.5745543,119.5751423,119.5920295,119.5920295,119.5920295,120.7433905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.1418937,None,,,,,sub-205,1,random_dot,59.86693974
right,right,11,1,5,right,1,0.9733646,None,accuracy,space,2.0428734,None,,,,,0,0,0,0,5,1,11,1,120.7583133,,,,,,,,,120.7439494,121.1085122,121.9106728,121.8928905,121.8933761,121.9106728,121.9106728,121.9106728,122.8949394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.9733646,None,,,,,sub-205,1,random_dot,59.86693974
