direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0080170830005954,0.0149761659995419,0.0149761659995419,1.191492875001131,space,1.1353737499994168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,0.0,0.0,0.0,left,1.0,0.7471802920008486,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,1.2659064159997797,,,,,,,,,1.245163166000566,2.3900222910015145,3.19075204100227,3.176450458002364,3.177042708000954,3.19075204100227,3.19075204100227,3.19075204100227,3.9454699580019215,left,1.0,0.7471802920008486,,3.9528776250008377,4.046224458001234,4.454289666002296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,1.0,1.0,0.0,right,1.0,0.7433333329972811,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,4.45952004100036,,,,,,,,,4.454886040999554,5.244038166001701,6.045944833000249,6.037874083001952,6.03848466600175,6.045944833000249,6.045944833000249,6.045944833000249,6.795723625000392,right,1.0,0.7433333329972811,,6.7958563749998575,6.807660583002871,7.293001624999306,7.303931416001433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,2.0,0.0,1.0,left,1.0,0.6204394589985895,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,7.303931416001433,,,,,,,,,7.293514749999304,7.642809125001804,8.437495875001332,8.426447833000566,8.426933708000433,8.437495875001332,8.437495875001332,8.437495875001332,9.06080266600111,left,1.0,0.6204394589985895,,9.060922041000596,9.069218500000716,9.554414958001871,9.559670791000826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,3.0,1.0,1.0,right,1.0,0.720413582999754,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,9.559670791000826,,,,,,,,,9.554942582999502,10.75926658300159,11.55408937500033,11.542953333002515,11.543431000001874,11.55408937500033,11.55408937500033,11.55408937500033,12.278739041001243,right,1.0,0.720413582999754,,12.27886491600293,12.285915041000408,12.771122958001795,12.776201332999335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,4.0,0.0,2.0,left,1.0,0.8078965829990921,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,12.776201332999335,,,,,,,,,12.771641333001751,13.57708674999958,14.370761416001187,14.359663833001832,14.36014645800242,14.370761416001187,14.370761416001187,14.370761416001187,15.187939791001554,left,1.0,0.8078965829990921,,15.18805925000197,15.19482912500098,15.687772000001132,15.693010708000656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,0.8591862909997872,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,15.693010708000656,,,,,,,,,15.68832941599976,16.027215250000154,16.82936029100165,16.8211852500026,16.82197483300115,16.82936029100165,16.82936029100165,16.82936029100165,17.69502220800132,right,1.0,0.8591862909997872,,17.69511704099932,17.702513083000667,18.1876244160012,18.19277037500069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,6.0,0.0,3.0,left,0.0,0.657773916998849,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,18.19277037500069,,,,,,,,,18.18816691599932,18.992823291002424,19.78731387500011,19.775389875001565,19.77585362500031,19.78731387500011,19.78731387500011,19.78731387500011,20.45394745800149,left,0.0,0.657773916998849,,20.45910729100069,20.4655210000019,20.954307750002044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,7.0,1.0,3.0,right,0.0,0.6172987500031013,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,20.95952945799945,,,,,,,,,20.95487758300078,21.29399412500061,22.095584708000388,22.087639875000605,22.088256916002138,22.095584708000388,22.095584708000388,22.095584708000388,22.721255041000404,right,0.0,0.6172987500031013,,22.72134650000225,22.72808616600014,23.22093445800056,23.226164457999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,0.9380585419967248,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,23.226164457999403,,,,,,,,,23.22147979100191,23.56023095800265,24.362147833002386,24.35431299999982,24.35487904100228,24.362147833002386,24.362147833002386,24.362147833002386,25.304962665999483,left,1.0,0.9380585419967248,,25.308497500001977,25.31539820800026,25.804321291001543,25.80948483300017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,9.0,1.0,4.0,left,0.0,0.7979603329986276,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,25.80948483300017,,,,,,,,,25.80485816600049,26.593971500002223,27.395539458000712,27.387662291002925,27.388269833001686,27.395539458000712,27.395539458000712,27.395539458000712,28.19569520799996,left,0.0,0.7979603329986276,,28.198909624999946,28.21742362499936,28.704171833000142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,10.0,0.0,5.0,right,1.0,1.70300645899988,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,28.708574000000223,,,,,,,,,28.704628957999372,28.793324375001248,29.58576729100241,29.57704700000249,29.577553875002195,29.58576729100241,29.58576729100241,29.58576729100241,31.294990416001383,right,1.0,1.70300645899988,,31.298044291001133,31.30543179100277,31.792952416002663,31.80401758300286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,11.0,1.0,5.0,left,1.0,0.8598442499969678,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,31.80401758300286,,,,,,,,,31.793387749999965,32.59330937500272,33.387330707999354,33.37650045800183,33.376976416002435,33.387330707999354,33.387330707999354,33.387330707999354,34.255331500000466,left,1.0,0.8598442499969678,,34.25545866600078,34.26263575000121,34.7542751660003,34.75957641599962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,12.0,0.0,6.0,right,1.0,0.8382794589997502,,,,,,6.0,0.0,12.0,1.0,,,,,,,,,34.75957641599962,,,,,,,,,34.75481700000091,35.10417295800289,35.89531158300088,35.88752854099948,35.888152833002096,35.89531158300088,35.89531158300088,35.89531158300088,36.73863883300146,right,1.0,0.8382794589997502,,36.73875470799976,36.74571850000211,37.237362375002704,37.2418753330021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,13.0,1.0,6.0,left,1.0,0.7292731659981655,,,,,,6.0,1.0,13.0,0.0,,,,,,,,,37.2418753330021,,,,,,,,,37.237817375000304,37.33750162500292,38.12859166600174,38.12077220799984,38.12137112500204,38.12859166600174,38.12859166600174,38.12859166600174,38.8619018749996,left,1.0,0.7292731659981655,,38.86200133300008,38.86881716599965,39.354127000002336,39.359223125000426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,14.0,0.0,7.0,right,0.0,2.072145083002397,,,,,,7.0,0.0,14.0,0.0,,,,,,,,,39.359223125000426,,,,,,,,,39.35467312500259,39.70991400000276,40.50391258300078,40.49284195800283,40.49331441600225,40.50391258300078,40.50391258300078,40.50391258300078,42.577975250002055,right,0.0,2.072145083002397,,42.581515666002815,42.58896233300038,43.07694287500272,43.08715191600277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,15.0,1.0,7.0,left,0.0,0.7132095839988324,,,,,,7.0,1.0,15.0,1.0,,,,,,,,,43.08715191600277,,,,,,,,,43.077370666000206,43.17685533300028,43.97831629100256,43.97081466600139,43.97140970799956,43.97831629100256,43.97831629100256,43.97831629100256,44.694560583000566,left,0.0,0.7132095839988324,,44.6946820000012,44.70230891599931,45.18768750000163,45.19343475000278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,16.0,0.0,8.0,right,1.0,0.6866673750009795,,,,,,8.0,0.0,16.0,1.0,,,,,,,,,45.19343475000278,,,,,,,,,45.18838845800201,45.99385225000151,46.795533250002336,46.78777879100016,46.78855958300119,46.795533250002336,46.795533250002336,46.795533250002336,47.48837512500177,right,1.0,0.6866673750009795,,47.49140879100014,47.49820433300192,47.98736279100194,47.99270299999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,17.0,1.0,8.0,right,0.0,0.8429763750027632,,,,,,8.0,1.0,17.0,0.0,,,,,,,,,47.99270299999989,,,,,,,,,47.98791270800211,48.336972583001625,49.12869020800281,49.120801916000346,49.121381375000055,49.12869020800281,49.12869020800281,49.12869020800281,49.97911820800073,right,0.0,0.8429763750027632,,49.98208108300241,49.99098654100089,50.47621083299964,50.48725970799933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,18.0,0.0,9.0,left,1.0,1.0196798340002715,,,,,,9.0,0.0,18.0,0.0,,,,,,,,,50.48725970799933,,,,,,,,,50.47663391600145,50.576772583001,51.36933666600089,51.35955579100119,51.36006504100078,51.36933666600089,51.36933666600089,51.36933666600089,52.394798625002295,left,1.0,1.0196798340002715,,52.39759950000007,52.40502454099988,52.89278354099952,52.90389995800069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
right,right,19.0,1.0,9.0,left,0.0,0.9847715830001108,,,,,,9.0,1.0,19.0,1.0,,,,,,,,,52.90389995800069,,,,,,,,,52.89320787500037,52.99274650000007,53.78753545800282,53.7759493750018,53.77642529100194,53.78753545800282,53.78753545800282,53.78753545800282,54.77793345800092,left,0.0,0.9847715830001108,,54.78063316599946,54.80347154099945,55.2874477080004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.37352875000215,55.3772925000012,55.3772925000012,56.80501804100277,space,1.422635791997891,,,,,,,,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.80509729100231,56.81617395800277,56.81617395800277,58.17878158299936,space,1.360688000000664,,,,,,,,,,,,,,,,sub-210,1,random_dot,,
left,left,0.0,0.0,0.0,left,1.0,0.7964945830026409,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.32145183300236,,,,,,,,,59.31498129100146,59.40380783300134,60.1964982080026,60.18762837500253,60.18839395800023,60.1964982080026,60.1964982080026,60.1964982080026,60.99441291599942,,,,,,,,,,,,,,,,,,,,,,,58.2027702910018,58.2102201250018,58.2102201250018,59.305536708001455,space,1.0882429580015014,,left,1.0,0.7964945830026409,,,,,sub-210,1,random_dot,,
right,right,1.0,1.0,0.0,right,1.0,0.7460479580004176,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,61.00216987500244,,,,,,,,,60.9947675830008,62.193661708002764,62.99491416599994,62.98739095800192,62.98801062500206,62.99491416599994,62.99491416599994,62.99491416599994,63.74499562500205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.7460479580004176,,,,,sub-210,1,random_dot,,
left,left,2.0,0.0,1.0,left,1.0,0.5266046670003561,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,63.75217500000144,,,,,,,,,63.74535716600076,63.84174679100033,64.63652170800196,64.62640375000046,64.62693829099953,64.63652170800196,64.63652170800196,64.63652170800196,65.17161487500198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,0.5266046670003561,,,,,sub-210,1,random_dot,,
right,right,3.0,1.0,1.0,right,1.0,0.3953359580009419,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,65.17856341600054,,,,,,,,,65.17206512499979,65.52054558300006,66.31183929100007,66.30397416599953,66.30456783300178,66.31183929100007,66.31183929100007,66.31183929100007,66.71078200000193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.3953359580009419,,,,,sub-210,1,random_dot,,
left,left,4.0,0.0,2.0,left,1.0,0.4104616250006074,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,66.7192696250022,,,,,,,,,66.7111171659999,67.06021370800227,67.86164991600162,67.85383158300101,67.85442591600076,67.86164991600162,67.86164991600162,67.86164991600162,68.27880337500028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,0.4104616250006074,,,,,sub-210,1,random_dot,,
