direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0146127499999693,0.0229865419998986,0.0229865419998986,31.74844629199993,space,31.60886437499994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
left,left,0.0,0.0,0.0,left,1.0,6.2531068339999365,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,31.781679291999808,,,,,,,,,31.764622959000008,32.60416387499981,33.45119275000002,33.38875066699984,33.389511791999894,33.45119275000002,33.45119275000002,33.45119275000002,38.37703483399992,39.70631004199981,left,1.0,6.2531068339999365,,39.717021209,39.74555274999989,40.210970666999856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
right,right,1.0,1.0,0.0,right,1.0,5.17078708400004,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,40.221860417000016,,,,,,,,,40.21149354199997,40.55497137499992,41.3462354589999,41.33852912499992,41.339068291999865,41.3462354589999,41.3462354589999,41.3462354589999,46.338272125,46.522767875,right,1.0,5.17078708400004,,46.52290845899984,46.53360633399984,47.02225833399984,47.02786616699996,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
left,left,2.0,0.0,1.0,left,1.0,6.222704582999995,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,47.02786616699996,,,,,,,,,47.02285620899988,48.22177624999995,49.01307391699993,49.00542187499991,49.00613158399983,49.01307391699993,49.01307391699993,49.01307391699993,54.00508054199986,55.24032566699998,left,1.0,6.222704582999995,,55.240571458999966,55.249000958999886,55.73879820899992,55.74438512500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
right,right,3.0,1.0,1.0,left,0.0,2.752926208999952,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,55.74438512500001,,,,,,,,,55.73939974999985,56.08840462499984,56.880584667,56.87225816699993,56.87295904199982,56.880584667,56.880584667,56.880584667,,59.639561249999815,left,0.0,2.752926208999952,,59.64690541699997,59.66662920899989,60.14261608399988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
left,left,4.0,0.0,2.0,left,1.0,5.396527375000005,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,60.15512970899999,,,,,,,,,60.143050458999824,60.93846166699996,61.73003204199995,61.722084374999895,61.72277733399983,61.73003204199995,61.73003204199995,61.73003204199995,66.71016870899984,67.12809791699988,left,1.0,5.396527375000005,,67.13249754200001,67.14185062499996,67.62793729199984,67.6386148749998,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
right,right,5.0,1.0,2.0,left,0.0,5.752212166999925,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,67.6386148749998,,,,,,,,,67.62833204200001,68.42830408399982,69.22023820899994,69.21091883399981,69.21136533399999,69.22023820899994,69.22023820899994,69.22023820899994,74.2049884999999,74.97844341699988,left,0.0,5.752212166999925,,74.98229674999993,74.99182208399998,75.47756370899992,75.48839049999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
right,right,6.0,0.0,3.0,right,1.0,4.280289000000039,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,75.48839049999992,,,,,,,,,75.47791925000001,76.67695291699988,77.4715884589998,77.46091424999986,77.46135208399983,77.4715884589998,77.4715884589998,77.4715884589998,,81.75620654199997,right,1.0,4.280289000000039,,81.76133216699986,81.76907270899983,82.25558658399996,82.26120512499983,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
left,left,7.0,1.0,3.0,right,0.0,3.3771581249998235,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,82.26120512499983,,,,,,,,,82.25615829200001,82.3549157089999,83.14620991699985,83.13859833400011,83.13918254200007,83.14620991699985,83.14620991699985,83.14620991699985,,86.52997929200001,right,0.0,3.3771581249998235,,86.53365799999983,86.541763834,87.02791487500008,87.03841741699989,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
left,left,8.0,0.0,4.0,left,1.0,3.74148333300036,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,87.03841741699989,,,,,,,,,87.02836470900002,87.82740854199983,88.62119037499997,88.61123687500003,88.61169145899976,88.62119037499997,88.62119037499997,88.62119037499997,,92.3730449169998,left,1.0,3.74148333300036,,92.37809079199997,92.3862399589998,92.87223399999992,92.87778637499969,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-216,1.0,random_dot,,
