direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026657999987946,0.0139435999954002,0.0139435999954002,40.94842470000003,space,40.92204330000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
left,left,0.0,0.0,0.0,left,1.0,8.471910899999784,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,40.96358659999533,,,,,,,,,40.954364799996256,42.16202479999629,42.9624565999984,42.94456309999805,42.944826699997066,42.9624565999984,42.9624565999984,42.9624565999984,47.95576769999752,51.4346458,left,1.0,8.471910899999784,,51.44036110000161,51.4497343999974,51.94899240000086,51.93268330000137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
right,right,1.0,1.0,0.0,right,1.0,1.3024989999976242,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,51.94899240000086,,,,,,,,,51.93290770000021,53.14753049999854,53.96458049999637,53.94667369999661,53.94697530000121,53.96458049999637,53.96458049999637,53.96458049999637,,55.27979349999805,right,1.0,1.3024989999976242,,55.27989030000026,55.29470030000084,55.79398740000033,55.77764159999788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
left,left,2.0,0.0,1.0,left,1.0,1.1766086999996332,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,55.79398740000033,,,,,,,,,55.77784679999604,56.9924245000002,57.79282589999639,57.775035699996806,57.775311799996416,57.79282589999639,57.79282589999639,57.79282589999639,,58.97489549999591,left,1.0,1.1766086999996332,,58.97497889999795,58.98983489999955,59.48912199999904,59.47271000000183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
right,right,3.0,1.0,1.0,right,1.0,0.7622981000022264,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,59.48912199999904,,,,,,,,,59.47294149999652,59.83866470000066,60.6556655999957,60.6377427999978,60.637990600000194,60.6556655999957,60.6556655999957,60.6556655999957,,61.42166369999904,right,1.0,0.7622981000022264,,61.421770499997365,61.43657019999955,61.93586739999592,61.91957939999702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
left,left,4.0,0.0,2.0,right,0.0,0.7543529000031413,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,61.93586739999592,,,,,,,,,61.91982759999519,63.13431390000187,63.95135019999725,63.93343050000112,63.933680499998445,63.95135019999725,63.95135019999725,63.95135019999725,,64.71731129999534,right,0.0,0.7543529000031413,,64.72218140000041,64.73214349999762,65.23157009999704,65.2151984000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
right,right,5.0,1.0,2.0,right,1.0,1.0923368000003393,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,65.23157009999704,,,,,,,,,65.21551019999606,66.03047289999813,66.84750060000079,66.82958769999823,66.8298605999953,66.84750060000079,66.84750060000079,66.84750060000079,,67.94635859999835,right,1.0,1.0923368000003393,,67.94871689999854,67.9612760999953,68.46053549999488,68.44415679999656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
right,right,6.0,0.0,3.0,left,0.0,3.39311589999852,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,68.46053549999488,,,,,,,,,68.44437099999777,69.25951450000139,70.07664059999661,70.05870109999523,70.05895139999484,70.07664059999661,70.07664059999661,70.07664059999661,,73.47236849999899,left,0.0,3.39311589999852,,73.47441499999695,73.48734289999993,73.98655249999865,73.97021909999603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
left,left,7.0,1.0,3.0,right,0.0,0.6782594000032987,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,73.98655249999865,,,,,,,,,73.97044989999995,74.08646330000192,74.90353450000111,74.88551189999998,74.88578549999511,74.90353450000111,74.90353450000111,74.90353450000111,,75.58619289999478,right,0.0,0.6782594000032987,,75.58628129999852,75.60119529999793,76.10044489999564,76.08402699999715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
right,right,8.0,0.0,4.0,left,0.0,5.072325000001001,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,76.10044489999564,,,,,,,,,76.08425359999819,76.44998209999903,77.2670100999967,77.24908860000141,77.24935510000068,77.2670100999967,77.2670100999967,77.2670100999967,82.26030019999598,82.34390960000019,left,0.0,5.072325000001001,,82.34398019999935,82.35880650000036,82.85810340000171,82.84161979999772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-217,1,random_dot,60.10572597060154,
