direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029347,0.0093052,0.0093052,55.4357614,space,55.4071688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,0,0,0,left,1,4.3066432,None,,,,,0,0,0,0,,,,,,,,,55.4570466,,,,,,,,,55.4508975,56.2409161,57.0490179,57.0260705,57.0265978,57.0490179,57.0490179,57.0490179,61.3636003,left,1,4.3066432,None,61.3873381,61.3933941,61.8790672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,1,1,0,left,0,3.8748398,None,,,,,0,1,1,1,,,,,,,,,61.895675,,,,,,,,,61.8794892,63.0794001,63.8813372,63.8638267,63.8644054,63.8813372,63.8813372,63.8813372,67.7683238,left,0,3.8748398,None,67.7810988,67.7897799,68.2832144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,2,0,1,right,1,1.6414264,None,,,,,1,0,2,1,,,,,,,,,68.3001256,,,,,,,,,68.2836789,68.3831356,69.1848485,69.1673583,69.1678419,69.1848485,69.1848485,69.1848485,70.8367185,right,1,1.6414264,None,70.842696,70.8514292,71.3355613,71.3518659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,3,1,1,left,1,3.1019624,None,,,,,1,1,3,0,,,,,,,,,71.3518659,,,,,,,,,71.3359172,71.7015076,72.5039518,72.4859615,72.4864215,72.5039518,72.5039518,72.5039518,75.6068269,left,1,3.1019624,None,75.6070212,75.6210405,76.1052736,76.121998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,4,0,2,right,0,1.8224242,None,,,,,2,0,4,0,,,,,,,,,76.121998,,,,,,,,,76.1057766,76.2216446,77.0235632,77.005816,77.0063566,77.0235632,77.0235632,77.0235632,78.8587598,right,0,1.8224242,None,78.8644803,78.8734148,79.3575203,79.3741137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,5,1,2,right,1,1.8466949,None,,,,,2,1,5,1,,,,,,,,,79.3741137,,,,,,,,,79.3579462,80.1574979,80.9594913,80.9421663,80.9426359,80.9594913,80.9594913,80.9594913,82.8112793,right,1,1.8466949,None,82.8171666,82.8260149,83.3106504,83.3268345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,6,0,3,left,1,2.5275184,None,,,,,3,0,6,0,,,,,,,,,83.3268345,,,,,,,,,83.3110802,83.4265666,84.2285958,84.2109019,84.211411,84.2285958,84.2285958,84.2285958,86.7641014,left,1,2.5275184,None,86.7642472,86.7789789,87.2633257,87.2796302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,7,1,3,right,1,2.9656811,None,,,,,3,1,7,1,,,,,,,,,87.2796302,,,,,,,,,87.2637051,87.6295912,88.4311871,88.41396,88.4144402,88.4311871,88.4311871,88.4311871,91.4004673,right,1,2.9656811,None,91.4006098,91.4155826,91.8993151,91.9155816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,8,0,4,right,0,1.9433583,None,,,,,4,0,8,0,,,,,,,,,91.9155816,,,,,,,,,91.8997698,93.0997366,93.9021542,93.8843622,93.8848591,93.9021542,93.9021542,93.9021542,95.8536684,right,0,1.9433583,None,95.8572112,95.8686876,96.3527491,96.3689972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,9,1,4,left,0,1.9158349,None,,,,,4,1,9,1,,,,,,,,,96.3689972,,,,,,,,,96.3532022,96.7190361,97.5209562,97.5038271,97.5042688,97.5209562,97.5209562,97.5209562,99.4394094,left,0,1.9158349,None,99.4395433,99.4544856,99.9383054,99.9546294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,10,0,5,right,0,1.2747845,None,,,,,5,0,10,0,,,,,,,,,99.9546294,,,,,,,,,99.9387734,101.1389672,101.9410044,101.9230312,101.9235635,101.9410044,101.9410044,101.9410044,103.2255376,right,0,1.2747845,None,103.2256771,103.2402934,103.7242269,103.7408277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,11,1,5,left,0,3.5234131,None,,,,,5,1,11,1,,,,,,,,,103.7408277,,,,,,,,,103.7247312,104.0912446,104.8925735,104.8752112,104.8757237,104.8925735,104.8925735,104.8925735,108.4292571,left,0,3.5234131,None,108.4293938,108.4441352,108.9281743,108.9442673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,12,0,6,left,0,1.6889778,None,,,,,6,0,12,1,,,,,,,,,108.9442673,,,,,,,,,108.9285715,109.7451343,110.5467557,110.5292415,110.5297597,110.5467557,110.5467557,110.5467557,112.2481648,left,0,1.6889778,None,112.2483061,112.2628492,112.7471364,112.7635849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,13,1,6,left,1,4.3199933,None,,,,,6,1,13,0,,,,,,,,,112.7635849,,,,,,,,,112.7473987,113.5640243,114.36592,114.3481853,114.3487279,114.36592,114.36592,114.36592,118.7023519,left,1,4.3199933,None,118.7079959,118.7172278,119.2014178,119.2181691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,14,0,7,right,0,2.6125713,None,,,,,7,0,14,0,,,,,,,,,119.2181691,,,,,,,,,119.2018059,119.5518914,120.3532544,120.3361429,120.3365951,120.3532544,120.3532544,120.3532544,122.972043,right,0,2.6125713,None,122.9773901,122.9868872,123.4709531,123.4872045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,15,1,7,right,1,2.1424137,None,,,,,7,1,15,1,,,,,,,,,123.4872045,,,,,,,,,123.4713913,124.6718611,125.4739686,125.45599,125.4564382,125.4739686,125.4739686,125.4739686,127.6256072,right,1,2.1424137,None,127.6302388,127.640362,128.1245849,128.1409924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,16,0,8,left,1,1.4541907,None,,,,,8,0,16,0,,,,,,,,,128.1409924,,,,,,,,,128.1249869,128.4913556,129.2929555,129.2750455,129.2755488,129.2929555,129.2929555,129.2929555,130.7610457,left,1,1.4541907,None,130.7612461,130.7754153,131.259997,131.2765632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,17,1,8,right,1,0.9592244,None,,,,,8,1,17,1,,,,,,,,,131.2765632,,,,,,,,,131.2604345,131.6262177,132.4285007,132.410931,132.4114432,132.4285007,132.4285007,132.4285007,133.396298,right,1,0.9592244,None,133.3964437,133.4113023,133.8950279,133.9112576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,18,0,9,left,1,0.8735244,None,,,,,9,0,18,0,,,,,,,,,133.9112576,,,,,,,,,133.8954469,134.0114056,134.8134541,134.7958738,134.796494,134.8134541,134.8134541,134.8134541,135.6978995,left,1,0.8735244,None,135.6980676,135.7125739,136.196676,136.2128878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
right,right,19,1,9,right,1,0.5526477,None,,,,,9,1,19,1,,,,,,,,,136.2128878,,,,,,,,,136.1971611,137.0134338,137.8149434,137.7977138,137.7981999,137.8149434,137.8149434,137.8149434,138.3833568,right,1,0.5526477,None,138.383512,138.3980066,138.8821137,138.898633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.8822796,138.898633,138.898633,146.0703808,space,7.1581562,None,,,,,,,,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0704728,146.0868815,146.0868815,157.4118685,space,11.3103242,None,,,,,,,,,,,,,,,sub-219,1,random_dot,59.94334156
left,left,0,0,0,left,1,1.426121,None,accuracy,space,5.7681533,None,,,,,0,0,0,0,0,0,0,0,163.2648619,,,,,,,,,163.254449,164.0487949,164.8506227,164.8330833,164.8335986,164.8506227,164.8506227,164.8506227,166.2858976,,,,,,,,,,,,,,,,,,,,,,,157.4613813,157.4679419,157.4679419,163.2488013,space,5.7681533,None,left,1,1.426121,None,,,,sub-219,1,random_dot,59.94334156
