direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0037284999853,0.0080236999783664,0.0080236999783664,1.159536199993454,space,19.167720400029797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,1.1749050000216812,,,,,,,,,1.1714985000435263,2.373351000016555,3.17827859998215,3.157495699939318,3.157545299967751,3.17827859998215,3.17827859998215,3.17827859998215,4.540302000008524,right,1.0,19.36810069996864,,4.540906799957156,4.5552390000084415,5.0553431999869645,5.040147199993953,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,5.0553431999869645,,,,,,,,,5.041343000018969,5.854510599980131,6.655054399976507,6.638878799974918,6.63893559994176,6.655054399976507,6.655054399976507,6.655054399976507,7.70505939994473,left,1.0,19.055231699952856,,7.705561600043438,7.719893099972978,8.219644399941899,8.203856599982828,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,8.219644399941899,,,,,,,,,8.204450799967162,9.4190466,10.219523799954914,10.202839200035667,10.202877899981104,10.219523799954914,10.219523799954914,10.219523799954914,13.085751999984495,left,1.0,20.87289349990897,,13.08664090000093,13.100123799988069,13.59972249995917,13.584081599954516,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,13.59972249995917,,,,,,,,,13.58487439993769,13.699914199998602,14.500056099961512,14.484398699947633,14.484471400035543,14.500056099961512,14.500056099961512,14.500056099961512,15.551153299980797,right,1.0,19.059913699980825,,15.552144899964333,15.56532369996421,16.065195200033486,16.050123499939218,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,16.065195200033486,,,,,,,,,16.05128330003936,17.264478500001132,18.064787999959663,18.048291399958543,18.048340399982408,18.064787999959663,18.064787999959663,18.064787999959663,19.58317200001329,right,1.0,19.52670609997585,,19.584883700008504,19.5962347999448,20.09597699996084,20.080528300022703,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,20.09597699996084,,,,,,,,,20.08158120000735,20.19863380002789,21.012823099968955,20.99620519997552,20.99624110001605,21.012823099968955,21.012823099968955,21.012823099968955,22.013141499948688,left,1.0,19.005808799993247,,22.013735000044107,22.02790320001077,22.52770380000584,22.51244860002771,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,22.52770380000584,,,,,,,,,22.513480599969625,22.62758189998567,23.42800900002476,23.411583599983715,23.41162429994438,23.42800900002476,23.42800900002476,23.42800900002476,24.145544599974528,right,1.0,18.72208129998762,,24.146309499978088,24.159982900018804,24.65958510001656,24.64396419993136,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,24.65958510001656,,,,,,,,,24.64471409993712,25.85903019993566,26.659329399932176,26.643342799972743,26.643404599977657,26.659329399932176,26.659329399932176,26.659329399932176,27.49371990002692,left,1.0,18.84060990007129,,27.49466810002923,27.507890100008808,28.00757270003669,27.991955199977383,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,28.00757270003669,,,,,,,,,27.99271429993678,29.207061699940823,30.00724129995797,29.99138180003501,29.991445799940266,30.00724129995797,30.00724129995797,30.00724129995797,32.54148220003117,right,0.0,20.545129199977964,,32.54297549999319,32.557560199988075,,33.054765500011854,,,,,,,,,,,,,,,,,,,,,,,,,,sub-229,1.0,random_dot,60.02808112655261,
