direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0065209999447688,0.0120820999145507,0.0120820999145507,41.64021609991323,space,66.75842389999889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,41.66384439996909,,,,,,,,,41.660716100013815,42.45425909990445,43.25457099999767,43.238007799955085,43.238038199953735,43.25457099999767,43.25457099999767,43.25457099999767,45.68778389994986,left,1.0,27.57461340003647,,45.68881079996936,45.70208780001849,46.20193609991111,46.185933299944736,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,46.20193609991111,,,,,,,,,46.18636900000274,46.30192719993647,47.10234300000593,47.08595320000313,47.0859964999836,47.10234300000593,47.10234300000593,47.10234300000593,50.318650999921374,left,0.0,28.34545830008574,,50.31966249994002,50.33468849991914,,50.83260089997202,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,50.84915219992399,,,,,,,,,50.83318949991372,51.63199599995278,52.432377799996175,52.41519969992805,52.415214699925855,52.432377799996175,52.432377799996175,52.432377799996175,55.78155829990283,left,0.0,28.478052200051025,,55.78228849999141,55.79603749990929,56.295726599986665,56.27958319999743,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,56.295726599986665,,,,,,,,,56.27993119996973,56.39583269995637,57.19614789995831,57.17963259993121,57.17966909997631,57.19614789995831,57.19614789995831,57.19614789995831,61.34532369999215,right,0.0,29.277666400070306,,61.346323799924,61.35941519995686,61.85897569998633,61.84326739993412,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,61.85897569998633,,,,,,,,,61.84384380001575,61.95907450001687,62.75943659991026,62.74246909993235,62.7424963999074,62.75943659991026,62.75943659991026,62.75943659991026,69.35636619990692,left,1.0,31.737697800039317,,69.35708759992849,69.37109739996959,69.87081809993833,69.85507920000236,67.75617919990327,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,69.87081809993833,,,,,,,,,69.85579469997901,69.97076669998933,70.77084429992829,70.75381249992643,70.75382839993108,70.77084429992829,70.77084429992829,70.77084429992829,75.93531289999373,left,0.0,30.30658120010048,,75.93567069992423,75.95001189992763,76.45001269993372,76.43414489994757,75.76799019996542,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,76.45001269993372,,,,,,,,,76.43468669999857,76.54999540001154,77.35035099997185,77.3333328999579,77.33335560001433,77.35035099997185,77.35035099997185,77.35035099997185,83.23070710001048,left,1.0,31.0101791000925,,83.2310342999408,83.24599969992414,83.74557369994,83.72996359993704,82.34719409991521,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,83.74557369994,,,,,,,,,83.73063269990962,84.9448019999545,85.74508969997987,85.72836389997974,85.7283890999388,85.74508969997987,85.74508969997987,85.74508969997987,88.21153919992503,right,1.0,27.60506010008976,,88.21222939994186,88.22612559993286,88.72587179997936,88.71016739995684,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,88.72587179997936,,,,,,,,,88.71095139998943,89.9251506999135,90.72559389995877,90.70888179994654,90.7089170999825,90.72559389995877,90.72559389995877,90.72559389995877,93.55811799992809,left,1.0,27.96900010004174,,93.55881319998298,93.57284499995876,94.0726590999402,94.05725929990876,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,,4.0,1.0,9.0,1.0,,,,,,,,,94.0726590999402,,,,,,,,,94.05818099994212,94.4222837999696,95.2227746999124,95.2060749999946,95.20610830001532,95.2227746999124,95.2227746999124,95.2227746999124,98.40489429992158,right,1.0,28.310489799943756,,98.40529849997256,98.41987209999934,98.9194916000124,98.9033431999851,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
