direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0049557000165805,0.0117333999369293,0.0117333999369293,39.78631240001414,space,55.63372680009343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,39.81502749992069,,,,,,,,,39.81071829993744,40.99931510002352,41.79978809994645,41.78295249992516,41.78297930001281,41.79978809994645,41.79978809994645,41.79978809994645,46.79677180002909,63.0047312999377,right,1.0,37.072746400139295,,63.00643309997395,63.01982719998341,63.51891939993948,63.50313089997508,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,63.51891939993948,,,,,,,,,63.5038558000233,64.31867069995496,65.1189739999827,65.10272089997306,65.10276829998475,65.1189739999827,65.1189739999827,65.1189739999827,70.1158803999424,71.96767869999167,right,0.0,22.71670000010636,,71.96946279995609,71.98820369993336,,72.48021970002446,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,72.49672559997998,,,,,,,,,72.48077639995608,72.58005360001698,73.38045279996004,73.36414109996986,73.36418849998154,73.38045279996004,73.38045279996004,73.38045279996004,78.37740629992913,79.39570879994426,left,1.0,21.8850223000627,,79.39704049995635,79.40923330001533,79.90899819997139,79.89322239998728,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,79.90899819997139,,,,,,,,,79.89400869992096,81.10836019995622,81.90837139997166,81.89168959995732,81.89172369998414,81.90837139997166,81.90837139997166,81.90837139997166,86.90537519997451,88.50545249995776,right,1.0,22.46747800009325,,88.50604919996113,88.52017159992829,89.0198954999214,89.00433179992251,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,89.0198954999214,,,,,,,,,89.00509949994739,89.11994849995244,89.92022229998838,89.90433859999757,89.90439809998497,89.92022229998838,89.92022229998838,89.92022229998838,94.91712739993818,96.08551879995504,right,0.0,22.02761470002588,,96.087008100003,96.09891289996447,96.59876730001996,96.5834783000173,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,96.59876730001996,,,,,,,,,96.58450449991506,97.39810180000497,98.1985259000212,98.18215969996528,98.18219620001037,98.1985259000212,98.1985259000212,98.1985259000212,103.19520499999636,103.34663409995846,right,1.0,21.0122114000842,,103.347408899921,103.36109519994352,103.86074069992172,103.84508539992385,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,103.86074069992172,,,,,,,,,103.84586260002106,103.96096199995372,104.76113330002408,104.74457630002873,104.74461569997948,104.76113330002408,104.76113330002408,104.76113330002408,,107.47857399994972,left,1.0,18.583021000144072,,107.47998159995768,107.49204339995048,107.99170969997068,107.9763699999312,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,107.99170969997068,,,,,,,,,107.97739309992176,108.0917916999897,108.89188259991352,108.87550720002037,108.87554749997798,108.89188259991352,108.89188259991352,108.89188259991352,,110.57502589991782,left,0.0,17.552014000015333,,110.57552159996705,110.58999989996664,111.08971139998177,111.07446199993136,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,111.08971139998177,,,,,,,,,111.07538709999062,112.28906310000455,113.08929099992385,113.0723245999543,113.0723522999324,113.08929099992385,113.08929099992385,113.08929099992385,,118.05462199996693,left,1.0,20.834523000055924,,118.05573939997704,118.06869039998855,118.56833299994469,118.55235090001952,,,,,,,,,,,,,,,,,,,,,,,,,sub-231,1.0,random_dot,60.08142236205671,
